"PREPRINT_DOI","ARTICLE_DOI","COUNTRYCODE"
"10.1101/115667","10.1534/genetics.117.300092","USA"
"10.1101/034017","10.1371/journal.pgen.1005738","USA"
"10.1101/018291","10.1111/nph.13754","USA"
"10.1101/173658","10.1038/s41598-017-07527-8","USA"
"10.1101/122705","10.1038/s41598-017-06585-2","CAN"
"10.1101/113134","10.1038/s41598-017-08331-0","USA"
"10.1101/113134","10.1038/s41598-017-08331-0","HKG"
"10.1101/132852","10.1371/journal.pone.0180916","USA"
"10.1101/067892","10.1093/sleep/zsx066","USA"
"10.1101/093716","10.1038/ncomms16054","USA"
"10.1101/110338","10.1016/j.bbrc.2017.03.043","CHN"
"10.1101/116418","10.3897/bdj.5.e12581",NA
"10.1101/128454","10.1016/j.toxlet.2017.05.011","USA"
"10.1101/069369","10.1167/17.4.6","USA"
"10.1101/084657","10.1371/journal.pone.0176555","USA"
"10.1101/045625","10.1007/s11032-017-0635-7","CHN"
"10.1101/079632","10.1002/eap.1494","USA"
"10.1101/019109","10.1371/journal.pone.0136771","USA"
"10.1101/005546","10.1186/1471-2105-16-s9-s2","SGP"
"10.1101/050484","10.1073/pnas.1617705114","USA"
"10.1101/060608","10.1038/srep42023","MEX"
"10.1101/038604","10.1371/journal.pbio.1002592","CHE"
"10.1101/038604","10.1371/journal.pbio.1002592","GBR"
"10.1101/069831","10.3389/fmicb.2016.01882","IND"
"10.1101/009431","10.1186/s13073-015-0177-8","USA"
"10.1101/055566","10.1016/j.neuron.2016.07.039","USA"
"10.1101/053132","10.1016/j.ymeth.2016.09.014","DEU"
"10.1101/139238","10.1093/hmg/ddx407","GBR"
"10.1101/137968","10.1039/c7md00510e","USA"
"10.1101/172254","10.1128/aem.01966-17","USA"
"10.1101/176073","10.1101/gr.222844.117","USA"
"10.1101/163832","10.1534/g3.117.300417","USA"
"10.1101/003939","10.1007/s13235-014-0106-2","DEU"
"10.1101/007724","10.1371/journal.pone.0108490","AUS"
"10.1101/050526","10.1371/journal.pone.0161177","GBR"
"10.1101/122549","10.1186/s12920-017-0303-0","USA"
"10.1101/173955","10.1016/j.cub.2017.10.011","USA"
"10.1101/170282","10.1016/j.jconrel.2017.10.024","CHN"
"10.1101/068833","10.1101/lm.045690.117","CAN"
"10.1101/043018","10.1007/s00251-016-0914-1","USA"
"10.1101/032128","10.1104/pp.15.01845","USA"
"10.1101/025205","10.1534/g3.115.025106","USA"
"10.1101/122887","10.7554/elife.27333","GBR"
"10.1101/122887","10.7554/elife.27333","ESP"
"10.1101/048165","10.1093/gbe/evx140","USA"
"10.1101/114504","10.7554/elife.26722","USA"
"10.1101/136895","10.1038/s41598-017-08926-7","CAN"
"10.1101/139253","10.3389/fmicb.2017.01291","USA"
"10.1101/110700","10.1083/jcb.201702135","USA"
"10.1101/043422","10.1186/s13073-017-0455-8","USA"
"10.1101/124784","10.3354/meps12194","CAN"
"10.1101/097501","10.1371/journal.pgen.1006795","USA"
"10.1101/093781","10.1016/j.scib.2017.04.025","USA"
"10.1101/106336","10.1534/genetics.116.197335","USA"
"10.1101/083097","10.1371/journal.pbio.2001882","USA"
"10.1101/071589","10.1371/journal.pcbi.1005434","JPN"
"10.1101/034371","10.1098/rsos.150562","DEU"
"10.1101/019901","10.1371/journal.pgen.1005657","USA"
"10.1101/019174","10.1128/microbiolspec.mchd-0018-2015","GBR"
"10.1101/053983","10.7554/elife.18889","SWE"
"10.1101/025056","10.1021/acssynbio.5b00179","GBR"
"10.1101/057182","10.1534/g3.116.032045","ARG"
"10.1101/054437","10.1038/mp.2016.194","USA"
"10.1101/071639","10.1007/s00467-016-3513-3","USA"
"10.1101/056119","10.1111/mec.13800",NA
"10.1101/072926","10.1016/j.gde.2016.09.004","SWE"
"10.1101/106633","10.1111/1365-2656.12786","USA"
"10.1101/123869","10.1093/bioinformatics/btx551","BEL"
"10.1101/145193","10.13110/humanbiology.89.1.01","USA"
"10.1101/023242","10.1016/j.jtbi.2016.06.026","SWE"
"10.1101/022152","10.1371/journal.pcbi.1004920","GBR"
"10.1101/041921","10.1186/s12864-016-2742-y","DEU"
"10.1101/002790","10.1371/journal.pone.0093987","ITA"
"10.1101/092874","10.1038/ng.3959","USA"
"10.1101/071050","10.1534/genetics.117.300284","USA"
"10.1101/129379","10.1038/s41467-017-01343-4","NLD"
"10.1101/179903","10.3389/fmicb.2017.02140","RUS"
"10.1101/202747","10.1016/j.molcel.2017.10.019","CHN"
"10.1101/142042","10.1038/ncb3599","USA"
"10.1101/107367","10.1094/phyto-03-17-0108-fi","USA"
"10.1101/113191","10.1016/j.bpj.2017.08.032","DEU"
"10.1101/097022","10.1038/nchembio.2470","NOR"
"10.1101/181206","10.1038/nmeth.4396","USA"
"10.1101/081505","10.1038/ejhg.2017.130","SWE"
"10.1101/069617","10.1111/desc.12579","GBR"
"10.1101/118968","10.1016/j.neuroimage.2017.05.065","GBR"
"10.1101/070789","10.1371/journal.pone.0176751","USA"
"10.1101/077792","10.1016/j.jhep.2017.01.026","SGP"
"10.1101/077792","10.1016/j.jhep.2017.01.026","CHN"
"10.1101/008342","10.1007/s00239-015-9713-9","BRA"
"10.1101/010215","10.1093/bioinformatics/btv280","USA"
"10.1101/020966","10.1186/s12864-015-1911-8","USA"
"10.1101/013722","10.1073/pnas.1500758112","AUT"
"10.1101/093856","10.1093/gbe/evx242","USA"
"10.1101/006841","10.1101/gr.180893.114","USA"
"10.1101/005348","10.1038/ng.3015","GBR"
"10.1101/061135","10.1038/srep32674","DNK"
"10.1101/033290","10.1534/g3.116.030056","IND"
"10.1101/023010","10.1101/gr.199935.115","ESP"
"10.1101/000984","10.1371/journal.pone.0098122","CAN"
"10.1101/152496","10.1038/s41467-017-02075-1","USA"
"10.1101/123612","10.1038/nbt.4020",NA
"10.1101/130872","10.1016/j.devcel.2017.10.011","USA"
"10.1101/128975","10.1038/s41598-017-16011-2","USA"
"10.1101/131664","10.1098/rsob.170099","GBR"
"10.1101/105361","10.1094/phyto-09-16-0340-r","USA"
"10.1101/060970","10.1038/s41598-017-12448-7","RUS"
"10.1101/131391","10.1038/s41598-017-11390-y","AUS"
"10.1101/109777","10.1016/j.gdata.2017.08.006","USA"
"10.1101/105049","10.1021/acscentsci.7b00084","FRA"
"10.1101/083717","10.1093/bioinformatics/btx058","USA"
"10.1101/078931","10.1038/s41562-016-0036","PRT"
"10.1101/078931","10.1038/s41562-016-0036","NLD"
"10.1101/087593","10.1021/acssynbio.6b00292","GBR"
"10.1101/113340","10.1098/rsif.2017.0157","USA"
"10.1101/124495","10.12688/f1000research.11366.1","DEU"
"10.1101/006544","10.1093/comnet/cnv034","GBR"
"10.1101/105072","10.1016/j.ygeno.2017.03.002","CHN"
"10.1101/080549","10.1242/jeb.151522","FRA"
"10.1101/011999","10.1155/2016/1938292","ITA"
"10.1101/010520","10.1111/2041-210x.12409","CHE"
"10.1101/088252","10.7717/peerj.3046","USA"
"10.1101/040162","10.1016/j.ccell.2016.12.004","USA"
"10.1101/087833","10.1016/j.fsigen.2016.12.011","DEU"
"10.1101/026070","10.1371/journal.pcbi.1005131","GBR"
"10.1101/059329","10.1093/nar/gkw627","USA"
"10.1101/060947","10.3390/sym8090098","USA"
"10.1101/008714","10.1016/j.jtbi.2015.01.019","SWE"
"10.1101/105627","10.1093/bioinformatics/btx598","USA"
"10.1101/001172","10.1093/sysbio/syu018","NZL"
"10.1101/212811","10.1126/science.aar3729","GBR"
"10.1101/140236","10.1038/s41598-017-15092-3","USA"
"10.1101/160556","10.1073/pnas.1712108114","USA"
"10.1101/091579","10.1371/journal.pgen.1006915","USA"
"10.1101/051094","10.1093/bioinformatics/btw613","USA"
"10.1101/096040","10.1002/hbm.23689","USA"
"10.1101/110361","10.1038/srep45604","JPN"
"10.1101/018259","10.1038/nmeth.3654","USA"
"10.1101/008748","10.1186/s12920-015-0095-z","USA"
"10.1101/014308","10.1016/j.ympev.2015.04.027","USA"
"10.1101/028050","10.1038/nprot.2016.150","USA"
"10.1101/030650","10.1128/msystems.00025-15","USA"
"10.1101/020479","10.1016/j.ajhg.2016.07.022","USA"
"10.1101/043604","10.1093/bioinformatics/btw325","USA"
"10.1101/001453","10.1371/journal.pone.0103813","AUS"
"10.1101/146670","10.1038/mp.2017.196","DNK"
"10.1101/003921","10.1073/pnas.1407207111","USA"
"10.1101/042333","10.1093/jxb/erw255","USA"
"10.1101/002493","10.1371/journal.pone.0100163","USA"
"10.1101/132431","10.1242/dev.153999","SWE"
"10.1101/123554","10.3390/e19110584","JPN"
"10.1101/032029","10.1371/journal.pone.0151086","ARG"
"10.1101/000422","10.3389/fgene.2014.00013","USA"
"10.1101/112466","10.1016/j.celrep.2017.08.072","GBR"
"10.1101/124370","10.7554/elife.28034","ISR"
"10.1101/130831","10.7554/elife.27955","USA"
"10.1101/092056","10.1093/molbev/msx127","GBR"
"10.1101/097535","10.1002/ecs2.1889","USA"
"10.1101/112334","10.1091/mbc.e17-03-0174","JPN"
"10.1101/024216","10.1534/genetics.115.181610","USA"
"10.1101/032383","10.1186/s12859-015-0754-2","FRA"
"10.1101/004473","10.1371/journal.pcbi.1004390","ITA"
"10.1101/004473","10.1371/journal.pcbi.1004390","USA"
"10.1101/017871","10.1371/journal.pgen.1005527","USA"
"10.1101/089086","10.1371/journal.pcbi.1005331","DEU"
"10.1101/076992","10.1038/srep41529","IRL"
"10.1101/075465","10.1016/j.neuroimage.2016.12.053","BEL"
"10.1101/075465","10.1016/j.neuroimage.2016.12.053","ITA"
"10.1101/014720","10.1152/jn.00237.2015","USA"
"10.1101/014324","10.1016/j.gene.2015.04.085","USA"
"10.1101/005660","10.1016/j.jtbi.2015.03.003","DEU"
"10.1101/005660","10.1016/j.jtbi.2015.03.003","HRV"
"10.1101/048389","10.1186/s40168-016-0205-y","USA"
"10.1101/131128","10.1093/biolinnean/blx125","CHE"
"10.1101/131128","10.1093/biolinnean/blx125","FRA"
"10.1101/085035","10.3389/fncom.2017.00111","USA"
"10.1101/027474","10.1093/bioinformatics/btw035","ITA"
"10.1101/003541","10.1073/pnas.1405500111","GBR"
"10.1101/082438","10.1016/j.neuroscience.2017.12.004","ITA"
"10.1101/109934","10.7717/peerj.4111","GBR"
"10.1101/137703","10.1098/rspb.2017.1583","IND"
"10.1101/141952","10.7554/elife.29702","USA"
"10.1101/101048","10.1016/j.cels.2017.08.009","GBR"
"10.1101/062836","10.1158/1541-7786.mcr-17-0185","CAN"
"10.1101/045310","10.1016/j.talanta.2016.04.047","CAN"
"10.1101/120600","10.1093/bioinformatics/btx364","USA"
"10.1101/084442","10.1038/s41598-017-06110-5","AUS"
"10.1101/136846","10.3389/fnhum.2017.00377","GBR"
"10.1101/101600","10.1016/j.jtbi.2017.06.009","FRA"
"10.1101/096578","10.1038/s41598-017-00990-3","USA"
"10.1101/088898","10.1038/srep45551","USA"
"10.1101/041632","10.1016/j.ydbio.2017.03.003","USA"
"10.1101/025510","10.1371/journal.pone.0146947","ARG"
"10.1101/072348","10.1093/molehr/gaw062","GBR"
"10.1101/007369","10.1093/sysbio/syv019","USA"
"10.1101/012690","10.1073/pnas.1421515112","AUT"
"10.1101/045765","10.1091/mbc.e16-03-0199","USA"
"10.1101/005694","10.3389/fmicb.2014.00577","USA"
"10.1101/040634","10.1093/nar/gkw540","USA"
"10.1101/006619","10.1523/jneurosci.2636-14.2015","USA"
"10.1101/038638","10.1093/bioinformatics/btw159","GBR"
"10.1101/047233","10.3389/fmicb.2016.00990","USA"
"10.1101/043513","10.1371/journal.pone.0157942","USA"
"10.1101/036129","10.1038/srep28517","CHN"
"10.1101/015545","10.1016/j.ijpara.2016.02.005","GBR"
"10.1101/161182","10.1038/s41477-017-0083-8","AUS"
"10.1101/201293","10.1016/j.neubiorev.2017.11.015","NLD"
"10.1101/163717","10.1038/s41598-017-14208-z","CHE"
"10.1101/163717","10.1038/s41598-017-14208-z","ESP"
"10.1101/118505","10.1038/s41467-017-01752-5","FRA"
"10.1101/142026","10.1016/j.molcel.2017.08.006","USA"
"10.1101/037234","10.1016/j.neuroimage.2017.08.074","JPN"
"10.1101/037234","10.1016/j.neuroimage.2017.08.074","AUS"
"10.1101/042010","10.1016/j.jtbi.2016.01.037","FRA"
"10.1101/021030","10.1007/s12038-016-9592-2","IND"
"10.1101/029199","10.1534/g3.115.023655","GBR"
"10.1101/073973","10.1093/biostatistics/kxw055","GBR"
"10.1101/096826","10.15252/embj.201797342","FRA"
"10.1101/047464","10.1093/bioinformatics/btx150","DEU"
"10.1101/076745","10.1534/g3.117.043000","USA"
"10.1101/147082","10.1016/j.bbrc.2017.06.064","CHN"
"10.1101/091934","10.1016/j.jtbi.2017.04.023","USA"
"10.1101/096925","10.1021/acs.jproteome.7b00005","USA"
"10.1101/149815","10.1142/s0217979217502435","CHN"
"10.1101/065649","10.1126/sciadv.1601959","USA"
"10.1101/057083","10.1038/npp.2017.78","POL"
"10.1101/098079","10.1016/j.bpj.2017.04.029","IND"
"10.1101/091389","10.1021/acs.jpclett.6b02769","CHN"
"10.1101/105692","10.1016/j.bpj.2017.03.036","GBR"
"10.1101/061515","10.1186/s12918-017-0412-6","ITA"
"10.1101/061515","10.1186/s12918-017-0412-6","QAT"
"10.1101/025536","10.1093/gbe/evw223","USA"
"10.1101/054783","10.1038/ncomms14515","AUS"
"10.1101/068130","10.1186/s13036-017-0048-5","USA"
"10.1101/061861","10.1038/srep38828","GBR"
"10.1101/085233","10.1038/srep38019","USA"
"10.1101/004259","10.1371/journal.pone.0121607","USA"
"10.1101/006163","10.1038/nature14475","USA"
"10.1101/002865","10.1038/ng.3186","USA"
"10.1101/051854","10.1534/genetics.116.191197","AUT"
"10.1101/057786","10.1038/srep32969","DEU"
"10.1101/113969","10.1111/mec.14426","GBR"
"10.1101/157743","10.1128/msphere.00521-17","USA"
"10.1101/147819","10.1093/pcp/pcx135","ESP"
"10.1101/153098","10.7554/elife.29224","USA"
"10.1101/125369","10.1128/jcm.01160-17","USA"
"10.1101/020149","10.1111/2041-210x.12563","USA"
"10.1101/139733","10.1371/journal.pgen.1007075","USA"
"10.1101/139733","10.1371/journal.pgen.1007075","CAN"
"10.1101/127746","10.1094/mpmi-05-17-0114-fi","NLD"
"10.1101/112110","10.1021/acssynbio.7b00088","CHE"
"10.1101/169391","10.1038/s41467-017-01082-6","USA"
"10.1101/193524","10.3390/toxins9110362","TUR"
"10.1101/136937","10.7554/elife.28468","USA"
"10.1101/031419","10.1186/s12920-016-0178-5","CAN"
"10.1101/039297","10.1371/journal.pcbi.1005572","FRA"
"10.1101/146902","10.1098/rsif.2017.0150","USA"
"10.1101/049783","10.1128/mbio.00374-17","USA"
"10.1101/049783","10.1128/mbio.00374-17","GBR"
"10.1101/105460","10.1083/jcb.201611104","USA"
"10.1101/101394","10.15252/embj.201796632","GBR"
"10.1101/032623","10.1016/j.neuroimage.2016.03.063","USA"
"10.1101/091124","10.1186/s12862-017-0949-4","GBR"
"10.1101/088617","10.1111/jmi.12559","USA"
"10.1101/011510","10.1093/bfgp/elv018","USA"
"10.1101/071696","10.1371/journal.pgen.1006508","GBR"
"10.1101/071696","10.1371/journal.pgen.1006508","FIN"
"10.1101/071696","10.1371/journal.pgen.1006508","NOR"
"10.1101/053397","10.1038/ismej.2016.168","USA"
"10.1101/024315","10.1111/1365-2435.12666","NZL"
"10.1101/066399","10.1371/journal.pgen.1006496","USA"
"10.1101/043240","10.1186/s12864-016-2966-x","USA"
"10.1101/013417","10.1111/ele.12449","USA"
"10.1101/058982","10.1371/journal.pone.0165606","GBR"
"10.1101/192880","10.1152/jn.00839.2017","CAN"
"10.1101/158147","10.1186/s13321-017-0252-9","FRA"
"10.1101/158147","10.1186/s13321-017-0252-9","GBR"
"10.1101/150813","10.1091/mbc.e17-06-0392",NA
"10.1101/057174","10.1073/pnas.1717519115","USA"
"10.1101/129478","10.1158/0008-5472.can-17-1679","GBR"
"10.1101/129478","10.1158/0008-5472.can-17-1679","DEU"
"10.1101/006981","10.1371/journal.pgen.1004822","GBR"
"10.1101/005835","10.1371/journal.ppat.1004325","CHE"
"10.1101/039404","10.1534/genetics.116.188102","GBR"
"10.1101/013169","10.1186/s12974-016-0567-x","CAN"
"10.1101/114397","10.1186/s12859-017-1963-7","USA"
"10.1101/114397","10.1186/s12859-017-1963-7","SGP"
"10.1101/130906","10.1242/bio.027771","GBR"
"10.1101/124396","10.1038/s41598-017-16013-0","SWE"
"10.1101/121400","10.1083/jcb.201703201","USA"
"10.1101/104687","10.1038/s41598-017-12876-5","USA"
"10.1101/130252","10.1017/s0031182017001548","FRA"
"10.1101/134304","10.15252/embj.201797259","FRA"
"10.1101/017681","10.1016/j.meegid.2016.04.028","DEU"
"10.1101/118950","10.1111/age.12586","ESP"
"10.1101/106021","10.1016/j.bbr.2017.09.010","USA"
"10.1101/068866","10.1111/gbb.12405","USA"
"10.1101/052001","10.1093/nar/gkx398","USA"
"10.1101/102988","10.1016/j.bpj.2017.05.042","ITA"
"10.1101/126011","10.1371/journal.pgen.1006766","USA"
"10.1101/116277","10.1242/jcs.199398","JPN"
"10.1101/080887","10.1534/genetics.116.196808","USA"
"10.1101/044578","10.1371/journal.pone.0175310","USA"
"10.1101/056986","10.1016/j.ecolind.2017.02.041","USA"
"10.1101/028076","10.1371/journal.pcbi.1004636","DEU"
"10.1101/028076","10.1371/journal.pcbi.1004636","USA"
"10.1101/039784","10.1098/rsif.2016.0967","USA"
"10.1101/087882","10.1074/jbc.m116.770099","USA"
"10.1101/061317","10.3389/fmicb.2016.01952","CHE"
"10.1101/077024","10.1016/j.neuroimage.2016.11.069","USA"
"10.1101/017434","10.1016/j.ajhg.2015.04.004","USA"
"10.1101/054015","10.1534/g3.116.031286","USA"
"10.1101/069799","10.1371/journal.ppat.1005890","USA"
"10.1101/031880","10.1371/journal.pntd.0004676","CHE"
"10.1101/041665","10.4137/ebo.s39454","GBR"
"10.1101/117101","10.1371/journal.pgen.1007081","GBR"
"10.1101/147884","10.1158/0008-5472.can-17-0802","USA"
"10.1101/098467","10.1113/jp274915","GBR"
"10.1101/134544","10.1242/dev.154229","FIN"
"10.1101/025726","10.1111/ecog.02070","ZAF"
"10.1101/025726","10.1111/ecog.02070","USA"
"10.1101/015230","10.1016/j.humimm.2015.09.011","USA"
"10.1101/079335","10.1177/2472555217696797","AUS"
"10.1101/039768","10.1016/j.tpb.2017.06.001","FRA"
"10.1101/083964","10.1186/s12864-017-3879-z","USA"
"10.1101/030619","10.1186/s12864-017-3932-y","FRA"
"10.1101/057117","10.1186/s40168-017-0255-9","DEU"
"10.1101/104778","10.1038/s41598-017-04402-4","USA"
"10.1101/039909","10.1128/msystems.00020-16","GBR"
"10.1101/112599","10.1073/pnas.1702312114","USA"
"10.1101/025544","10.1038/nmicrobiol.2015.24","USA"
"10.1101/076984","10.1016/j.ajhg.2017.04.005","USA"
"10.1101/064360","10.1016/j.cell.2017.03.019","USA"
"10.1101/061341","10.1103/physreve.95.032416","GBR"
"10.1101/069591","10.1534/g3.116.037069","CHN"
"10.1101/011486","10.1128/mbio.00452-15","USA"
"10.1101/020370","10.1111/evo.12707","USA"
"10.1101/013680","10.1007/s10530-015-0849-8","AUS"
"10.1101/046573","10.1038/sdata.2016.93","DEU"
"10.1101/152348","10.1074/jbc.m117.800888","USA"
"10.1101/185660","10.18632/oncotarget.23666","GBR"
"10.1101/037283","10.1021/acs.jpcb.6b00327","USA"
"10.1101/135293","10.1186/s13073-017-0497-y","USA"
"10.1101/078519","10.1042/bcj20170651","GBR"
"10.1101/134999","10.1021/acsnano.7b04743","USA"
"10.1101/130120","10.7554/elife.30327","USA"
"10.1101/163964","10.3389/fgene.2017.00156","USA"
"10.1101/095232","10.1093/cid/cix476","USA"
"10.1101/082016","10.1086/693456","USA"
"10.1101/033969","10.1016/j.nlm.2016.03.019","SGP"
"10.1101/026625","10.1534/g3.115.024349","USA"
"10.1101/079772","10.1016/j.cels.2017.07.007","GBR"
"10.1101/051821","10.1083/jcb.201701074","USA"
"10.1101/101790","10.1128/jvi.00171-17","USA"
"10.1101/046136","10.1002/gepi.22048","USA"
"10.1101/045773","10.1186/s13742-016-0152-3","USA"
"10.1101/061119","10.1016/j.pscychresns.2017.03.003","USA"
"10.1101/025346","10.1073/pnas.1516503113","USA"
"10.1101/093799","10.1016/j.pnpbp.2017.01.011","GBR"
"10.1101/093799","10.1016/j.pnpbp.2017.01.011","ITA"
"10.1101/003384","10.1007/s11538-014-0013-0","USA"
"10.1101/006973","10.1038/ng.3257","GBR"
"10.1101/075879","10.1091/mbc.e16-06-0473","USA"
"10.1101/006924","10.1007/s00251-015-0830-9","ESP"
"10.1101/006148","10.1186/s13073-014-0089-z","USA"
"10.1101/199430","10.1111/jfb.13523","USA"
"10.1101/138891","10.7554/elife.32742","DEU"
"10.1101/134338","10.1016/j.chembiol.2017.11.010","USA"
"10.1101/180950","10.7717/peerj.4098","CAN"
"10.1101/114165","10.1186/s13059-017-1349-1","USA"
"10.1101/163972","10.1002/pro.3327","USA"
"10.1101/163972","10.1002/pro.3327","CHN"
"10.1101/145144","10.7554/elife.29839","USA"
"10.1101/158469","10.1371/journal.pone.0187666","DEU"
"10.1101/183376","10.1073/pnas.1710964114","USA"
"10.1101/017392","10.1093/bioinformatics/btv565","USA"
"10.1101/162412","10.1039/c7ra07175b","CAN"
"10.1101/095976","10.1039/c7ib00019g","USA"
"10.1101/097311","10.1261/rna.060715.117","DEU"
"10.1101/077123","10.1038/ng.3845","USA"
"10.1101/075176","10.1038/s41598-017-00558-1","USA"
"10.1101/092510","10.1242/dev.142711","GBR"
"10.1101/052290","10.1371/journal.pone.0173636","FRA"
"10.1101/067017","10.1186/s13742-016-0150-5","USA"
"10.1101/023820","10.1098/rspb.2015.2606","AUS"
"10.1101/082495","10.1126/science.aal2014","USA"
"10.1101/076521","10.1371/journal.pone.0165085","CHN"
"10.1101/012682","10.1038/ng.3244","USA"
"10.1101/051243","10.1016/j.jneumeth.2016.07.016","USA"
"10.1101/045369","10.1111/jeb.12972","IND"
"10.1101/064980","10.1104/pp.16.00984","USA"
"10.1101/099515","10.7554/elife.29688","GBR"
"10.1101/159822","10.7554/elife.29905","USA"
"10.1101/007781","10.1093/gbe/evv210","USA"
"10.1101/165332","10.1038/s41598-017-17063-0","USA"
"10.1101/221275","10.1038/s41598-017-17469-w","USA"
"10.1101/074138","10.1371/journal.pcbi.1005857","USA"
"10.1101/136770","10.1111/tpj.13746","BEL"
"10.1101/151670","10.1091/mbc.e17-06-0404","ESP"
"10.1101/151670","10.1091/mbc.e17-06-0404","FRA"
"10.1101/102640","10.1083/jcb.201706134","USA"
"10.1101/166694","10.3389/fpls.2017.01640","USA"
"10.1101/093658","10.1534/genetics.117.300144","CHE"
"10.1101/137711","10.1126/science.aan6516","USA"
"10.1101/087049","10.1152/jn.00124.2017","USA"
"10.1101/082230","10.1128/mbio.00353-17","GBR"
"10.1101/070649","10.1093/bioinformatics/btw753","HRV"
"10.1101/070649","10.1093/bioinformatics/btw753","SGP"
"10.1101/055368","10.1093/gbe/evx027","DEU"
"10.1101/068551","10.1111/1755-0998.12690","JPN"
"10.1101/020321","10.1371/journal.pcbi.1004689","USA"
"10.1101/010686","10.1093/bioinformatics/btv408","DEU"
"10.1101/021840","10.3389/fnana.2015.00123","USA"
"10.1101/049551","10.1098/rsif.2016.0725","GBR"
"10.1101/023291","10.1371/journal.pcbi.1005180","CAN"
"10.1101/068460","10.1016/j.tig.2016.08.002","USA"
"10.1101/046961","10.1371/journal.pgen.1006357","USA"
"10.1101/073148","10.14411/eje.2017.030","GBR"
"10.1101/119727","10.1093/jxb/erx283","SWE"
"10.1101/132597","10.1093/bioinformatics/btx604","USA"
"10.1101/157024","10.1186/s12910-017-0240-7","GBR"
"10.1101/007898","10.1016/j.fsigen.2014.09.005","USA"
"10.1101/042184","10.1021/acs.jpcb.6b02242","USA"
"10.1101/177766","10.15252/embj.201798083","AUT"
"10.1101/108902","10.1080/15476286.2017.1409930","USA"
"10.1101/178046","10.1534/genetics.117.300390","ITA"
"10.1101/080408","10.1016/j.celrep.2017.10.081","USA"
"10.1101/140483","10.1073/pnas.1707471114","USA"
"10.1101/083824","10.1038/s41562-017-0180-8","USA"
"10.1101/024547","10.1371/journal.pgen.1005928","USA"
"10.1101/014894","10.1038/ng.3489","GBR"
"10.1101/122275","10.1038/nnano.2017.98","USA"
"10.1101/111609","10.1038/tp.2017.171","CAN"
"10.1101/077628","10.1128/msphere.00392-16","USA"
"10.1101/076547","10.1093/bioinformatics/btw798","GBR"
"10.1101/082958","10.7554/elife.22689","DEU"
"10.1101/014415","10.1038/hdy.2016.7","USA"
"10.1101/018358","10.1021/acssynbio.5b00077","USA"
"10.1101/015370","10.1093/nar/gkw852","USA"
"10.1101/089425","10.1016/j.concog.2017.02.005","USA"
"10.1101/101550","10.1371/journal.pone.0171927","USA"
"10.1101/064238","10.1371/journal.pgen.1006529","USA"
"10.1101/064238","10.1371/journal.pgen.1006529","DNK"
"10.1101/066035","10.7554/elife.18855","USA"
"10.1101/025916","10.1371/journal.pone.0167509","CAN"
"10.1101/000497","10.1186/s13062-016-0155-0","USA"
"10.1101/055814","10.3389/fmicb.2016.01317","GBR"
"10.1101/002626","10.1101/gad.249763.114","DEU"
"10.1101/045914","10.1534/g3.116.029728","USA"
"10.1101/110023","10.1038/s41467-017-01261-5","NLD"
"10.1101/167718","10.7554/elife.27203","GBR"
"10.1101/179986","10.1016/j.ydbio.2017.08.030","USA"
"10.1101/142828","10.1111/evo.13315","USA"
"10.1101/022970","10.1098/rsbl.2015.1003","IRL"
"10.1101/022970","10.1098/rsbl.2015.1003","GBR"
"10.1101/079269","10.1152/jn.00123.2017","CAN"
"10.1101/079269","10.1152/jn.00123.2017","GBR"
"10.1101/089839","10.1186/s13059-017-1279-y","AUS"
"10.1101/121228","10.1073/pnas.1705016114","USA"
"10.1101/124719","10.1186/s13326-017-0131-3","GBR"
"10.1101/087163","10.1534/g3.117.040550","USA"
"10.1101/116236","10.1016/j.cub.2017.03.031","GBR"
"10.1101/085019","10.1093/database/baw163","AUS"
"10.1101/081349","10.7554/elife.22749","AUS"
"10.1101/049957","10.2807/1560-7917.es.2016.21.28.30283","USA"
"10.1101/052225","10.1038/nmeth.4207","USA"
"10.1101/010355","10.1534/g3.114.016493","USA"
"10.1101/068080","10.1111/gcb.13553","GBR"
"10.1101/059865","10.1371/journal.pcbi.1005316","USA"
"10.1101/013029","10.1038/srep09597","GBR"
"10.1101/047894","10.1534/genetics.116.193334","USA"
"10.1101/173286","10.1128/msphere.00346-17","USA"
"10.1101/090746","10.1093/bioinformatics/btx622","CHN"
"10.1101/157917","10.1002/hbm.23882","AUS"
"10.1101/041384","10.1038/nmeth.3971","DEU"
"10.1101/001081","10.1093/bioinformatics/btu121","USA"
"10.1101/114603","10.2144/000114608","USA"
"10.1101/097923","10.1038/s41593-017-0021-0","DEU"
"10.1101/172098","10.1016/j.neuron.2017.09.035","GBR"
"10.1101/076331","10.1093/molbev/msx148","DEU"
"10.1101/104711","10.1371/journal.pone.0181585","USA"
"10.1101/099093","10.1093/nar/gkx292","USA"
"10.1101/112714","10.1016/j.cub.2017.06.022","EST"
"10.1101/093633","10.1038/s41598-017-02301-2","ZAF"
"10.1101/137414","10.1016/j.bbr.2017.05.029","CAN"
"10.1101/099325","10.1093/gbe/evx005","CAN"
"10.1101/057406","10.1523/eneuro.0178-16.2016","USA"
"10.1101/024190","10.1371/journal.ppat.1005279","USA"
"10.1101/007005","10.1093/nar/gkv052","USA"
"10.1101/085399","10.1186/s12711-017-0301-x","AUS"
"10.1101/070391","10.1111/1462-2920.13662","DEU"
"10.1101/070391","10.1111/1462-2920.13662","FRA"
