"PREPRINT_DOI","PREPRINT_TITLE","PREPRINT_POSTED_DATE"
"10.1101/069914","a bacillus anthracis genome sequence from the sverdlovsk 1979 autopsy specimens",2016-08-16
"10.1101/068817","systems biomedicine of rabies delineates the affected signaling pathways",2016-08-16
"10.1101/069922","the evolution of the natural killer complex; a comparison between mammals using new high-quality genome assemblies and targeted annotation",2016-08-16
"10.1101/069781","understanding the contributions of visual stimuli to contextual fear conditioning: a proof-of-concept study using lcd screens",2016-08-16
"10.1101/069906","separase protease activity is required for cytokinesis in addition to chromosome segregation",2016-08-16
"10.1101/070060","pervasive correlated evolution in gene expression shapes cell type transcriptomes",2016-08-17
"10.1101/069955","oxidative dna damage is epigenetic by regulating gene transcription via base excision repair",2016-08-17
"10.1101/070037","predicting functional neuroanatomical maps from fusing brain networks with genetic information",2016-08-17
"10.1101/069997","orientation tuning depends on spatial frequency in mouse visual cortex",2016-08-17
"10.1101/069989","a non-zero variance of tajima's estimator for two sequences even for infinitely many unlinked loci",2016-08-17
"10.1101/070086","internal states drive nutrient homeostasis by modulating exploration-exploitation trade-off",2016-08-17
"10.1101/070052","a novel quantile regression approach for eqtl discovery",2016-08-17
"10.1101/070011","pherotype polymorphism in streptococcus pneumoniae and its effects on population structure and recombination",2016-08-17
"10.1101/070045","large scale genomic analysis shows no evidence for repeated pathogen adaptation during the invasive phase of bacterial meningitis in humans",2016-08-17
"10.1101/069963","easi-crispr: efficient germline modification with long ssdna donors",2016-08-17
"10.1101/070151","tracing co-regulatory network dynamics in noisy, single-cell transcriptome trajectories",2016-08-18
"10.1101/070300","personalized epilepsy seizure detection using random forest classification over one-dimension transformed eeg data",2016-08-18
"10.1101/070243","natural and laboratory mutations in kuzbanian are associated with heavy metal stress phenotypes in drosophila melanogaster",2016-08-18
"10.1101/070276","rad51 catalytic mutants differentially affect the rad51 nucleoprotein filament",2016-08-18
"10.1101/070219","single-cell quantitation of histones and histone post-translational modifications across the cell cycle by high-throughput imaging",2016-08-18
"10.1101/070102","viral outbreaks involve destabilized evolutionary networks: evidence from ebola, influenza and zika",2016-08-18
"10.1101/070177","phenome-wide heritability analysis of the uk biobank",2016-08-18
"10.1101/070318","escherichia coli populations adapt to complex, unpredictable fluctuations by minimizing trade-offs across environments",2016-08-18
"10.1101/064253","tuberculosis susceptibility and vaccine protection are independently controlled by host genotype",2016-08-18
"10.1101/070169","starbeast2 brings faster species tree inference and accurate estimates of substitution rates",2016-08-18
"10.1101/070201","a gene for genetic background in zea mays: fine-mapping enhancer of teosinte branched1.2 (etb1.2) to a yabby class transcription factor",2016-08-18
"10.1101/070342","pulsatile lipid vesicles under osmotic stress",2016-08-18
"10.1101/070144","analysis of infection biomarkers within a bayesian framework reveals their role in pneumococcal pneumonia diagnosis in hiv patients",2016-08-18
"10.1101/070235","reconstructing the backbone of the saccharomycotina yeast phylogeny using genome-scale data",2016-08-18
"10.1101/070193","an automated microwell platform for large-scale single cell rna-seq",2016-08-18
"10.1101/070227","eph/ephrin signaling controls progenitor identities in the ventral spinal cord",2016-08-18
"10.1101/070128","how cognitive genetic factors influence fertility outcomes: a mediational sem analysis.",2016-08-18
"10.1101/070250","multidimensionality of plant defenses and herbivore niches: implications for eco-evolutionary dynamics",2016-08-18
"10.1101/070326","mathematical methods for modeling chemical reaction networks",2016-08-18
"10.1101/065268","crowding-induced transcriptional bursts dictate nucleosome and polymerase density profiles along genes",2016-08-18
"10.1101/070425","direct determination of diploid genome sequences",2016-08-19
"10.1101/070516","anu-adri and not genetic risk score predicts mci in a cohort of older adults followed for 12 years",2016-08-19
"10.1101/070490","deep learning and association rule mining for predicting drug response in cancer. a personalised medicine approach.",2016-08-19
"10.1101/070409","association of akap6 and mir2113 with cognitive performance in a population based sample of older adults",2016-08-19
"10.1101/070375","reward-based training of recurrent neural networks for cognitive and value-based tasks",2016-08-19
"10.1101/070094","widespread historical contingency in influenza viruses",2016-08-19
"10.1101/070367","microbial signatures of oral dysbiosis, periodontitis and edentulism revealed by gene meter methodology",2016-08-19
"10.1101/070581","the exac browser: displaying reference data information from over 60,000 exomes",2016-08-19
"10.1101/070078","targeted re-sequencing reveals the genomic signatures of multiple barley domestications",2016-08-19
"10.1101/070334","dna damage is a major cause of sequencing errors, directly confounding variant identification.",2016-08-19
"10.1101/070417","assembly of radically recoded e. coli genome segments",2016-08-19
"10.1101/070573","quantifying uncertainty of taxonomic placement in dna barcoding and metabarcoding",2016-08-19
"10.1101/070391","evolution of copper resistance in the kiwifruit pathogen pseudomonas syringae pv. actinidiae through acquisition of integrative conjugative elements and plasmids",2016-08-19
"10.1101/070524","intrinsic functional connectivity resembles cortical architecture at various levels of isoflurane anesthesia",2016-08-21
"10.1101/070615","local pca shows how the effect of population structure differs along the genome",2016-08-21
"10.1101/070748","elevated serum adenosine deaminase levels in neuroleptic-naive patients with recent-onset schizophrenia",2016-08-21
"10.1101/070532","a framework to assess the contribution of bioaerosols to the outcome of meteorological contexts favorable for rainfall",2016-08-21
"10.1101/070441","deepad: alzheimer's disease classification via deep convolutional neural networks using mri and fmri",2016-08-21
"10.1101/070763","strigolactone regulates shoot development through a core signalling pathway",2016-08-21
"10.1101/070656","genome-wide prediction of micrornas in zika virus genomes reveals possible interactions with human genes involved in the nervous system development",2016-08-21
"10.1101/070623","cholesterol activates the g-protein coupled receptor smoothened to promote morphogenetic signaling",2016-08-21
"10.1101/070730","genetic correlations among psychiatric and immune-related phenotypes based on genome-wide association data.",2016-08-21
"10.1101/070854","information theory and the phenotypic complexity of evolutionary adaptations and innovations",2016-08-22
"10.1101/070839","snp analysis implicates the role of cytosine methylation in introducing consequential mutations in vibrio cholerae genomes.",2016-08-22
"10.1101/070813","mint: a multivariate integrative method to identify reproducible molecular signatures across independent experiments and platforms",2016-08-22
"10.1101/070771","thousands of primer-free, high-quality, full-length ssu rrna sequences from all domains of life",2016-08-22
"10.1101/070821","opponent surrounds explain diversity of contextual phenomena across visual modalities",2016-08-22
"10.1101/070961","prevalence of congenital amusia",2016-08-22
"10.1101/067553","influence of cognitive control on semantic representation",2016-08-22
"10.1101/070847","population dynamics of arabis alpina in the french alps: evidence for demographic compensation?",2016-08-22
"10.1101/070904","orchid: a generalized framework for taxonomic classification of images using evolved artificial neural networks",2016-08-22
"10.1101/070672","neuronal gamma-band synchronization regulated by instantaneous modulations of the oscillation frequency",2016-08-22
"10.1101/068643","genome-wide haplotype-based association analysis of major depressive disorder in generation scotland and uk biobank",2016-08-22
"10.1101/070888","chimpipe: accurate detection of fusion genes and transcription-induced chimeras from rna-seq data",2016-08-22
"10.1101/070862","rhythmic entrainment source separation: optimizing analyses of neural responses to rhythmic sensory stimulation",2016-08-22
"10.1101/070912","subcortical volume and white matter integrity abnormalities in major depressive disorder: findings from uk biobank imaging data",2016-08-22
"10.1101/070755","genetically targeted 3d visualisation of drosophila neurons under electron microscopy and x-ray microscopy using minisog",2016-08-22
"10.1101/070920","protein collapse is encoded in the folded state architecture",2016-08-22
"10.1101/070979","empirical validation of directed functional connectivity",2016-08-22
"10.1101/065524","hdnom: building nomograms for penalized cox models with high-dimensional survival data",2016-08-23
"10.1101/068494","machine learning as a tool for predicting insincere effort in power grips",2016-08-23
"10.1101/071076","what the success of brain imaging implies about the neural code",2016-08-23
"10.1101/070649","edlib: a c/c++ library for fast, exact sequence alignment using edit distance",2016-08-23
"10.1101/070946","simulations of biomass dynamics in community food webs",2016-08-23
"10.1101/071233","ohana, a tool set for population genetic analyses of admixture components",2016-08-23
"10.1101/071225","growth factors do not regulate golgi complex-to-er relocation of galnac-ts in hela cells",2016-08-23
"10.1101/071027","insects and associated arthropods analyzed during medicolegal death investigations in harris county, texas, usa: january 2013- april 2016",2016-08-23
"10.1101/071134","ordinary differential equations in cancer biology",2016-08-23
"10.1101/070789","using null models to infer microbial co-occurrence networks",2016-08-23
"10.1101/071209","determining the factors driving selective effects of new nonsynonymous mutations",2016-08-23
"10.1101/070714","resistomap - online visualization of human gut microbiota antibiotic resistome",2016-08-23
"10.1101/071084","papc couples the segmentation clock to somite morphogenesis by regulating n-cadherin dependent adhesion",2016-08-23
"10.1101/070987","inferring physiological energetics of loggerhead turtle (caretta caretta) from existing data using a general metabolic theory",2016-08-23
"10.1101/071100","prototyping of bacillus megaterium genetic elements through automated cell-free characterization and bayesian modelling",2016-08-23
"10.1101/071092","scalable genomics: from raw data to aligned reads on apache yarn",2016-08-23
"10.1101/071217","network identification methods",2016-08-23
"10.1101/070268","high-resolution dna accessibility profiles increase the discovery and interpretability of genetic associations",2016-08-23
"10.1101/071118","dynamic updating of hippocampal object representations reflects new conceptual knowledge",2016-08-23
"10.1101/071126","effects of plant evolution on nutrient cycling couple aboveground and belowground processes",2016-08-23
"10.1101/071183","molecular signatures associated with zikv exposure in human cortical neural progenitors",2016-08-23
"10.1101/071175","further confirmation for unknown archaic ancestry in andaman and south asia.",2016-08-23
"10.1101/070797","human demographic history impacts genetic risk prediction across diverse populations",2016-08-23
"10.1101/071191","molecular counting with localization microscopy: a bayesian estimate based on single fluorophore statistics",2016-08-23
"10.1101/071472","representational models: a common framework for understanding encoding, pattern-component, and representational-similarity analysis",2016-08-24
"10.1101/071266","rna-dependent synthesis of mammalian mrna: identification of chimeric intermediate and putative end product",2016-08-24
"10.1101/071282","canu: scalable and accurate long-read assembly via adaptive k-mer weighting and repeat separation",2016-08-24
"10.1101/071415","identification of klebsiella capsule synthesis loci from whole genome data",2016-08-24
"10.1101/071274","unlocked capacity of proteins to attack membranes characteristic of aggregation: the evil for diseases and aging from pandora's box",2016-08-24
"10.1101/071381","robust nonparametric descriptors for clustering quantification in single-molecule localization microscopy",2016-08-24
"10.1101/071423","numerical analysis of the immersed boundary method for cell-based simulation",2016-08-24
"10.1101/071357","micro-c xl: assaying chromosome conformation at length scales from the nucleosome to the entire genome",2016-08-24
"10.1101/071050","inference of direction, diversity, and frequency of hiv-1 transmission using approximate bayesian computation",2016-08-24
"10.1101/071456","newborn chicks show inherited variability in early social predispositions for hen-like stimuli",2016-08-24
"10.1101/066548","hla-ma: simple yet powerful matching of samples using hla typing results",2016-08-24
"10.1101/070870","deciphering the tissue specificity of the protein secretory pathway in humans",2016-08-24
"10.1101/071241","estimating time to the common ancestor for a beneficial allele",2016-08-24
"10.1101/071332","ficd acts bi-functionally to ampylate and de-ampylate the endoplasmic reticulum chaperone bip",2016-08-24
"10.1101/071308","closing the loop: tracking and perturbing behaviour of individuals in a group in real-time",2016-08-24
"10.1101/071316","heme concentration-dependently modulates the production of specific antibodies in murine",2016-08-24
"10.1101/071449","modeling time-series data from microbial communities",2016-08-24
"10.1101/071498","using simulation to aid trial design: ring-vaccination trials",2016-08-25
"10.1101/071662","deep learning based root-soil segmentation from x-ray tomography",2016-08-25
"10.1101/071464","the impact of chromatin dynamics on cas9-mediated genome editing in human cells",2016-08-25
"10.1101/071589","dynamics robustness of cascading systems",2016-08-25
"10.1101/070599","untangling the components of phenotypic plasticity in nonlinear reaction norms of drosophila mediopunctata pigmentation",2016-08-25
"10.1101/071555","impact of stroke on diurnal heart rate variability in rats",2016-08-25
"10.1101/071696","interacting networks of resistance, virulence and core machinery genes identified by genome-wide epistasis analysis",2016-08-25
"10.1101/071613","molecular basis of outer kinetochore assembly on cenp-t",2016-08-25
"10.1101/071373","telomere, epigenetic clock, and biomarker-composite quantifications of biological aging: do they measure the same thing?",2016-08-25
"10.1101/071670","crispr/cas9 gene drives in genetically variable and non-randomly mating wild populations",2016-08-25
"10.1101/071571","bovine lactoferrin activity against chikungunya and zika viruses",2016-08-25
"10.1101/071654","laboratory strains of aedes aegypti are competent to brazilian zika virus",2016-08-25
"10.1101/071548","root hair-endophyte stacking (rhest) in an ancient afro-indian crop creates an unusual physico-chemical barrier to trap pathogen(s)",2016-08-25
"10.1101/071159","sensory neuron fate is developmentally perturbed by gars mutations causing human neuropathy",2016-08-25
"10.1101/071431","inference of the distribution of selection coefficients for new nonsynonymous mutations using large samples",2016-08-25
"10.1101/071639","evaluating mendelian nephrotic syndrome genes for evidence of risk alleles or oligogenicity that explain heritability",2016-08-25
"10.1101/071514","empowering multi-cohort gene expression analysis to increase reproducibility",2016-08-25
"10.1101/071746","influence of a mono-frequency sound on bacteria can be a function of the sound-level",2016-08-26
"10.1101/071712","dnamod: the dna modification database",2016-08-26
"10.1101/071837","individual level predictions of staphylococcus aureus bacteraemia-associated mortality.",2016-08-26
"10.1101/071001","mating promotes lactic-acid gut bacteria in a gift-giving insect",2016-08-26
"10.1101/071720","characterization of the pscc (type iii secretion) gene of pseudomonas aeruginosa (pa01) and assessment of immunogenicity of pscc protein in rats",2016-08-26
"10.1101/071340","metazoan ribotoxin genes acquired by horizontal gene transfer",2016-08-26
"10.1101/071407","fast antibiotic susceptibility testing based on single cell growth rate measurements",2016-08-26
"10.1101/071753","mycobacterium ulcerans low infectious dose and atypical mechanical transmission support insect bites and puncturing injuries in the spread of buruli ulcer.",2016-08-26
"10.1101/071704","network analysis links genome-wide phenotypic and transcriptional stress responses in a bacterial pathogen with a large pan-genome.",2016-08-26
"10.1101/071787","hepatocyte nuclear factor 4-mediated lipotoxicity provokes mitochondrial damage in peroxisome-deficient pex19 mutants",2016-08-26
"10.1101/070631","gender disparity in computational biology research publications",2016-08-26
"10.1101/071910","rules and mechanisms for efficient two-stage learning in neural circuits",2016-08-27
"10.1101/071878","architecture of a minimal signalling pathway explains the t cell response to a 1,000,000-fold variation in antigen affinity and dose",2016-08-27
"10.1101/070540","paleochronic reversion in psophocarpus, the decompression function in floral anatomic fields",2016-08-27
"10.1101/071860","lost dollars threaten research in public academic health centers",2016-08-27
"10.1101/069443","occipital white matter tracts in human and macaque",2016-08-27
"10.1101/071936","direction of actin flow dictates integrin lfa-1 orientation during leukocyte migration",2016-08-27
"10.1101/071852","actin retrograde flow actively aligns and orients ligand-engaged integrins in focal adhesions.",2016-08-27
"10.1101/071894","evolution of drift robustness in small populations",2016-08-27
"10.1101/071886","reinforcement of conspecific sperm precedence weakens sexual selection in sympatric populations of drosophila",2016-08-27
"10.1101/071969","deep mutational scanning identifies sites in influenza nucleoprotein that affect viral inhibition by mxa",2016-08-28
"10.1101/071951","the phenoscape knowledgebase: tools and apis for computing across phenotypes from evolutionary diversity and model organisms",2016-08-28
"10.1101/071977","entropy in primary sensory areas lower than in associative ones: the brain lies in higher dimensions than the environment",2016-08-29
"10.1101/072173","revealing unobserved factors underlying cortical activity using a rectified latent variable model applied to neural population recordings",2016-08-29
"10.1101/072132","on the inconsistency of pollinator species traits for predicting either response to agricultural intensification or functional contribution",2016-08-29
"10.1101/072090","degradation of non-methylated dna by mspji impairs its usefulness as epigenetic tool",2016-08-29
"10.1101/071795","astrocytes locally translate transcripts in their peripheral processes",2016-08-29
"10.1101/071993","how ecological networks evolve",2016-08-29
"10.1101/072009","the effects of pitch shifts on delay-induced changes in vocal sequencing in a songbird",2016-08-29
"10.1101/072066","remating responses are consistent with male post-copulatory manipulation but not reinforcement in d. pseudoobscura",2016-08-29
"10.1101/072041","calcium dependent gap junction plasticity: modulation of electrotonic coupling in the inferior olive glomerulus",2016-08-29
"10.1101/072058","the dichotomous effects of caffeine on homologous recombination in mammalian cells",2016-08-29
"10.1101/071985","the reading frame surveillance hypothesis",2016-08-29
"10.1101/071829","interactions between helicase and primase are crucial for dna replication in the enteropathogen clostridium difficile",2016-08-29
"10.1101/072017","trends in dissolved organic matter cycling, sediment microbiomes, and methylmercury production across vegetation heterogeneity in a great lakes wetland",2016-08-29
"10.1101/072082","panx: pan-genome analysis and exploration",2016-08-29
"10.1101/072439","zika infection of neural progenitor cells perturbs transcription in neurodevelopmental pathways",2016-08-30
"10.1101/072108","microclimate and radiant energy measurements using a novel device for natural resource monitoring",2016-08-30
"10.1101/072215","towards comprehensive and quantitative proteomics for diagnosis and therapy of human disease",2016-08-30
"10.1101/072397","primary evidence of a donut-like, fourth spatial dimension in the brain",2016-08-30
"10.1101/072223","biophysical models of protein evolution: understanding the patterns of evolutionary sequence divergence",2016-08-30
"10.1101/072280","cooperativity and modularity in protein folding",2016-08-30
"10.1101/072264","factors contributing to the accumulation of reproductive isolation: a mixed model approach",2016-08-30
"10.1101/071761","mutationalpatterns: comprehensive genome-wide analysis of mutational processes",2016-08-30
"10.1101/071811","an immuno-suppressive aphid saliva protein is delivered into the cytosol of plant mesophyll cells during feeding.",2016-08-30
"10.1101/072256","detecting high-order epistasis in nonlinear genotype-phenotype maps",2016-08-30
"10.1101/072199","epigenetic switching as a strategy for quick adaptation while constraining biochemical noise",2016-08-30
"10.1101/072363","evolution of cell-to-cell variability in stochastic, controlled, heteroplasmic mtdna populations",2016-08-30
"10.1101/072322","a neural oscillatory signature of reference",2016-08-30
"10.1101/072355","qcat: testing causality of variants using only summary association statistics",2016-08-30
"10.1101/072389","panpulmonate transcriptomes reveal candidate genes involved in the adaptation to freshwater and terrestrial habitats in gastropods",2016-08-30
"10.1101/072231","disentangling the relative strength of niche competition from grazing-induced phytoplankton mortality",2016-08-30
"10.1101/072306","genetic prediction of male pattern baldness",2016-08-30
"10.1101/072348","mtdna diversity in human populations highlights the merit of haplotype matching in gene therapies",2016-08-30
"10.1101/072405","detecting consistent patterns of directional adaptation using differential selection codon models",2016-08-30
"10.1101/070003","high gc content causes de novo created proteins to be intrinsically disordered",2016-08-30
"10.1101/072371","a new foreperiod effect on single-trial phase coherence.\\ part i: existence and relevance",2016-08-30
"10.1101/072181","radiation and hybridization of the little devil poison frog (oophaga sylvatica) in ecuador",2016-08-30
"10.1101/072330","gavin - gene-aware variant interpretation for medical sequencing",2016-08-30
"10.1101/072207","paperfuge: an ultra-low cost, hand-powered centrifuge inspired by the mechanics of a whirligig toy",2016-08-30
"10.1101/072538","a repetitive modular oscillation underlies human brain electric activity",2016-08-31
"10.1101/072736","population-genomic inference of the strength and timing of selection against gene flow",2016-08-31
"10.1101/072926","genes mirror migrations and cultures in prehistoric europe - a population genomic perspective",2016-09-01
"10.1101/072850","quorum sensing modulatory effect of sound stimulation on serratia marcescens and pseudomonas aeruginosa",2016-09-01
"10.1101/072413","a phylogenetic transform enhances analysis of compositional microbiota data",2016-08-31
"10.1101/072967","integrating gene expression with summary association statistics to identify susceptibility genes for 30 complex traits",2016-09-01
"10.1101/072603","pleiotropy-robust mendelian randomization",2016-08-31
"10.1101/072504","disrupted cholinergic modulation can underlie abnormal gamma rhythms in schizophrenia and and auditory hallucination",2016-08-31
"10.1101/072884","muscles of facial expression in extinct species of the genus homo",2016-09-01
"10.1101/072462","evolution of natal dispersal in spatially heterogenous environments",2016-08-31
"10.1101/072942","perpendicular axes of incipient speciation generated by mitochondrial introgression",2016-09-01
"10.1101/072702","eif3 plays distinct roles at the mrna entry and exit channels of the ribosomal preinitiation complex",2016-09-01
"10.1101/072652","containing emerging epidemics: a quantitative comparison of quarantine and symptom monitoring",2016-08-31
"10.1101/072587","a novel enu-induced ankyrin-1 mutation impairs parasite invasion and increases erythrocyte clearance during malaria infection in mice",2016-08-31
"10.1101/072975","regulation of cancer epigenomes with a histone-binding synthetic transcription factor",2016-09-01
"10.1101/072751","schizophrenia and human self-domestication: an evolutionary linguistics approach",2016-08-31
"10.1101/071597","consistency of eeg source localization and connectivity estimates",2016-08-31
"10.1101/072900","regions of very low h3k27me3 partition the drosophila genome into topological domains",2016-09-01
"10.1101/072512","the impacts of drift and selection on genomic evolution in holometabolous insects",2016-08-31
"10.1101/072496","genomic signature of kin selection in an ant with obligately sterile workers",2016-08-31
"10.1101/072868","contig annotation tool cat robustly classifies assembled metagenomic contigs and long sequences",2016-09-01
"10.1101/071043","ch···o interactions are not the cause of trends in reactivity and secondary kinetic isotope effects for enzymatic sn2 methyl transfer reactions",2016-09-01
"10.1101/072561","a hierarchical bayesian framework for understanding the spatiotemporal dynamics of the intestinal epithelium",2016-08-31
"10.1101/073056","genome-wide association and hla region fine-mapping studies identify susceptibility loci for multiple common infections",2016-09-01
"10.1101/073049","activity of thec. elegansegg-laying behavior circuit is controlled by competing activation and feedback inhibition",2016-09-01
"10.1101/071019","metacoder: an r package for visualization and manipulation of community taxonomic diversity data",2016-08-31
"10.1101/070185","cooperative dna binding by a splice variant of the transcription factor ets1 that lacks autoinhibition",2016-08-31
"10.1101/072520","evolutionary genetics of insecticide resistance and the effects of chemical rotation",2016-08-31
"10.1101/072769","major host transitions are modulated through transcriptome-wide reprograming events in schistocephalus solidus, a threespine stickleback parasite",2016-08-31
"10.1101/073023","the house fly y chromosome is young and minimally differentiated from its ancient x chromosome partner",2016-09-01
"10.1101/072470","deep annotation of protein function across diverse bacteria from mutant phenotypes",2016-08-31
"10.1101/072546","cost effective acoustic monitoring of biodiversity and bird populations in kenya",2016-08-31
"10.1101/072645","dms2dfe: comprehensive workflow for analysis of deep mutational scanning data",2016-08-31
"10.1101/072744","targeted reconstruction of t cell receptor sequence from single cell rna-sequencing links cdr3 length to t cell differentiation state",2016-08-31
"10.1101/072488","epigenetic memory via concordant dna methylation is inversely correlated to developmental potential of mammalian cells",2016-08-31
"10.1101/072959","selective constraints on coding sequences of nervous system genes are a major determinant of duplicate gene retention in vertebrates",2016-09-01
"10.1101/072785","wide-ranging and unexpected consequences of altered pol ii catalytic activity in vivo",2016-08-31
"10.1101/072447","simera: modelling the pcr process to simulate realistic chimera formation",2016-08-31
"10.1101/072579","unraveling the differential dynamics of developmental fate in central and peripheral nervous systems",2016-08-31
"10.1101/072660","an effect size distribution analysis of heart rate variability studies: recommendations for reporting the magnitude of group differences",2016-08-31
"10.1101/072678","behavioral tagging and the penumbra of learning",2016-08-31
"10.1101/072454","the transcriptome of the avian malaria parasite plasmodium ashfordi displays host-specific gene expression",2016-08-31
"10.1101/073015","natural variation in arabidopsis cvi-0 accession uncovers regulation of guard cell co2 signaling by mpk12",2016-09-01
"10.1101/072710","thewhitegene controls copulation success indrosophila melanogaster",2016-08-31
"10.1101/072892","civic: a knowledgebase for expert-crowdsourcing the clinical interpretation of variants in cancer.",2016-09-01
"10.1101/072793","the visual white matter: the application of diffusion mri and fiber tractography to vision science",2016-09-02
"10.1101/073064","reductive analytics on big ms data leads to tremendous reduction in time for peptide deduction",2016-09-02
"10.1101/073098","zika virus infection as a cause of congenital brain abnormalities and guillain-barre syndrome: systematic review",2016-09-02
"10.1101/071779","virus genomes reveal the factors that spread and sustained the west african ebola epidemic.",2016-09-02
"10.1101/073148","sexual dimorphism in the drosophila metabolome increases throughout development",2016-09-02
"10.1101/073163","ankyrin g membrane partners drive the establishment and maintenance of the axon initial segment",2016-09-02
"10.1101/068866","comprehensive analysis of two shank3 and the cacna1c mouse models of autism spectrum disorder",2016-09-02
"10.1101/073171","trends in dna methylation with age replicate across diverse human populations",2016-09-02
"10.1101/073130","learning improves conscious access at the bottom, but not the top: reverse hierarchical effects in perceptual learning and metacognition",2016-09-02
"10.1101/073114","using high-resolution variant frequencies to empower clinical genome interpretation",2016-09-02
"10.1101/062067","real-time detection of prt1-mediated ubiquitination via fluorescently labeled substrate probes",2016-09-03
"10.1101/073239","accurate de novo prediction of protein contact map by ultra-deep learning model",2016-09-03
"10.1101/073189","a novel clustering method for patient stratification",2016-09-03
"10.1101/073247","network modules driving plant stress response, tolerance and adaptation: a case study using abscisic acid induced protein-protein interactome of arabidopsis thaliana",2016-09-03
"10.1101/073213","gene expression analysis provides insight into the physiology of the important staple food crop cassava",2016-09-03
"10.1101/073270","decellularised human liver is too heterogeneous for designing a generic ecm-mimic hepatic scaffold",2016-09-04
"10.1101/073346","direct and indirect models for protein chemical denaturation are characteristic of opposite dynamic properties",2016-09-04
"10.1101/073387","an efficient electroporation protocol for the genetic modification of mammalian cells",2016-09-04
"10.1101/073379","gphase: greedy approach for accurate haplotype inferencing",2016-09-04
"10.1101/073106","wolbachia infections in aedes aegypti differ markedly in their response to cyclical heat stress",2016-09-04
"10.1101/073312","fossils matter: improved estimates of divergence times in pinus reveal older diversification",2016-09-04
"10.1101/073254","pitfalls in inferring human microbial dynamics from temporal metagenomics data",2016-09-04
"10.1101/073320","range stability predicts lineage persistence in a morphologically cryptic ground squirrel species complex",2016-09-04
"10.1101/073304","high throughput sequencing of multiple amplicons for barcoding and integrative taxonomy",2016-09-04
"10.1101/073528","comparative genomics and metagenomics analyses of endangered père david’s deer (elaphurus davidianus) provide insights into population recovery",2016-09-05
"10.1101/073551","lorte: detecting transposon-induced genomic variants using low coverage pacbio long read sequences",2016-09-05
"10.1101/073403","differential expression analysis for rnaseq using poisson mixed models",2016-09-05
"10.1101/073411","a multi-crystal method for extracting obscured signal from crystallographic electron density",2016-09-05
"10.1101/073262","behavioral syndromes can reduce population density: behavior and demographic heterogeneity",2016-09-05
"10.1101/073395","ultrasensitive detection of tcr hypervariable region in solid-tissue rna-seq data",2016-09-05
"10.1101/073460","semi-automated identification of ontological labels in the biomedical literature with goldi",2016-09-05
"10.1101/073577","an efficient extension of n-mixture models for multi-species abundance estimation",2016-09-05
"10.1101/073445","improved assemblies and comparison of two ancient yersinia pestis genomes",2016-09-05
"10.1101/073221","recent advances in the study of fine-scale population structure in humans",2016-09-04
"10.1101/073478","precise label-free quantitative proteomes in high-throughput by microlc and data-independent swath acquisition",2016-09-05
"10.1101/073585","measuring meg closer to the brain: performance of on-scalp sensor arrays",2016-09-05
"10.1101/073437","improving the temporal accuracy of functional magnetic resonance imaging",2016-09-05
"10.1101/073510","retroviral origins of the caenorhabditis elegans orphan gene f58h7.5.",2016-09-05
"10.1101/073494","intrinsic brain connectivity after partial sleep deprivation in young and older adults: results from the stockholm sleepy brain study",2016-09-05
"10.1101/073296","a scalable algorithm for structure identification of complex gene regulatory network from temporal expression data",2016-09-04
"10.1101/073205","impact of type 2 diabetes on cardiorespiratory function and exercise performance",2016-09-05
"10.1101/073833","svscore: an impact prediction tool for structural variation",2016-09-06
"10.1101/073817","a living vector field reveals constraints on galactose network induction in yeast",2016-09-06
"10.1101/073643","integrative classification of human coding and non-coding genes based on rna metabolism profiles",2016-09-06
"10.1101/073635","the impact of recent population history on the deleterious mutation load in humans and close evolutionary relatives",2016-09-06
"10.1101/073759","functional connectivity models for decoding of spatial representations from hippocampal ca1 recordings",2016-09-06
"10.1101/073791","high-throughput detection of rna processing in bacteria",2016-09-06
"10.1101/073809","predicting the impact of non-coding variants on dna methylation",2016-09-06
"10.1101/070805","ethnically relevant consensus korean reference genome towards personal reference genomes",2016-09-06
"10.1101/073684","molecular adaptation in rubisco: discriminating between convergent evolution and positive selection using mechanistic and classical codon models",2016-09-06
"10.1101/065698","dissection of the contribution of regulation mode to the properties of feedforward and feedback gene regulatory motifs.",2016-09-06
"10.1101/073825","de novo extraction of microbial strains from metagenomes reveals intra-species niche partitioning",2016-09-06
"10.1101/073650","five years investigation of female and male genotypes in perigord black truffle (tuber melanosporum vittad.) revealed contrasted reproduction strategies",2016-09-06
"10.1101/073874","interplay between periodic stimulation and gabaergic inhibition in striatal network oscillations",2016-09-06
"10.1101/073841","cell-free translation is more variable than transcription",2016-09-06
"10.1101/073726","transcriptome analysis revealed the possible contribution of chromosome introgression fragments from sea island cotton (gossypium barbadense) to fiber strength in upland cotton (gossypium hirsutum)",2016-09-06
"10.1101/073593","genome-wide binding of posterior hoxa/d transcription factors reveals subgrouping and association with ctcf",2016-09-06
"10.1101/073940","position information encoded by population activity in hierarchical visual areas",2016-09-07
"10.1101/073908","spatial patterning of p granules by rna-induced phase separation of the intrinsically-disordered protein meg-3",2016-09-07
"10.1101/073932","a bayesian method for reducing bias in neural representational similarity analysis",2016-09-07
"10.1101/073924","draft genomes of clinical bacillus cereus isolates ah725 and b06.009 closely related to reference strains atcc 14579 and atcc 10987",2016-09-07
