"control_issn","control_doi","control_comparison_doi","control_title","control_publisher","control_journal","control_volume","control_issue","control_type","control_date","IF","control_is_oa","control_oa_journal","control_oa_evidence","control_oa_host_type","control_score","control_tweets","control_facebook","control_feeds","control_mendeley"
"2041-1723","10.1038/ncomms5926","10.1038/ncomms6187","Novel loci affecting iron homeostasis and their effects in individuals at risk for hemochromatosis","Springer Nature","nature communications","5","1","journal-article","2014-10-29","12.353",TRUE,FALSE,"open (via free pdf)","publisher",4.25,9,0,0,"77"
"2050-084X","10.7554/elife.06024","10.7554/elife.04729","An organismal perspective on C. intestinalis development, origins and diversification","eLife Sciences Publications, Ltd","elife","4",NA,"journal-article","2015-03-25","7.616",TRUE,TRUE,"oa journal (via doaj)","publisher",4.8,8,0,0,"45"
"1087-0156","10.1038/nbt0715-675b","10.1038/nbt.3270","GINA and the 'devious defecator' case","Springer Nature","nature biotechnology","33","7","journal-article","2015-07-08","35.724",FALSE,FALSE,NA,NA,1,1,0,0,"2"
"1553-7404","10.1371/journal.pgen.1005413","10.1371/journal.pgen.1005404","A Year of Infection in the Intensive Care Unit: Prospective Whole Genome Sequencing of Bacterial Clinical Isolates Reveals Cryptic Transmissions and Novel Microbiota","Public Library of Science (PLoS)","plos genetics","11","7","journal-article","2015-07-31","5.54",TRUE,TRUE,"open (via page says license)","publisher",67.05,104,0,1,"143"
"1756-994X","10.1186/s13073-015-0145-3","10.1186/s13073-015-0152-4","HLAreporter: a tool for HLA typing from next generation sequencing data","Springer Nature","genome medicine","7","1","journal-article","2015-03-13","8.898",TRUE,TRUE,"open (via page says license)","publisher",7.3,14,1,0,"87"
"1367-4803","10.1093/bioinformatics/btv060","10.1093/bioinformatics/btv057","Computational identification of MoRFs in protein sequences","Oxford University Press (OUP)","bioinformatics","31","11","journal-article","2015-01-31","5.481",TRUE,FALSE,"open (via free pdf)","publisher",12.774,5,0,1,"28"
"0016-6731","10.1534/genetics.114.172221","10.1534/genetics.114.173807","
            A Novel Paradigm for Nonassociative Long-Term Memory in
            Drosophila
            : Predator-Induced Changes in Oviposition Behavior
          ","Genetics Society of America","genetics","199","4","journal-article","2015-01-30","4.075",TRUE,FALSE,"open (via free pdf)","publisher",14.58,13,0,1,"40"
"1744-9561","10.1098/rsbl.2014.0592","10.1098/rsbl.2014.0497","Marching into battle: synchronized walking diminishes the conceptualized formidability of an antagonist in men","The Royal Society","biology letters","10","8","journal-article","2014-08-27","3.345",TRUE,FALSE,"open (via free pdf)","publisher",70.75,24,3,0,"62"
"1932-6203","10.1371/journal.pone.0104038","10.1371/journal.pone.0108490","Correlation of Chitinase 3-Like 1 Single Nucleotide Polymorphisms and Haplotypes with Uterine Cervical Cancer in Taiwanese Women","Public Library of Science (PLoS)","plos one","9","9","journal-article","2014-09-09","2.766",TRUE,TRUE,"oa journal (via doaj)","publisher",0,0,0,0,NA
"0962-1083","10.1111/mec.12947","10.1111/mec.12977","Environmental drivers of ectomycorrhizal communities in Europe's temperate oak forests","Wiley","molecular ecology","23","22","journal-article","2014-10-03","6.131",FALSE,FALSE,NA,NA,5.3,8,0,0,"103"
"1759-6653","10.1093/gbe/evv197","10.1093/gbe/evv210","Early Evolution of Vertebrate Mybs: An Integrative Perspective Combining Synteny, Phylogenetic, and Gene Expression Analyses","Oxford University Press (OUP)","genome biology and evolution","7","11","journal-article","2015-10-17","3.94",TRUE,TRUE,"open (via page says Open Access)","publisher",4,8,0,0,"17"
"1061-4036","10.1038/ng.3216","10.1038/ng.3190","Recombination affects accumulation of damaging and disease-associated mutations in human populations","Springer Nature","nature genetics","47","4","journal-article","2015-02-16","27.125",FALSE,FALSE,NA,NA,159.144,35,2,3,"129"
"2167-8359","10.7717/peerj.622","10.7717/peerj.597","Representing connectivity: quantifying effective habitat availability based on area and connectivity for conservation status assessment and recovery","PeerJ","peerj","2",NA,"journal-article","2014-10-09","2.118",TRUE,TRUE,"open (via page says license)","publisher",4.45,7,1,0,"33"
"1055-7903","10.1016/j.ympev.2015.09.022","10.1016/j.ympev.2015.08.026","Horizontal gene transfer of a Chlamydial tRNA-guanine transglycosylase gene to eukaryotic microbes","Elsevier BV","molecular phylogenetics and evolution","94",NA,"journal-article","2015-10-07","4.412",FALSE,FALSE,NA,NA,4.3,8,0,0,"30"
"2160-1836","10.1534/g3.114.015057","10.1534/g3.114.013979","
            How Big Is Your Y? A Genome Sequence-Based Estimate of the Size of the Male-Specific Region in
            Megaselia scalaris
          ","Genetics Society of America","g3&amp;#58; genes|genomes|genetics","5","1","journal-article","2014-11-07","2.742",TRUE,TRUE,"open (via page says license)","publisher",1.5,3,0,0,"9"
"1872-4973","10.1016/j.fsigen.2014.09.019","10.1016/j.fsigen.2014.09.005","A series of recommended tests when validating probabilistic DNA profile interpretation software","Elsevier BV","forensic science international: genetics","14",NA,"journal-article","2014-10-05","5.637",FALSE,FALSE,NA,NA,0,0,0,0,NA
"0079-6107","10.1016/j.pbiomolbio.2015.02.001","10.1016/j.pbiomolbio.2015.01.006","Unsolved problems in biology—The state of current thinking","Elsevier BV","progress in biophysics and molecular biology","117","2-3","journal-article","2015-02-14","3.427",TRUE,FALSE,"open (via crossref license)","publisher",24.43,14,0,1,"110"
"2050-084X","10.7554/elife.03256","10.7554/elife.05896","The topography of frequency and time representation in primate auditory cortices","eLife Sciences Publications, Ltd","elife","4",NA,"journal-article","2015-01-15","7.616",TRUE,TRUE,"open (via page says license)","publisher",6.5,5,0,0,"59"
"0027-8424","10.1073/pnas.1315545112","10.1073/pnas.1413877112","Global typology of urban energy use and potentials for an urbanization mitigation wedge","Proceedings of the National Academy of Sciences","proceedings of the national academy of sciences","112","20","journal-article","2015-01-13","9.504",TRUE,FALSE,"open (via free pdf)","publisher",154.138,52,6,4,"219"
"1474-760X",NA,"10.1186/s13059-014-0527-7",NA,NA,NA,NA,NA,NA,NA,"13.214",NA,NA,NA,NA,12.35,17,1,0,NA
"1087-0156","10.1038/nbt.3251","10.1038/nbt.3238","Accelerating innovation in rapid diagnostics and targeted antibacterials","Springer Nature","nature biotechnology","33","6","journal-article","2015-06-09","35.724",FALSE,FALSE,NA,NA,2.5,6,0,0,"53"
"0010-5422","10.1650/condor-13-052.1","10.1650/condor-13-142.1","Urban development reduces fledging success of Barn Owls in British Columbia, Canada","Cooper Ornithological Society","the condor","116","4","journal-article","2014-10-22","2.722",FALSE,FALSE,NA,NA,0.5,1,0,0,"23"
"1553-7404","10.1371/journal.pgen.1004962","10.1371/journal.pgen.1004915","The Hippo Pathway Regulates Homeostatic Growth of Stem Cell Niche Precursors in the Drosophila Ovary","Public Library of Science (PLoS)","plos genetics","11","2","journal-article","2015-02-02","5.54",TRUE,TRUE,"oa journal (via doaj)","publisher",0.5,1,1,0,"56"
"1460-2059","10.1093/bioinformatics/btv067","10.1093/bioinformatics/btv002","TIMMA-R: an R package for predicting synergistic multi-targeted drug combinations in cancer cell lines or patient-derived samples","Oxford University Press (OUP)","bioinformatics","31","11","journal-article","2015-02-01","5.481",TRUE,FALSE,"open (via page says Open Access)","publisher",5.25,8,0,0,"69"
"2052-4463","10.1038/sdata.2014.46","10.1038/sdata.2014.45","Synaptic molecular imaging in spared and deprived columns of mouse barrel cortex with array tomography","Springer Nature","scientific data","1",NA,"journal-article","2014-12-22","5.311",TRUE,TRUE,"open (via page says license)","publisher",18.1,19,2,1,"44"
"2050-084X","10.7554/elife.04645","10.7554/elife.04599","Vascular remodeling is governed by a VEGFR3-dependent fluid shear stress set point","eLife Sciences Publications, Ltd","elife","4",NA,"journal-article","2015-02-02","7.616",TRUE,TRUE,"open (via page says license)","publisher",6.15,10,0,0,"106"
"1367-4803","10.1093/bioinformatics/btv228","10.1093/bioinformatics/btv296","A hierarchical Bayesian model for flexible module discovery in three-way time-series data","Oxford University Press (OUP)","bioinformatics","31","12","journal-article","2015-06-13","5.481",TRUE,FALSE,"open (via page says Open Access)","publisher",10.33,5,0,1,"46"
"0071-3260","10.1007/s11692-014-9292-5","10.1007/s11692-014-9293-4","Ontogeny of the Thyroid Glands During Larval Development of South American Horned Frogs (Anura, Ceratophryidae)","Springer Nature","evolutionary biology","41","4","journal-article","2014-08-13","2.25",FALSE,FALSE,NA,NA,0,0,0,0,NA
"0027-8424","10.1073/pnas.1500784112","10.1073/pnas.1415895112","Profile of Eric Betzig, Stefan Hell, and W. E. Moerner, 2014 Nobel Laureates in Chemistry","Proceedings of the National Academy of Sciences","proceedings of the national academy of sciences","112","9","journal-article","2015-02-18","9.504",TRUE,FALSE,"open (via free pdf)","publisher",9.08,3,1,1,"26"
"1553-7404","10.1371/journal.pgen.1005093","10.1371/journal.pgen.1005118","Male-Biased Aganglionic Megacolon in the TashT Mouse Line Due to Perturbation of Silencer Elements in a Large Gene Desert of Chromosome 10","Public Library of Science (PLoS)","plos genetics","11","3","journal-article","2015-03-18","5.54",TRUE,TRUE,"open (via page says license)","publisher",1,2,0,0,"13"
"0014-3820","10.1111/evo.12532","10.1111/evo.12546","The temporal distribution of directional gradients under selection for an optimum","Wiley","evolution","68","12","journal-article","2014-10-10","3.818",TRUE,FALSE,"open (via free pdf)","publisher",8.5,2,0,1,"43"
"0092-8240","10.1007/s11538-014-0052-6","10.1007/s11538-014-0050-8","A Computational Model of the Dendron of the GnRH Neuron","Springer Nature","bulletin of mathematical biology","77","6","journal-article","2014-12-11","1.484",FALSE,FALSE,NA,NA,0.5,1,1,0,"7"
"0022-1910","10.1016/j.jinsphys.2014.06.005","10.1016/j.jinsphys.2014.07.001","Heritability of hsp70 expression in the beetle Tenebrio molitor: Ontogenetic and environmental effects","Elsevier BV","journal of insect physiology","67",NA,"journal-article","2014-06-23","2.733",FALSE,FALSE,NA,NA,0,0,0,0,NA
"0022-1910","10.1016/j.jinsphys.2014.05.018","10.1016/j.jinsphys.2014.05.025","Progeny of Osmia lignaria from distinct regions differ in developmental phenology and survival under a common thermal regime","Elsevier BV","journal of insect physiology","67",NA,"journal-article","2014-05-28","2.733",FALSE,FALSE,NA,NA,0,0,0,0,NA
"2050-084X","10.7554/elife.10110","10.7554/elife.09178","Feeding state-dependent regulation of developmental plasticity via CaMKI and neuroendocrine signaling","eLife Sciences Publications, Ltd","elife","4",NA,"journal-article","2015-09-03","7.616",TRUE,TRUE,"open (via page says license)","publisher",13.75,7,0,0,"40"
"0027-8424","10.1073/pnas.1501598112","10.1073/pnas.1500804112","Rodent reservoirs of future zoonotic diseases","Proceedings of the National Academy of Sciences","proceedings of the national academy of sciences","112","22","journal-article","2015-05-19","9.504",TRUE,FALSE,"open (via free pdf)","publisher",445.794,39,4,3,"295"
"1742-5689","10.1098/rsif.2015.0388","10.1098/rsif.2015.0288","In silicoanalysis suggests differential response to bevacizumab and radiation combination therapy in newly diagnosed glioblastoma","The Royal Society","journal of the royal society interface","12","109","journal-article","2015-07-23","3.355",TRUE,FALSE,"open (via page says license)","publisher",10.2,15,0,0,"7"
"0896-6273","10.1016/j.neuron.2016.05.028","10.1016/j.neuron.2016.06.012","Fast Sequences of Non-spatial State Representations in Humans","Elsevier BV","neuron","91","1","journal-article","2016-06-27","14.319",TRUE,FALSE,"open (via crossref license)","publisher",25.7,47,1,0,"236"
"2167-8359","10.7717/peerj.684","10.7717/peerj.642","Transcriptome analyses ofAnguillicola crassusfrom native and novel hosts","PeerJ","peerj","2",NA,"journal-article","2014-11-27","2.118",TRUE,TRUE,"open (via page says license)","publisher",1,3,0,0,"13"
"1471-2164","10.1186/s12864-016-2945-2","10.1186/s12864-016-2647-9","Differential expression of skeletal muscle genes following administration of clenbuterol to exercised horses","Springer Nature","bmc genomics","17","1","journal-article","2016-08-09","3.73",TRUE,TRUE,"open (via page says license)","publisher",2.85,5,1,0,"7"
"2041-1723","10.1038/ncomms8453","10.1038/ncomms8438","Natural variation in timing of stress-responsive gene expression predicts heterosis in intraspecific hybrids of Arabidopsis","Springer Nature","nature communications","6","1","journal-article","2015-07-08","12.353",TRUE,TRUE,"open (via free pdf)","publisher",3.5,6,1,0,"80"
"1545-5963","10.1109/tcbb.2015.2505294","10.1109/tcbb.2015.2509992","Characteristic Gene Selection Based on Robust Graph Regularized Non-Negative Matrix Factorization","Institute of Electrical and Electronics Engineers (IEEE)","ieee/acm transactions on computational biology and bioinformatics","13","6","journal-article","2015-12-09","2.428",FALSE,FALSE,NA,NA,0,0,0,0,NA
"0962-1083","10.1111/mec.13100","10.1111/mec.13137","The relative power of genome scans to detect local adaptation depends on sampling design and statistical method","Wiley","molecular ecology","24","5","journal-article","2015-02-04","6.131",FALSE,FALSE,NA,NA,25.828,25,1,1,"410"
"1465-6906","10.1186/s13059-015-0591-7","10.1186/s13059-015-0611-7","Copy number variation in Y chromosome multicopy genes is linked to a paternal parent-of-origin effect on CNS autoimmune disease in female offspring","Springer Nature","genome biology","16","1","journal-article","2015-02-09","13.214",TRUE,FALSE,"open (via page says license)","publisher",3.5,8,1,0,"46"
"2050-084X","10.7554/elife.03925","10.7554/elife.04525","Vitamin A supplements, routine immunization, and the subsequent risk of Plasmodium infection among children under 5 years in sub-Saharan Africa","eLife Sciences Publications, Ltd","elife","4",NA,"journal-article","2015-02-03","7.616",TRUE,TRUE,"open (via page says license)","publisher",92.106,11,0,1,"33"
"0962-1083","10.1111/mec.13121","10.1111/mec.13122","Climate impacts on transocean dispersal and habitat in gray whales from the Pleistocene to 2100","Wiley","molecular ecology","24","7","journal-article","2015-03-09","6.131",FALSE,FALSE,NA,NA,91.03,74,2,3,"77"
"1932-6203","10.1371/journal.pone.0133448","10.1371/journal.pone.0131933","SIRT1 Interacts with and Deacetylates ATP6V1B2 in Mature Adipocytes","Public Library of Science (PLoS)","plos one","10","7","journal-article","2015-07-15","2.766",TRUE,TRUE,"oa journal (via doaj)","publisher",0.5,1,0,0,"7"
"0214-6282","10.1387/ijdb.140081cb","10.1387/ijdb.140088mr","An immunocytochemical window into the development of Platynereis massiliensis (Annelida, Nereididae)","UPV/EHU Press","the international journal of developmental biology","58","6-7-8","journal-article","2015-02-18","1.579",TRUE,FALSE,"open (via free pdf)","publisher",0,0,0,0,NA
"1755-8794","10.1186/s12920-015-0092-2","10.1186/s12920-015-0095-z","New recurrent BRCA1/2 mutations in Polish patients with familial breast/ovarian cancer detected by next generation sequencing","Springer Nature","bmc medical genomics","8","1","journal-article","2015-05-06","3.317",TRUE,TRUE,"open (via page says license)","publisher",1.25,3,0,0,"28"
"0022-5193","10.1016/j.jtbi.2015.02.003","10.1016/j.jtbi.2015.01.019","The joint evolution and maintenance of self-incompatibility with gynodioecy or androdioecy","Elsevier BV","journal of theoretical biology","371",NA,"journal-article","2015-02-11","1.833",FALSE,FALSE,NA,NA,3,0,0,0,"21"
"2052-4463","10.1038/sdata.2015.2","10.1038/sdata.2014.54","Human olfactory receptor responses to odorants","Springer Nature","scientific data","2",NA,"journal-article","2015-02-03","5.311",TRUE,TRUE,"open (via page says license)","publisher",16.2,15,0,1,"107"
"1355-8382","10.1261/rna.051805.115","10.1261/rna.051557.115","Nonorthogonal tRNAcysAmberfor protein and nascent chain labeling","Cold Spring Harbor Laboratory","rna","21","9","journal-article","2015-07-21","4.49",TRUE,FALSE,"open (via page says license)","publisher",0.25,1,0,0,"12"
"0002-9297","10.1016/j.ajhg.2015.02.018","10.1016/j.ajhg.2015.03.004","Genome-wide Analysis of Body Proportion Classifies Height-Associated Variants by Mechanism of Action and Implicates Genes Important for Skeletal Development","Elsevier BV","the american journal of human genetics","96","5","journal-article","2015-04-11","8.855",TRUE,FALSE,"open (via crossref license)","publisher",5,4,0,0,"48"
"1553-7404","10.1371/journal.pgen.1005170","10.1371/journal.pgen.1005176","Competition between VanUG Repressor and VanRG Activator Leads to Rheostatic Control of vanG Vancomycin Resistance Operon Expression","Public Library of Science (PLoS)","plos genetics","11","4","journal-article","2015-04-21","5.54",TRUE,TRUE,"oa journal (via doaj)","publisher",2.5,6,0,0,"12"
"1553-7404","10.1371/journal.pgen.1005490","10.1371/journal.pgen.1005541","Protein Composition of Infectious Spores Reveals Novel Sexual Development and Germination Factors in Cryptococcus","Public Library of Science (PLoS)","plos genetics","11","8","journal-article","2015-08-27","5.54",TRUE,TRUE,"oa journal (via doaj)","publisher",25.554,6,0,1,"32"
"2211-1247","10.1016/j.celrep.2016.01.058","10.1016/j.celrep.2016.01.008","Structural and Molecular Basis for Coordination in a Viral DNA Packaging Motor","Elsevier BV","cell reports","14","8","journal-article","2016-02-20","8.032",TRUE,TRUE,"oa journal (via doaj)","publisher",4.5,10,1,0,"13"
"0016-6731","10.1534/genetics.114.167320","10.1534/genetics.112.145359","
            MicroRNAs Influence Reproductive Responses by Females to Male Sex Peptide in
            Drosophila melanogaster
          ","Genetics Society of America","genetics","198","4","journal-article","2014-09-23","4.075",TRUE,FALSE,"open (via free pdf)","publisher",5.75,9,0,0,"40"
"1474-760X",NA,"10.1186/s13059-014-0465-4",NA,NA,NA,NA,NA,NA,NA,"13.214",NA,NA,NA,NA,12.35,17,1,0,NA
"1742-9994","10.1186/s12983-014-0087-4","10.1186/s12983-014-0093-6","Temperature tolerance of different larval stages of the spider crab Hyas araneus exposed to elevated seawater PCO2","Springer Nature","frontiers in zoology","11","1","journal-article","2014-12-15","3.627",TRUE,TRUE,"open (via page says license)","publisher",5.272,0,0,1,"29"
"0022-5193","10.1016/j.jtbi.2014.09.039","10.1016/j.jtbi.2014.09.018","Mathematical study for the mechanism of vascular and spot patterns by auxin and pin dynamics in plant development","Elsevier BV","journal of theoretical biology","365",NA,"journal-article","2014-10-09","1.833",FALSE,FALSE,NA,NA,0,0,0,0,NA
"0006-3495","10.1016/j.bpj.2015.09.031","10.1016/j.bpj.2015.08.015","Modeling Local X-ROS and Calcium Signaling in the Heart","Elsevier BV","biophysical journal","109","10","journal-article","2015-11-17","3.495",TRUE,FALSE,"open (via crossref license)","publisher",2.5,3,0,0,"27"
"1932-6203","10.1371/journal.pone.0131108","10.1371/journal.pone.0126776","A Transition Zone Showing Highly Discontinuous or Alternating Levels of Stem Cell and Proliferation Markers Characterizes the Development of PTEN-Haploinsufficient Colorectal Cancer","Public Library of Science (PLoS)","plos one","10","6","journal-article","2015-06-22","2.766",TRUE,TRUE,"open (via page says license)","publisher",1,1,0,0,"21"
"1088-9051","10.1101/gr.189027.114","10.1101/gr.184135.114","Regulation of the ESC transcriptome by nuclear long noncoding RNAs","Cold Spring Harbor Laboratory","genome research","25","9","journal-article","2015-06-06","10.101",TRUE,FALSE,"open (via page says license)","publisher",16.25,14,1,1,"108"
"1662-5188","10.3389/fncom.2015.00097","10.3389/fncom.2015.00095","Synchronization-based computation through networks of coupled oscillators","Frontiers Media SA","frontiers in computational neuroscience","9",NA,"journal-article","2015-08-04","2.073",TRUE,TRUE,"open (via page says license)","publisher",3.2,6,0,0,"33"
"1553-7358","10.1371/journal.pcbi.1004168","10.1371/journal.pcbi.1004176","Dual Dimensionality Reduction Reveals Independent Encoding of Motor Features in a Muscle Synergy for Insect Flight Control","Public Library of Science (PLoS)","plos computational biology","11","4","journal-article","2015-04-28","3.955",TRUE,TRUE,"open (via page says license)","publisher",5.6,11,1,0,"47"
"2050-084X","10.7554/elife.05849","10.7554/elife.05003","C. elegans outside the Petri dish","eLife Sciences Publications, Ltd","elife","4",NA,"journal-article","2015-03-25","7.616",TRUE,TRUE,"oa journal (via doaj)","publisher",30,41,2,1,"261"
"1471-2148","10.1186/s12862-017-0985-0","10.1186/s12862-017-0998-8","Comparative analysis of lincRNA in insect species","Springer Nature","bmc evolutionary biology","17","1","journal-article","2017-07-03","3.027",TRUE,TRUE,"open (via page says license)","publisher",2.75,7,0,0,"31"
"1053-8119","10.1016/j.neuroimage.2015.03.025","10.1016/j.neuroimage.2015.04.026","Partial volume correction for in vivo 23 Na-MRI data of the human brain","Elsevier BV","neuroimage","112",NA,"journal-article","2015-03-31","5.426",FALSE,FALSE,NA,NA,0,0,0,0,NA
"1662-5161","10.3389/fnhum.2016.00057","10.3389/fnhum.2016.00023","Differential Preparation Intervals Modulate Repetition Processes in Task Switching: An ERP Study","Frontiers Media SA","frontiers in human neuroscience","10",NA,"journal-article","2016-02-18","2.871",TRUE,TRUE,"open (via page says license)","publisher",1,3,0,0,"13"
"1088-9051","10.1101/gr.184184.114","10.1101/gr.184341.114","AlacZreporter gene expression atlas for 313 adult KOMP mutant mouse lines","Cold Spring Harbor Laboratory","genome research","25","4","journal-article","2015-01-16","10.101",TRUE,FALSE,"open (via page says license)","publisher",1.5,4,2,0,"18"
"0962-1083","10.1111/mec.13429","10.1111/mec.13455","Evidence for the introduction of the Asian red algaNeosiphonia japonicaand its introgression withNeosiphonia harveyi(Ceramiales, Rhodophyta) in the Northwest Atlantic","Wiley","molecular ecology","24","23","journal-article","2015-10-19","6.131",FALSE,FALSE,NA,NA,1,1,0,0,"17"
"2044-6055","10.1136/bmjopen-2015-008331","10.1136/bmjopen-2014-006772","Association of 12 h shifts and nurses’ job satisfaction, burnout and intention to leave: findings from a cross-sectional study of 12 European countries","BMJ","bmj open","5","9","journal-article","2015-09-11","2.413",TRUE,TRUE,"open (via page says license)","publisher",363.28,363,5,5,"145"
"0002-9297","10.1016/j.ajhg.2015.05.020","10.1016/j.ajhg.2015.05.016","The Human Phenotype Ontology: Semantic Unification of Common and Rare Disease","Elsevier BV","the american journal of human genetics","97","1","journal-article","2015-06-25","8.855",TRUE,FALSE,"open (via crossref license)","publisher",69.93,99,1,1,"207"
"1537-1719","10.1093/molbev/msu342","10.1093/molbev/msu394","Population Diversity and Adaptive Evolution in Keratinization Genes: Impact of Environment in Shaping Skin Phenotypes","Oxford University Press (OUP)","molecular biology and evolution","32","3","journal-article","2014-12-23","10.217",TRUE,FALSE,"open (via free pdf)","publisher",2.75,5,0,0,"31"
"2050-084X","10.7554/elife.06857","10.7554/elife.04637","Transcription factor MITF and remodeller BRG1 define chromatin organisation at regulatory elements in melanoma cells","eLife Sciences Publications, Ltd","elife","4",NA,"journal-article","2015-03-24","7.616",TRUE,TRUE,"open (via page says license)","publisher",3.45,5,0,0,"62"
"1553-7404","10.1371/journal.pgen.1004934","10.1371/journal.pgen.1004920","RecFOR Is Not Required for Pneumococcal Transformation but Together with XerS for Resolution of Chromosome Dimers Frequently Formed in the Process","Public Library of Science (PLoS)","plos genetics","11","1","journal-article","2015-01-08","5.54",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,NA
"1053-8119","10.1016/j.neuroimage.2015.12.036","10.1016/j.neuroimage.2015.12.022","Increasingly complex representations of natural movies across the dorsal stream are shared between subjects","Elsevier BV","neuroimage","145",NA,"journal-article","2015-12-24","5.426",FALSE,FALSE,NA,NA,15.95,29,0,0,"116"
"2211-1247","10.1016/j.celrep.2015.02.033","10.1016/j.celrep.2015.02.058","SUMO-2 Orchestrates Chromatin Modifiers in Response to DNA Damage","Elsevier BV","cell reports","10","10","journal-article","2015-03-12","8.032",TRUE,TRUE,"oa journal (via doaj)","publisher",7.2,8,0,0,"77"
"1465-6906","10.1186/s13059-015-0632-2","10.1186/s13059-015-0610-8","The Fasciola hepatica genome: gene duplication and polymorphism reveals adaptation to the host environment and the capacity for rapid evolution","Springer Nature","genome biology","16","1","journal-article","2015-04-02","13.214",TRUE,FALSE,"open (via page says license)","publisher",23.2,31,1,0,"134"
"2050-084X","10.7554/elife.04686","10.7554/elife.02504","High-resolution structures of kinesin on microtubules provide a basis for nucleotide-gated force-generation","eLife Sciences Publications, Ltd","elife","3",NA,"journal-article","2014-11-20","7.616",TRUE,TRUE,"open (via page says license)","publisher",1.5,1,0,0,"71"
"1478-3975","10.1088/1478-3975/12/2/026001","10.1088/1478-3975/12/2/025002","Actomyosin tension as a determinant of metastatic cancer mechanical tropism","IOP Publishing","physical biology","12","2","journal-article","2015-02-23","1.621",FALSE,FALSE,NA,NA,0,0,0,0,NA
"1932-6203","10.1371/journal.pone.0109549","10.1371/journal.pone.0110579","Prevalence of Goiter and Thyroid Nodules before and after Implementation of the Universal Salt Iodization Program in Mainland China from 1985 to 2014: A Systematic Review and Meta-Analysis","Public Library of Science (PLoS)","plos one","9","10","journal-article","2014-10-14","2.766",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,NA
"1553-7404","10.1371/journal.pgen.1005154","10.1371/journal.pgen.1005206","Genome-Wide Negative Feedback Drives Transgenerational DNA Methylation Dynamics in Arabidopsis","Public Library of Science (PLoS)","plos genetics","11","4","journal-article","2015-04-22","5.54",TRUE,TRUE,"oa journal (via doaj)","publisher",5,12,0,0,"76"
"1756-994X","10.1186/s13073-015-0197-4","10.1186/s13073-015-0177-8","Achieving high-sensitivity for clinical applications using augmented exome sequencing","Springer Nature","genome medicine","7","1","journal-article","2015-07-15","8.898",TRUE,TRUE,"open (via page says license)","publisher",30.8,53,0,0,"95"
"1932-6203","10.1371/journal.pone.0115137","10.1371/journal.pone.0113684","Metacommunity versus Biogeography: A Case Study of Two Groups of Neotropical Vegetation-Dwelling Arthropods","Public Library of Science (PLoS)","plos one","9","12","journal-article","2014-12-30","2.766",TRUE,TRUE,"open (via page says license)","publisher",3,3,0,0,"57"
"1367-4803","10.1093/bioinformatics/btv267","10.1093/bioinformatics/btv335","Inferring orthologous gene regulatory networks using interspecies data fusion","Oxford University Press (OUP)","bioinformatics","31","12","journal-article","2015-06-13","5.481",TRUE,FALSE,"open (via page says Open Access)","publisher",4,5,0,0,"43"
"2352-3964","10.1016/j.ebiom.2015.06.008","10.1016/j.ebiom.2015.06.012","Lysosomal Acid Lipase Activity: A Tool for the Detection and Management of Fatty Liver Disease?","Elsevier BV","ebiomedicine","2","7","journal-article","2015-06-13","6.183",TRUE,TRUE,"oa journal (via doaj)","publisher",0.85,1,0,0,"11"
"1879-6257","10.1016/j.coviro.2014.07.010","10.1016/j.coviro.2014.08.001","Resistance to nucleotide analogue inhibitors of hepatitis C virus NS5B: mechanisms and clinical relevance","Elsevier BV","current opinion in virology","8",NA,"journal-article","2014-08-16","5.644",FALSE,FALSE,NA,NA,0.25,1,0,0,"21"
"2041-1723","10.1038/ncomms6078","10.1038/ncomms6281","Reconstitution of a nanomachine driving the assembly of proteins into bacterial outer membranes","Springer Nature","nature communications","5","1","journal-article","2014-10-24","12.353",TRUE,FALSE,"open (via free pdf)","publisher",4.2,7,0,0,"47"
"2047-217X","10.1186/2047-217x-3-17","10.1186/2047-217x-3-22","Data access for the 1,000 Plants (1KP) project","Oxford University Press (OUP)","gigascience","3","1","journal-article","2014-10-27","7.267",TRUE,TRUE,"oa journal (via doaj)","publisher",69.142,28,1,3,"213"
"1759-6653","10.1093/gbe/evv029","10.1093/gbe/evv087","Genome Diversity and Divergence in Drosophila mauritiana: Multiple Signatures of Faster X Evolution","Oxford University Press (OUP)","genome biology and evolution","7","5","journal-article","2015-05-20","3.94",TRUE,TRUE,"open (via free pdf)","publisher",0.25,1,0,0,NA
"0168-9525","10.1016/j.tig.2014.10.003","10.1016/j.tig.2014.09.010","Genetic research on biospecimens poses minimal risk","Elsevier BV","trends in genetics","31","1","journal-article","2014-12-16","10.556",TRUE,FALSE,"oa repository (via OAI-PMH doi match)","repository",5.05,7,0,0,"9"
"1755-098X","10.1111/1755-0998.12269","10.1111/1755-0998.12280","Protocols for metagenomic DNA extraction and Illumina amplicon library preparation for faecal and swab samples","Wiley","molecular ecology resources","14","6","journal-article","2014-04-29","7.059",FALSE,FALSE,NA,NA,2.6,5,0,0,"211"
"0003-0147","10.1086/682901","10.1086/682948","Diversity Increases Indirect Interactions, Attenuates the Intensity of Competition, and Promotes Coexistence","University of Chicago Press","the american naturalist","186","4","journal-article","2015-08-25","4.265",FALSE,FALSE,NA,NA,5.85,9,0,0,"98"
