"SOURCETITLE","YEAR","IF"
"ecology",2015,4.83
"antimicrobial agents and chemotherapy",2013,4.83
"journal of virology",2015,4.83
"addiction",2014,4.83
"proceedings of the royal society b: biological sciences",2012,4.83
"evolutionary applications",2013,4.83
"molecular cancer research",2015,4.82
"molecular and cellular endocrinology",2013,4.82
"journal of molecular biology",2015,4.82
"journal of cell science",2012,4.82
"conservation biology",2016,4.82
"plant science",2013,4.82
"journal of lipid research",2015,4.81
"genes chromosomes and cancer",2015,4.81
"ieee transactions on biomedical circuits and systems",2013,4.81
"molecular neurobiology",2012,4.81
"american journal of obstetrics and gynecology",2016,4.81
"pharmacological research",2013,4.8
"circulation: cardiovascular genetics",2016,4.8
"cellular signalling",2014,4.8
"journal of proteome research",2014,4.79
"frontiers in plant science",2015,4.79
"journal of cell science",2015,4.79
"cell cycle",2013,4.79
"neuroimage: clinical",2016,4.79
"sleep",2017,4.79
"journal of the royal statistical society. series b: statistical methodology",2016,4.79
"journal of biogeography",2014,4.78
"journal of neural engineering",2014,4.78
"ieee transactions on biomedical engineering",2017,4.78
"cold spring harbor perspectives in medicine",2017,4.78
"plant methods",2017,4.78
"aging",2016,4.78
"journal of alzheimer's disease",2014,4.77
"european journal of medicinal chemistry",2017,4.76
"acs chemical biology",2017,4.76
"optics express",2014,4.76
"international journal of biochemistry and cell biology",2013,4.76
"genes and cancer",2013,4.76
"biological conservation",2013,4.76
"molecular plant-microbe interactions",2015,4.76
"environmental and experimental botany",2016,4.76
"environmental modelling and software",2015,4.75
"cellular signalling",2012,4.75
"ecological applications",2013,4.75
"optics express",2013,4.75
"computational and structural biotechnology journal",2017,4.74
"bmc genomics",2013,4.74
"american journal of obstetrics and gynecology",2013,4.74
"biochemical journal",2014,4.74
"frontiers in oncology",2015,4.74
"evolution",2013,4.74
"journal of neurology, neurosurgery and psychiatry",2012,4.74
"journal of translational medicine",2013,4.74
"environmental microbiology",2017,4.74
"quaternary science reviews",2015,4.73
"sleep",2012,4.73
"british journal of haematology",2016,4.73
"environmental modelling and software",2016,4.73
"breast cancer research and treatment",2014,4.73
"oncotarget",2017,4.72
"psychoneuroendocrinology",2017,4.72
"human mutation",2016,4.72
"briefings in bioinformatics",2016,4.72
"proceedings of the royal society b: biological sciences",2017,4.72
"bmc genomics",2014,4.71
"journal of cheminformatics",2015,4.71
"chromosoma",2014,4.71
"eurosurveillance",2013,4.71
"the new phytologist",2017,4.71
"faseb journal",2017,4.7
"toxicological sciences",2012,4.7
"british journal of haematology",2012,4.7
"molecular and cellular biology",2015,4.7
"rna biology",2014,4.69
"biology direct",2013,4.69
"bioinformatics",2012,4.69
"dmm disease models and mechanisms",2015,4.69
"journal of animal ecology",2014,4.69
"environmental microbiology",2012,4.69
"frontiers in cellular neuroscience",2016,4.69
"ecology",2016,4.68
"journal of virology",2016,4.68
"arthritis research and therapy",2013,4.68
"journal of cerebral blood flow and metabolism",2016,4.68
"diversity and distributions",2017,4.68
"cellular microbiology",2015,4.68
"science of the total environment",2014,4.67
"frontiers in aging neuroscience",2015,4.67
"journal of pain",2017,4.67
"addiction",2017,4.67
"forensic science international: genetics",2014,4.66
"cellular microbiology",2012,4.66
"plos computational biology",2016,4.65
"cell calcium",2013,4.65
"journal of psychopharmacology",2016,4.65
"molecular plant-microbe interactions",2014,4.65
"plos computational biology",2012,4.65
"physical chemistry chemical physics",2014,4.65
"conservation biology",2012,4.64
"international journal for parasitology",2015,4.64
"learning and memory",2013,4.64
"addiction",2016,4.64
"journal of neurochemistry",2013,4.64
"ecology",2017,4.64
"journal of chemical information and modeling",2013,4.64
"oral oncology",2016,4.64
"physical chemistry chemical physics",2015,4.64
"genome biology and evolution",2013,4.63
"journal of pain",2014,4.63
"hippocampus",2013,4.62
"traffic",2012,4.62
"molecular biology of the cell",2012,4.62
"journal of psychopharmacology",2017,4.62
"cellular microbiology",2016,4.62
"journal of molecular biology",2016,4.62
"journal of ecology",2012,4.61
"eurosurveillance",2012,4.61
"biotechnology and bioengineering",2014,4.61
"journal of molecular liquids",2017,4.61
"journal of clinical microbiology",2013,4.61
"european journal of medicinal chemistry",2016,4.61
"cellular signalling",2015,4.6
"journal of cleaner production",2013,4.6
"biological conservation",2017,4.6
"journal of psychopharmacology",2014,4.6
"breast cancer research and treatment",2015,4.6
"american naturalist",2013,4.6
"biomedical optics express",2014,4.6
"journal of pharmacology and experimental therapeutics",2014,4.59
"international journal of neuropsychopharmacology",2013,4.59
"journal of molecular biology",2014,4.59
"cortex",2017,4.59
"journal of investigative dermatology",2016,4.59
"diversity and distributions",2015,4.59
"american journal of pathology",2015,4.59
"social cognitive and affective neuroscience",2012,4.59
"bmc medical genomics",2013,4.59
"journal of neural engineering",2015,4.59
"structure",2017,4.59
"frontiers in aging neuroscience",2016,4.59
"journal of biological chemistry",2015,4.59
"clinical immunology",2014,4.58
"chromosoma",2015,4.58
"antimicrobial agents and chemotherapy",2015,4.58
"frontiers in pharmacology",2016,4.57
"molecular cancer research",2017,4.57
"frontiers in aging neuroscience",2014,4.57
"retrovirology",2013,4.57
"journal of neurochemistry",2014,4.57
"frontiers in pharmacology",2015,4.57
"journal of lipid research",2017,4.57
"journal of clinical microbiology",2014,4.57
"molecular plant-microbe interactions",2016,4.57
"traffic",2017,4.55
"neurobiology of learning and memory",2013,4.55
"clinical microbiology and infection",2017,4.55
"development (cambridge)",2013,4.55
"journal of cognitive neuroscience",2012,4.55
"journal of cystic fibrosis",2016,4.55
"siam review",2015,4.54
"acs chemical neuroscience",2014,4.54
"oncogenesis",2014,4.54
"journal of animal ecology",2017,4.54
"soil biology and biochemistry",2015,4.54
"gastric cancer",2016,4.54
"frontiers in cellular neuroscience",2014,4.54
"npj biofilms and microbiomes",2017,4.54
"hippocampus",2014,4.54
"developmental science",2014,4.53
"oral oncology",2017,4.53
"international journal of biochemistry and cell biology",2014,4.53
"journal of the royal society interface",2013,4.53
"journal of biogeography",2012,4.53
"scientific reports",2016,4.53
"ecological applications",2017,4.53
"cold spring harbor perspectives in medicine",2015,4.53
"stem cell research and therapy",2015,4.53
"skeletal muscle",2012,4.52
"journal of pain",2016,4.52
"ecological applications",2015,4.52
"journal of biological chemistry",2012,4.51
"bmc plant biology",2013,4.51
"genes chromosomes and cancer",2014,4.51
"genetics",2015,4.51
"biology of blood and marrow transplantation",2016,4.51
"forensic science international: genetics",2017,4.51
"biotechnology and bioengineering",2016,4.51
"cell cycle",2014,4.5
"schizophrenia research",2015,4.5
"theoretical and applied genetics",2014,4.5
"journal of translational medicine",2014,4.5
"neurobiology of aging",2017,4.5
"ieee transactions on biomedical engineering",2016,4.5
"ecological applications",2014,4.5
"clinical immunology",2013,4.5
"bioessays",2015,4.5
"biochemical journal",2012,4.5
"rna",2016,4.5
"genome biology and evolution",2014,4.5
"ecological applications",2016,4.49
"antimicrobial agents and chemotherapy",2012,4.49
"genetics",2016,4.49
"journal of immunology",2017,4.49
"astrophysical journal",2017,4.49
"journal of hepatology",2018,4.49
"apl materials",2015,4.49
"journal of proteome research",2015,4.48
"febs journal",2014,4.48
"febs journal",2015,4.48
"american journal of epidemiology",2016,4.48
"european journal of cancer",2012,4.48
"molecular microbiology",2012,4.48
"schizophrenia research",2014,4.48
"genes chromosomes and cancer",2013,4.48
"stem cells international",2015,4.48
"journal of the american medical informatics association",2014,4.48
"journal of neural engineering",2013,4.47
"bmc plant biology",2014,4.47
"emerging infectious diseases",2012,4.47
"conservation biology",2014,4.46
"evolutionary applications",2015,4.46
"toxicological sciences",2017,4.46
"biochimica et biophysica acta - bioenergetics",2016,4.46
"evolutionary applications",2017,4.46
"journal of investigative dermatology",2017,4.46
"infection and immunity",2013,4.46
"journal of pharmacology and experimental therapeutics",2013,4.46
"science of the total environment",2015,4.45
"journals of gerontology - series a biological sciences and medical sciences",2017,4.45
"human reproduction",2012,4.45
"journal of proteome research",2016,4.45
"analytica chimica acta",2013,4.45
"journals of gerontology - series a biological sciences and medical sciences",2012,4.45
"stem cell research and therapy",2013,4.44
"diversity and distributions",2016,4.44
"journal of animal ecology",2012,4.43
"structure",2016,4.43
"plos neglected tropical diseases",2012,4.43
"journal of natural products",2013,4.43
"food microbiology",2016,4.43
"european heart journal",2018,4.42
"breast cancer research and treatment",2012,4.42
"molecular biology of the cell",2015,4.42
"molecular neurodegeneration",2012,4.42
"analyst",2014,4.42
"cortex",2015,4.42
"applied and environmental microbiology",2013,4.42
"toxicological sciences",2015,4.41
"cancer prevention research",2015,4.41
"acs chemical neuroscience",2015,4.41
"soil biology and biochemistry",2014,4.41
"journal of neurochemistry",2017,4.41
"molecular cancer research",2012,4.41
"molecular phylogenetics and evolution",2016,4.41
"oral oncology",2015,4.41
"biological conservation",2015,4.41
"international journal for parasitology",2014,4.41
"international journal of neuropsychopharmacology",2014,4.4
"proteomics",2014,4.4
"optics express",2012,4.4
"emerging microbes and infections",2015,4.4
"ecography",2016,4.4
"biochimica et biophysica acta - general subjects",2013,4.4
"journal of the american medical informatics association",2015,4.4
"plant cell and environment",2016,4.4
"biotechnology and bioengineering",2015,4.4
"febs journal",2017,4.4
"molecular plant pathology",2015,4.39
"plos neglected tropical diseases",2017,4.39
"metabolomics",2014,4.39
"molecular plant-microbe interactions",2012,4.39
"addiction",2015,4.39
"international journal of biochemistry and cell biology",2015,4.38
"frontiers in microbiology",2014,4.38
"addiction",2012,4.38
"environmental science and policy",2013,4.38
"mobile dna",2016,4.38
"journal of the american medical informatics association",2016,4.38
"plant and cell physiology",2015,4.38
"journal of virology",2017,4.37
"molecular plant pathology",2016,4.37
"progress in neuro-psychopharmacology and biological psychiatry",2016,4.37
"molecular and cellular biology",2016,4.37
"journal of lipid research",2012,4.37
"molecular phylogenetics and evolution",2017,4.37
"journal of cell science",2016,4.37
"international journal of biochemistry and cell biology",2012,4.37
"biological conservation",2016,4.37
"emerging microbes and infections",2017,4.37
"arthritis research and therapy",2014,4.36
"agricultural and forest meteorology",2014,4.36
"theoretical and applied genetics",2015,4.36
"journal for immunotherapy of cancer",2015,4.36
"arthritis research and therapy",2015,4.36
"pharmacological research",2012,4.36
"environmental modelling and software",2017,4.36
"social cognitive and affective neuroscience",2014,4.36
"talanta",2017,4.36
"frontiers in oncology",2017,4.36
"proteomics",2013,4.35
"apl materials",2016,4.35
"genes, brain and behavior",2014,4.35
"physical chemistry chemical physics",2013,4.35
"molecular human reproduction",2014,4.35
"ecological indicators",2017,4.34
"journal of antimicrobial chemotherapy",2015,4.34
"journal of the royal society interface",2014,4.34
"plant science",2014,4.34
"vaccine",2014,4.34
"progress in neuro-psychopharmacology and biological psychiatry",2017,4.34
"biological conservation",2014,4.33
"frontiers in plant science",2014,4.33
"toxicological sciences",2014,4.33
"gastric cancer",2017,4.33
"antimicrobial agents and chemotherapy",2016,4.33
"stem cell research and therapy",2016,4.33
"biochimica et biophysica acta - biomembranes",2014,4.33
"molecular phylogenetics and evolution",2014,4.32
"talanta",2016,4.32
"journal of animal ecology",2016,4.32
"proteomics",2015,4.32
"retrovirology",2014,4.32
"frontiers in cellular neuroscience",2017,4.31
"oncogenesis",2017,4.31
"journal of physiology",2015,4.31
"frontiers in cellular and infection microbiology",2016,4.31
"aquatic toxicology",2016,4.31
"journal of cognitive neuroscience",2014,4.31
"frontiers in neuroscience",2014,4.31
"bmc genomics",2012,4.31
"british journal of haematology",2017,4.3
"european journal of human genetics",2014,4.3
"cellular microbiology",2017,4.3
"ecosystems",2016,4.3
"genome biology and evolution",2015,4.3
"frontiers in plant science",2016,4.3
"frontiers in bioengineering and biotechnology",2017,4.3
"frontiers in neuroinformatics",2016,4.3
"oncogenesis",2016,4.3
"acs synthetic biology",2013,4.29
"quaternary science reviews",2017,4.29
"agricultural and forest meteorology",2013,4.29
"psychiatry research - neuroimaging",2013,4.29
"psychological science",2012,4.29
"genes and immunity",2013,4.29
"molecular and cellular endocrinology",2015,4.29
"molecular phylogenetics and evolution",2013,4.28
"pflugers archiv european journal of physiology",2014,4.28
"circulation: cardiovascular genetics",2015,4.28
"rna biology",2013,4.28
"scientific reports",2017,4.28
"evolutionary applications",2014,4.28
"evolutionary applications",2012,4.27
"journal of molecular biology",2013,4.27
"conservation biology",2015,4.27
"biology of blood and marrow transplantation",2017,4.27
"frontiers in neurorobotics",2013,4.27
"alzheimer's and dementia: diagnosis, assessment and disease monitoring",2017,4.27
"agricultural and forest meteorology",2017,4.27
"seminars in thrombosis and hemostasis",2014,4.26
"environmental health: a global access science source",2017,4.26
"clinical immunology",2015,4.26
"hormones and behavior",2017,4.26
"febs journal",2013,4.26
"photosynthesis research",2015,4.26
"geobiology",2013,4.26
"neuroinformatics",2017,4.26
"soft matter",2013,4.25
"bmc genomics",2015,4.25
"journal of biological chemistry",2016,4.25
"frontiers in physiology",2015,4.25
"toxicological sciences",2016,4.25
"genomics, proteomics and bioinformatics",2016,4.25
"dmm disease models and mechanisms",2017,4.25
"biochemical society transactions",2013,4.24
"journal of neuroinflammation",2012,4.24
"progress in neuro-psychopharmacology and biological psychiatry",2014,4.24
"agricultural and forest meteorology",2016,4.24
"genome biology and evolution",2017,4.24
"journal of geophysical research: biogeosciences",2015,4.24
"evolution",2015,4.24
"journal of biogeography",2016,4.24
"cancer prevention research",2016,4.24
"talanta",2015,4.23
"ecological indicators",2014,4.23
"journal of endocrinology",2014,4.23
"biomedical optics express",2013,4.23
"journal of alzheimer's disease",2015,4.23
"annual review of statistics and its application",2016,4.22
"arthritis research and therapy",2017,4.22
"cortex",2012,4.22
"american naturalist",2014,4.22
"frontiers in microbiology",2015,4.22
"metabolomics",2013,4.22
"frontiers in oncology",2014,4.22
"cell communication and signaling",2016,4.22
"ecosystems",2014,4.22
"plos neglected tropical diseases",2015,4.21
"frontiers in systems neuroscience",2015,4.21
"journal of pharmacology and experimental therapeutics",2015,4.21
"journal of cellular physiology",2013,4.21
"environmental health: a global access science source",2014,4.21
"fems microbiology ecology",2013,4.2
"journal of the american chemical society",2018,4.2
"biochimica et biophysica acta - biomembranes",2015,4.2
"analyst",2015,4.2
"protein and cell",2017,4.2
"genome biology and evolution",2012,4.2
"arthritis research and therapy",2016,4.2
"european journal of human genetics",2015,4.2
"food microbiology",2017,4.19
"journal of cellular physiology",2015,4.19
"international journal of neuropsychopharmacology",2012,4.19
"journal of neurochemistry",2012,4.19
"mutation research - fundamental and molecular mechanisms of mutagenesis",2014,4.19
"plant and cell physiology",2017,4.19
"applied and environmental microbiology",2014,4.19
"cold spring harbor perspectives in medicine",2016,4.19
"journal of cancer",2014,4.19
"journal of cancer",2015,4.18
"evolution",2012,4.18
"retrovirology",2015,4.18
"american journal of pathology",2016,4.18
"frontiers in physiology",2016,4.18
"pharmacogenomics journal",2015,4.18
"hippocampus",2017,4.17
"protein and cell",2016,4.17
"cell calcium",2012,4.17
"ecology",2012,4.17
"movement ecology",2014,4.17
"journal of translational medicine",2017,4.17
"soft matter",2014,4.17
"bmc plant biology",2015,4.17
"toxins",2015,4.17
"ecological indicators",2016,4.17
"journal of natural products",2014,4.17
"frontiers in microbiology",2016,4.17
"journal of cell science",2017,4.16
"epidemics",2016,4.16
"psychological medicine",2012,4.16
"theoretical and applied genetics",2017,4.15
"international journal for parasitology: drugs and drug resistance",2015,4.15
"environmental science and policy",2017,4.15
"persoonia: molecular phylogeny and evolution of fungi",2013,4.15
"ieee transactions on biomedical circuits and systems",2017,4.15
"journal of the american medical informatics association",2017,4.15
"cognitive computation",2017,4.15
"plos neglected tropical diseases",2016,4.15
"toxicology research",2014,4.14
"journal of biogeography",2015,4.14
"forensic science international: genetics",2015,4.14
"traffic",2016,4.14
"nicotine and tobacco research",2016,4.14
"journal of translational medicine",2015,4.14
"molecular neurobiology",2015,4.14
"diversity and distributions",2014,4.14
"journal of geophysical research: biogeosciences",2014,4.14
"journal of pharmacology and experimental therapeutics",2016,4.14
"american journal of physiology - cell physiology",2014,4.13
"journal of endocrinology",2017,4.13
"genetics selection evolution",2013,4.13
"european journal of neuroscience",2013,4.13
"cellular signalling",2016,4.13
"frontiers in neural circuits",2015,4.13
"journal of chemical information and modeling",2014,4.12
"proteomics",2012,4.12
"chromosoma",2016,4.12
"orphanet journal of rare diseases",2015,4.12
"rna",2017,4.12
"frontiers in neuroscience",2015,4.12
"environmental and experimental botany",2015,4.12
"nature cell biology",2018,4.11
"progress in neuro-psychopharmacology and biological psychiatry",2013,4.11
"traffic",2015,4.11
"molecular phylogenetics and evolution",2015,4.11
"plant methods",2015,4.11
"theoretical and applied genetics",2016,4.11
"persoonia: molecular phylogeny and evolution of fungi",2012,4.11
"developmental science",2015,4.1
"infection and immunity",2014,4.1
"cognitive computation",2016,4.1
"analyst",2013,4.1
"frontiers in systems neuroscience",2012,4.1
"evolution and human behavior",2012,4.1
"physical chemistry chemical physics",2016,4.09
"ecography",2013,4.09
"journal of psychopharmacology",2015,4.09
"current opinion in insect science",2017,4.09
"food microbiology",2014,4.09
"cell calcium",2017,4.09
"journal of neural engineering",2017,4.09
"toxicology letters",2016,4.09
"glycobiology",2013,4.09
"environmental science and policy",2016,4.09
"briefings in functional genomics",2013,4.08
"progress in biophysics and molecular biology",2013,4.08
"obesity",2014,4.08
"american naturalist",2017,4.08
"genes and immunity",2012,4.08
"acs chemical neuroscience",2013,4.08
"ieee transactions on visualization and computer graphics",2017,4.08
"neural plasticity",2014,4.08
"infection and immunity",2012,4.08
"molecular plant pathology",2017,4.07
"frontiers in neuroscience",2013,4.07
"annual review of statistics and its application",2017,4.07
"journal of autism and developmental disorders",2014,4.07
"genes and cancer",2014,4.07
"biomedical optics express",2015,4.07
"genetics selection evolution",2014,4.07
"industrial crops and products",2017,4.07
"human genetics",2017,4.07
"journal of complex networks",2016,4.07
"proteomics",2016,4.07
"international journal of neuropsychopharmacology",2016,4.07
"frontiers in pharmacology",2014,4.06
"journal of the american medical informatics association",2012,4.06
"journal of pharmacology and experimental therapeutics",2012,4.06
"cancer biology and therapy",2013,4.06
"clinical immunology",2016,4.06
"journal of cellular physiology",2014,4.06
"antimicrobial agents and chemotherapy",2017,4.06
"hippocampus",2015,4.06
"movement ecology",2015,4.06
"heredity",2013,4.06
"genes, brain and behavior",2013,4.06
"journal of cellular physiology",2012,4.06
"epigenetics and chromatin",2012,4.05
"theoretical and applied genetics",2013,4.05
"bioessays",2017,4.05
"american journal of physiology - cell physiology",2013,4.05
"journal of alzheimer's disease",2013,4.05
"cbe life sciences education",2016,4.05
"acs chemical neuroscience",2017,4.05
"genes, brain and behavior",2016,4.05
"fems microbiology ecology",2014,4.05
"applied and environmental microbiology",2015,4.04
"journal of applied ecology",2012,4.04
"journal of cellular physiology",2016,4.04
"journal of biological chemistry",2017,4.04
"frontiers in microbiology",2013,4.04
"food microbiology",2015,4.04
"frontiers in microbiology",2017,4.03
"journal of neurochemistry",2015,4.03
"developmental science",2016,4.03
"bioessays",2016,4.03
"cortex",2016,4.03
"genome biology and evolution",2016,4.03
"american journal of pathology",2017,4.03
"environmental and experimental botany",2017,4.03
"methods",2017,4.03
"evolution",2016,4.03
"developmental biology",2013,4.03
"neural plasticity",2013,4.03
"viruses",2014,4.03
"frontiers in genetics",2015,4.03
"plos computational biology",2017,4.02
"scientific data",2015,4.02
"biotechnology and bioengineering",2017,4.02
"plos one",2013,4.02
"journal of biogeography",2017,4.02
"rsc advances",2014,4.02
"journal of cystic fibrosis",2013,4.02
"chromosoma",2017,4.02
"european journal of medicinal chemistry",2015,4.02
"plos currents",2015,4.02
"journal of chemical information and modeling",2015,4.02
"cell calcium",2014,4.02
"journal of natural products",2017,4.01
"journal of proteome research",2017,4.01
"journal of human evolution",2016,4.01
"evodevo",2015,4.01
"american journal of pathology",2012,4.01
"fems microbiology ecology",2016,4.01
"ieee transactions on biomedical engineering",2015,4.01
"soft matter",2015,4.01
"geobiology",2014,4.01
"annals of intensive care",2017,4.01
"learning and memory",2012,4.01
"journal of neurochemistry",2016,4
"genome medicine",2012,4
"journal of autism and developmental disorders",2015,4
"neuroinformatics",2012,4
"methods in ecology and evolution",2012,4
"critical reviews in plant sciences",2012,4
"briefings in functional genomics",2014,4
"open biology",2012,4
"molecular microbiology",2015,4
"molecular human reproduction",2013,3.99
"journal of the royal society interface",2015,3.99
"applied microbiology and biotechnology",2013,3.99
"frontiers in molecular neuroscience",2017,3.99
"ieee transactions on visualization and computer graphics",2016,3.99
"bmc plant biology",2016,3.99
"biotechnology and bioengineering",2012,3.99
"biochimica et biophysica acta - bioenergetics",2017,3.99
"schizophrenia research",2016,3.99
"molecular and cellular endocrinology",2016,3.99
"journal of psychopharmacology",2013,3.98
"frontiers in genetics",2017,3.98
"journal of general virology",2013,3.98
"bmc cancer",2014,3.98
"mitochondrion",2015,3.98
"analyst",2016,3.98
"plant science",2017,3.98
"brain connectivity",2015,3.98
"genetics",2012,3.98
"obesity",2015,3.97
"orphanet journal of rare diseases",2014,3.97
"annals of clinical and translational neurology",2016,3.97
"biosensors and bioelectronics",2018,3.97
"ecological indicators",2013,3.97
"journal of endocrinology",2013,3.97
"biology letters",2013,3.97
"schizophrenia research",2012,3.97
"journal of comparative neurology",2012,3.97
"neuroimage: clinical",2017,3.96
"frontiers in genetics",2014,3.96
"breast cancer research and treatment",2016,3.96
"journal of autism and developmental disorders",2013,3.96
"journal of natural products",2015,3.96
"febs journal",2012,3.96
"frontiers in plant science",2017,3.96
"biology of blood and marrow transplantation",2015,3.96
"bmc plant biology",2017,3.96
"environmental and experimental botany",2014,3.96
"ieee transactions on visualization and computer graphics",2013,3.95
"aquatic toxicology",2017,3.95
"heredity",2015,3.95
"arthritis research and therapy",2012,3.95
"journal of translational medicine",2016,3.95
"hippocampus",2016,3.95
"molecular ecology resources",2014,3.95
"journal of the royal statistical society. series b: statistical methodology",2014,3.95
"biomedical optics express",2016,3.95
"geobiology",2017,3.95
"developmental science",2012,3.95
"international journal of neuropsychopharmacology",2015,3.95
"alcoholism: clinical and experimental research",2014,3.95
"cancer prevention research",2017,3.95
"american naturalist",2012,3.94
"aquatic toxicology",2015,3.94
"european journal of human genetics",2013,3.94
"investigative ophthalmology and visual science",2013,3.94
"journal of clinical microbiology",2017,3.94
"journal of physiology",2012,3.94
"skeletal muscle",2016,3.94
"cognition",2014,3.94
"parasites and vectors",2014,3.94
"international journal for parasitology",2016,3.94
"ecosystems",2017,3.94
"american journal of physiology - renal physiology",2013,3.94
"frontiers in physiology",2014,3.94
"ieee transactions on visualization and computer graphics",2014,3.94
"american journal of medical genetics, part b: neuropsychiatric genetics",2014,3.94
"trends in cognitive sciences",2018,3.94
"cognitive psychology",2013,3.93
"physical chemistry chemical physics",2017,3.93
"analytical and bioanalytical chemistry",2013,3.93
"database",2012,3.93
"industrial crops and products",2015,3.93
"clinical and translational immunology",2017,3.93
"bmc medical genomics",2012,3.93
"seminars in thrombosis and hemostasis",2013,3.93
"frontiers in cellular and infection microbiology",2014,3.93
"american journal of epidemiology",2012,3.92
"biophysical journal",2013,3.92
"applied and environmental microbiology",2016,3.92
"viruses",2017,3.92
"cognition",2013,3.92
"brain structure and function",2015,3.92
"journal of molecular biology",2012,3.92
"journal of physiology",2016,3.92
"cell host and microbe",2018,3.92
"biophysical journal",2014,3.92
"journal of clinical virology",2013,3.92
"frontiers in neuroscience",2017,3.92
"journal of cheminformatics",2012,3.92
"food microbiology",2013,3.92
"bmc cancer",2013,3.91
"neural plasticity",2015,3.91
"frontiers in chemistry",2017,3.91
"neurobiology of learning and memory",2014,3.91
"frontiers in neurorobotics",2014,3.91
"computational and structural biotechnology journal",2016,3.91
"oral oncology",2014,3.91
"optics express",2015,3.9
"vaccine",2013,3.9
"annals of intensive care",2014,3.9
"frontiers in neuroscience",2016,3.9
"genes, brain and behavior",2012,3.9
"genetics selection evolution",2012,3.9
"journal of geophysical research: biogeosciences",2016,3.9
"methods",2016,3.9
"journal of translational medicine",2012,3.9
"molecular phylogenetics and evolution",2012,3.9
"talanta",2014,3.9
"european journal of neuroscience",2012,3.9
"hormones and behavior",2015,3.9
"frontiers in genetics",2016,3.9
"journal of clinical microbiology",2015,3.89
"journal of chemical information and modeling",2016,3.89
"biotechnology for biofuels",2012,3.89
"evolution",2017,3.89
"molecular neurobiology",2016,3.89
"rsc advances",2013,3.89
"clinical neurophysiology",2016,3.89
"biology direct",2012,3.89
"social cognitive and affective neuroscience",2015,3.89
"ecosystems",2015,3.89
"international journal of neuropsychopharmacology",2017,3.88
"mitochondrion",2013,3.88
"developmental biology",2014,3.88
"frontiers in systems neuroscience",2013,3.88
"fems microbiology ecology",2015,3.88
"bmc genomics",2016,3.88
"jama psychiatry",2018,3.88
"rna biology",2015,3.88
"gastroenterology",2018,3.88
"journal of molecular liquids",2016,3.87
"cellular physiology and biochemistry",2013,3.87
"journal of chemical information and modeling",2017,3.87
"frontiers in systems neuroscience",2014,3.87
"integrative biology (united kingdom)",2014,3.87
"analyst",2017,3.87
"aquatic toxicology",2013,3.87
"gigascience",2013,3.86
"journal of cystic fibrosis",2014,3.86
"ecosystems",2013,3.86
"journal of endocrinology",2012,3.86
"biochemical journal",2016,3.86
"aquatic toxicology",2014,3.86
"journal of the royal society interface",2012,3.86
"drug safety",2016,3.86
"journal of human evolution",2015,3.86
"gastric cancer",2014,3.86
"journal of clinical microbiology",2016,3.86
"microbiome",2018,3.86
"american naturalist",2016,3.86
"skeletal muscle",2017,3.86
"learning and memory",2014,3.85
"acta crystallographica section d: biological crystallography",2017,3.85
"skeletal muscle",2015,3.85
"methods",2014,3.85
"integrative biology (united kingdom)",2015,3.85
"drug safety",2015,3.85
"journal of biomedical informatics",2015,3.85
"neurobiology of learning and memory",2015,3.85
"american journal of medical genetics, part b: neuropsychiatric genetics",2015,3.85
"genetics",2017,3.85
"toxicology letters",2015,3.85
"biochimica et biophysica acta - biomembranes",2012,3.85
"ecography",2017,3.85
"retrovirology",2016,3.84
"molecular microbiology",2016,3.84
"biochimica et biophysica acta - biomembranes",2013,3.84
"molecular plant pathology",2012,3.84
"soft matter",2016,3.84
"biology of blood and marrow transplantation",2013,3.84
"frontiers in chemistry",2016,3.83
"international journal of medical informatics",2016,3.83
"insect biochemistry and molecular biology",2013,3.83
"journal of human evolution",2017,3.83
"prenatal diagnosis",2014,3.83
"hippocampus",2012,3.83
"european journal of medicinal chemistry",2014,3.83
"neuropsychologia",2013,3.83
"obesity",2017,3.83
"annals of intensive care",2016,3.82
"american journal of obstetrics and gynecology",2012,3.82
"insect biochemistry and molecular biology",2015,3.82
"cell communication and signaling",2015,3.82
"american journal of epidemiology",2017,3.82
"bmc genomics",2017,3.82
"methods",2015,3.82
"plant methods",2016,3.82
"frontiers in immunology",2013,3.82
"heredity",2012,3.82
"journal of clinical microbiology",2012,3.82
"international journal of molecular sciences",2017,3.82
"physical chemistry chemical physics",2012,3.82
"journal of human evolution",2013,3.81
"american journal of physiology - renal physiology",2015,3.81
"environmental modelling and software",2012,3.81
"molecular cell",2018,3.81
"applied microbiology and biotechnology",2014,3.81
"nicotine and tobacco research",2017,3.81
"biochemical journal",2017,3.81
"optics express",2017,3.81
"microbiological research",2016,3.81
"ieee transactions on nanobioscience",2016,3.8
"depression and anxiety",2012,3.8
"genes, brain and behavior",2015,3.8
"experimental cell research",2015,3.8
"insect biochemistry and molecular biology",2014,3.8
"obesity",2016,3.8
"international journal of medical informatics",2013,3.8
"neurochemistry international",2017,3.8
"experimental cell research",2013,3.8
"genes chromosomes and cancer",2016,3.8
"gastric cancer",2015,3.79
"stem cells international",2017,3.79
"planta",2014,3.79
"plant cell, tissue and organ culture",2012,3.79
"biochemical journal",2015,3.79
"bmc plant biology",2012,3.79
"ieee transactions on biomedical engineering",2014,3.79
"journal of cystic fibrosis",2015,3.79
"infection and immunity",2015,3.79
