PREPRINT_DOI,ARTICLE_DOI,SOURCETITLE,ARTICLE_CREATED_DATE,AUTHOR_CNT,TYPE,FIRST_AUTHOR_AGE,LAST_AUTHOR_AGE,FIRST_AUTHOR_IS_FEMALE,LAST_AUTHOR_IS_FEMALE,FIRST_AUTHOR_IS_US,LAST_AUTHOR_IS_US,FIRST_AUTHOR_TOP100_INSTITUTE,LAST_AUTHOR_TOP100_INSTITUTE,IS_OA,IF
10.1101/033167,10.1534/g3.116.029900,"g3: genes, genomes, genetics",2016-06-25,8,Deposited,1,16,1,0,0,0,0,0,1,2.67
10.1101/024406,10.3389/fncir.2016.00041,frontiers in neural circuits,2016-05-31,2,Deposited,4,20,0,0,0,0,0,0,1,3.09
10.1101/125617,10.1016/j.bbrc.2017.11.183,biochemical and biophysical research communications,2017-12-02,4,Deposited,4,22,1,1,0,0,0,0,0,2.63
10.1101/117796,10.1038/s41398-017-0012-7,translational psychiatry,2017-11-29,14,Deposited,1,16,0,0,0,0,1,1,1,5.17
10.1101/187666,10.1038/s41598-017-15199-7,scientific reports,2017-11-01,3,Deposited,3,21,0,0,1,1,0,0,1,4.28
10.1101/113654,10.1128/mbio.01496-17,mbio,2017-10-25,4,Deposited,7,21,0,0,0,0,0,0,1,6.66
10.1101/144436,10.1021/acschemneuro.7b00193,acs chemical neuroscience,2017-07-17,4,Deposited,0,8,0,1,1,1,0,0,1,4.05
10.1101/039040,10.2144/000114403,biotechniques,2016-07-11,3,Deposited,3,19,1,0,0,0,1,1,1,1.79
10.1101/015222,10.1016/j.humimm.2015.09.016,human immunology,2015-09-29,1,Deposited,18,18,0,0,1,1,0,0,1,2.21
10.1101/111005,10.1104/pp.17.00790,plant physiology,2017-08-10,6,Deposited,11,12,1,0,1,1,0,0,1,6.02
10.1101/132522,10.1073/pnas.1707186114,proceedings of the national academy of sciences of the united states of america,2017-08-23,5,Deposited,3,17,0,0,1,1,0,0,1,9.69
10.1101/128967,10.1098/rsif.2017.0295,journal of the royal society interface,2017-08-23,6,Deposited,11,21,1,0,1,1,1,0,1,3.5
10.1101/124644,10.1371/journal.pgen.1006968,plos genetics,2017-08-28,13,Deposited,0,21,1,1,0,0,1,1,1,5.31
10.1101/133256,10.1016/j.mce.2017.07.027,molecular and cellular endocrinology,2017-07-29,4,Deposited,3,16,1,0,0,0,0,0,0,3.6
10.1101/001685,10.1186/s13227-015-0018-2,evodevo,2015-05-26,7,Deposited,10,11,0,0,1,1,0,0,1,4.01
10.1101/103275,10.1534/genetics.117.200493,genetics,2017-05-12,4,Deposited,3,15,0,0,0,0,0,0,1,3.85
10.1101/110544,10.7554/elife.22848,elife,2017-05-23,14,Deposited,5,11,0,1,0,0,1,1,1,7.01
10.1101/050369,10.12705/662.7,taxon,2017-02-08,4,Deposited,0,11,0,1,0,0,0,0,1,2.04
10.1101/078188,10.1371/journal.pgen.1006402,plos genetics,2017-04-13,6,Deposited,3,17,0,0,0,0,0,0,1,5.31
10.1101/095497,10.1073/pnas.1701952114,proceedings of the national academy of sciences of the united states of america,2017-04-12,10,Deposited,1,1,0,0,0,0,0,0,1,9.69
10.1101/093468,10.1073/pnas.1620410114,proceedings of the national academy of sciences of the united states of america,2017-04-05,16,Deposited,6,20,0,0,1,1,1,0,1,9.69
10.1101/108233,10.15252/embr.201744072,embo reports,2017-05-10,4,Deposited,3,19,0,0,1,1,1,1,1,6.57
10.1101/055335,10.1037/com0000065,journal of comparative psychology,2017-03-23,5,Deposited,10,21,0,0,1,1,1,1,1,1.87
10.1101/015818,10.1093/molbev/msv126,molecular biology and evolution,2015-06-03,7,Deposited,4,19,1,0,0,0,0,0,1,14.7
10.1101/010959,10.1038/ng.3394,nature genetics,2015-08-31,10,Deposited,3,19,0,0,0,0,1,0,0,32.04
10.1101/085688,10.1155/2016/6437658,biomed research international,2016-11-24,3,Deposited,2,20,1,0,0,0,0,0,1,2.57
10.1101/043695,10.1534/g3.116.034314,"g3: genes, genomes, genetics",2016-10-25,7,Deposited,16,12,0,0,0,0,0,1,1,2.67
10.1101/002188,10.1186/1471-2164-15-1000,bmc genomics,2014-11-19,2,Deposited,1,9,0,0,1,1,0,0,1,4.71
10.1101/004804,10.1016/j.neuron.2014.12.018,neuron,2014-12-31,9,Deposited,3,19,NA,0,1,0,1,1,1,16.13
10.1101/004499,10.1093/nar/gku604,nucleic acids research,2014-07-11,3,Deposited,5,18,0,0,1,1,0,0,1,10.1
10.1101/002923,10.3389/fncom.2014.00172,frontiers in computational neuroscience,2015-01-21,7,Deposited,2,15,0,0,1,1,1,1,1,2.9
10.1101/049528,10.1371/journal.pone.0158298,plos one,2016-07-28,7,Deposited,10,17,0,0,1,1,0,0,1,3.02
10.1101/192674,10.1083/jcb.201709111,journal of cell biology,2017-11-15,6,Deposited,7,20,0,0,1,1,0,0,1,7.6
10.1101/195982,10.1523/eneuro.0179-17.2017,eneuro,2017-12-01,8,Deposited,7,9,0,1,0,0,0,0,1,1.87
10.1101/163360,10.1038/s41598-017-17689-0,scientific reports,2017-12-06,10,Deposited,1,19,1,1,0,0,0,0,1,4.28
10.1101/090225,10.1038/ismej.2017.99,isme journal,2017-06-23,1,Deposited,0,0,0,0,1,1,0,0,1,9.39
10.1101/133769,10.1371/journal.pone.0184910,plos one,2017-09-14,15,Deposited,4,14,0,0,0,0,0,0,1,2.88
10.1101/016485,10.1111/2041-210x.12468,methods in ecology and evolution,2015-09-08,6,Deposited,7,11,0,0,0,0,0,0,1,6.91
10.1101/091793,10.1242/bio.023606,biology open,2017-06-23,5,Deposited,0,21,0,0,0,0,0,0,1,2.27
10.1101/109272,10.1093/nar/gkx286,nucleic acids research,2017-04-12,6,Deposited,10,18,0,0,1,1,0,0,1,11.4
10.1101/029934,10.1111/1462-2920.13259,environmental microbiology,2016-02-26,8,Deposited,3,20,0,1,0,0,1,1,0,5.18
10.1101/043612,10.18632/oncotarget.16144,oncotarget,2017-03-13,2,Deposited,3,3,0,0,1,0,0,0,1,4.72
10.1101/106674,10.1371/journal.ppat.1006378,plos pathogens,2017-05-25,39,Deposited,0,21,1,0,1,1,0,0,1,6.15
10.1101/070748,10.1016/j.ajp.2017.03.034,asian journal of psychiatry,2017-03-27,7,Deposited,3,14,0,1,0,0,0,0,0,1.27
10.1101/036293,10.1088/1478-3975/13/6/066011,physical biology,2016-12-06,4,Deposited,12,0,0,1,0,0,0,0,1,1.61
10.1101/058255,10.1038/ng.3760,nature genetics,2017-01-09,32,Deposited,2,10,1,0,0,0,0,0,1,25.72
10.1101/014985,10.1038/srep11184,scientific reports,2015-06-17,6,Deposited,0,6,0,0,0,0,0,0,1,5.63
10.1101/007518,10.1371/journal.pgen.1005041,plos genetics,2015-03-13,4,Deposited,4,17,1,0,1,1,1,1,1,7.18
10.1101/057331,10.1128/mbio.01018-16,mbio,2016-08-24,2,Deposited,0,16,0,0,1,1,1,1,1,6.94
10.1101/207324,10.1021/acs.biochem.7b01086,biochemistry,2017-12-14,5,Deposited,2,14,0,0,1,1,1,1,1,3
10.1101/002550,10.1523/jneurosci.0551-14.2014,journal of neuroscience,2014-11-12,2,Deposited,6,17,0,0,1,1,0,0,1,6.94
10.1101/059311,10.1038/nature19310,nature,2016-07-26,53,Deposited,2,18,0,0,1,1,0,0,1,35.09
10.1101/032243,10.1242/dev.133066,development (cambridge),2016-06-11,7,Deposited,2,11,0,0,0,0,0,0,1,5.92
10.1101/028860,10.1186/s12864-016-2755-6,bmc genomics,2016-05-26,3,Deposited,2,17,0,0,1,1,0,0,1,3.88
10.1101/172742,10.1016/j.str.2017.11.001,structure,2017-12-05,10,Deposited,2,21,NA,0,1,1,0,0,1,4.59
10.1101/088989,10.1038/ng.3980,nature genetics,2017-10-30,18,Deposited,7,21,0,0,1,0,1,0,1,25.72
10.1101/127704,10.7554/elife.27430,elife,2017-09-15,3,Deposited,4,8,0,0,0,1,0,0,1,7.01
10.1101/152355,10.1186/s12859-017-1865-8,bmc bioinformatics,2017-10-23,4,Deposited,0,19,0,0,0,0,1,1,1,2.26
10.1101/109983,10.1038/s41598-017-11760-6,scientific reports,2017-09-11,10,Deposited,6,18,0,0,1,1,0,0,1,4.28
10.1101/086090,10.1091/mbc.e17-01-0069,molecular biology of the cell,2017-08-10,5,Deposited,0,9,0,1,1,1,1,1,1,3.63
10.1101/125344,10.1016/j.celrep.2017.08.026,cell reports,2017-08-29,3,Deposited,0,8,1,0,0,0,0,0,1,8.16
10.1101/111120,10.1186/s13062-017-0191-4,biology direct,2017-09-11,15,Deposited,4,9,0,0,0,0,0,0,1,2.64
10.1101/138230,10.1523/jneurosci.3656-16.2017,journal of neuroscience,2017-07-21,5,Deposited,0,14,0,0,0,0,0,0,1,5.87
10.1101/131409,10.1523/jneurosci.0569-17.2017,journal of neuroscience,2017-07-04,2,Deposited,8,21,0,1,1,1,0,0,1,5.87
10.1101/181578,10.1111/febs.14154,febs journal,2017-06-28,2,Deposited,9,22,0,0,1,1,0,0,1,4.4
10.1101/116285,10.7554/elife.26792,elife,2017-06-19,6,Deposited,6,16,0,0,0,0,0,0,1,7.01
10.1101/114348,10.1371/journal.pgen.1006769,plos genetics,2017-05-11,6,Deposited,14,8,0,0,1,1,0,0,1,5.31
10.1101/100537,10.1016/j.cub.2017.04.036,current biology,2017-05-18,2,Deposited,4,21,0,0,1,1,1,0,0,6.33
10.1101/085167,10.1038/s41598-017-02923-6,scientific reports,2017-05-30,6,Deposited,4,17,1,0,0,0,0,0,1,4.28
10.1101/085977,10.15252/embr.201643598,embo reports,2017-03-24,5,Deposited,3,19,0,0,1,1,1,1,1,6.57
10.1101/006940,10.1371/journal.pgen.1005630,plos genetics,2015-11-16,2,Deposited,5,11,0,0,1,1,0,0,1,7.18
10.1101/094623,10.1016/j.jsb.2017.02.008,journal of structural biology,2017-02-23,8,Deposited,6,9,0,0,1,1,0,0,1,3.56
10.1101/008938,10.7554/elife.05003,elife,2015-04-02,6,Deposited,4,17,1,0,0,0,0,0,1,7.98
10.1101/026435,10.1093/gbe/evw185,genome biology and evolution,2016-08-09,1,Deposited,20,20,0,0,1,1,0,0,1,4.03
10.1101/070318,10.1111/jeb.12972,journal of evolutionary biology,2016-08-30,4,Deposited,1,13,NA,NA,0,0,0,0,1,2.66
10.1101/048462,10.1534/g3.116.030239,"g3: genes, genomes, genetics",2016-10-07,9,Deposited,3,11,0,0,1,1,0,0,1,2.67
10.1101/008128,10.7554/elife.04599,elife,2015-02-23,8,Deposited,14,19,0,0,0,0,0,0,1,7.98
10.1101/029116,10.1039/c5ib00230c,integrative biology (united kingdom),2016-01-05,5,Deposited,0,8,0,0,0,0,0,0,0,3.3
10.1101/185751,10.1098/rsif.2017.0563,journal of the royal society interface,2017-12-20,6,Deposited,2,10,NA,0,0,0,1,0,1,3.5
10.1101/121939,10.1093/bioinformatics/btx618,bioinformatics,2017-09-26,5,Deposited,12,17,0,0,0,0,0,0,0,5.88
10.1101/124982,10.1093/molbev/msx307,molecular biology and evolution,2017-12-01,4,Deposited,2,10,0,1,0,0,0,0,1,6.18
10.1101/170910,10.1021/acssynbio.7b00269,acs synthetic biology,2017-10-11,4,Deposited,1,13,0,0,1,1,0,0,0,5.46
10.1101/006023,10.1093/gbe/evu166,genome biology and evolution,2014-07-31,5,Deposited,5,10,0,0,0,0,0,0,1,4.5
10.1101/155168,10.3748/wjg.v23.i45.7989,world journal of gastroenterology,2017-12-04,3,Deposited,0,21,0,0,0,0,0,0,1,3.31
10.1101/091850,10.1098/rsif.2017.0555,journal of the royal society interface,2017-10-11,5,Deposited,0,0,1,0,1,1,0,0,1,3.5
10.1101/062216,10.1534/genetics.117.300323,genetics,2017-09-27,4,Deposited,6,21,1,0,0,0,0,0,1,3.85
10.1101/152918,10.7554/elife.26231,elife,2017-09-05,8,Deposited,0,21,0,1,1,1,1,1,1,7.01
10.1101/041566,10.1186/s12859-016-0985-x,bmc bioinformatics,2016-03-24,5,Deposited,0,15,0,0,0,0,0,0,1,2.43
10.1101/025437,10.1093/bioinformatics/btw004,bioinformatics,2016-02-15,6,Deposited,10,9,0,0,1,1,0,0,1,7.08
10.1101/021832,10.1101/gr.195248.115,genome research,2016-02-14,3,Deposited,19,20,0,0,1,1,0,0,1,12.66
10.1101/084228,10.1128/jb.00340-17,journal of bacteriology,2017-07-04,4,Deposited,11,21,0,0,1,1,0,0,1,3.11
10.1101/042952,10.1038/s41467-017-00524-5,nature communications,2017-08-30,6,Deposited,7,21,0,0,0,0,1,1,1,12.26
10.1101/137117,10.1364/ao.56.006341,applied optics,2017-07-27,7,Deposited,3,11,0,0,0,0,0,0,0,1.95
10.1101/111971,10.1016/j.bpj.2017.06.019,biophysical journal,2017-08-08,2,Deposited,0,15,1,1,1,1,1,1,1,3.31
10.1101/145276,10.1016/j.bbrc.2017.07.104,biochemical and biophysical research communications,2017-07-20,6,Deposited,1,3,NA,0,0,0,0,0,0,2.63
10.1101/086231,10.1371/journal.pgen.1006799,plos genetics,2017-05-22,32,Deposited,11,16,0,0,0,0,0,0,1,5.31
10.1101/076117,10.1186/s12920-017-0274-1,bmc medical genomics,2017-05-26,5,Deposited,0,14,0,0,0,0,1,1,1,3.34
10.1101/086041,10.1534/g3.116.037572,"g3: genes, genomes, genetics",2017-04-17,2,Deposited,4,9,0,0,0,0,0,0,1,2.7
10.1101/073759,10.1007/s10827-017-0645-9,journal of computational neuroscience,2017-05-08,4,Deposited,0,21,0,0,0,0,0,0,0,1.7
10.1101/077396,10.3389/fncom.2017.00020,frontiers in computational neuroscience,2017-04-24,1,Deposited,20,20,0,0,1,1,0,0,1,2.2
10.1101/015693,10.1101/gr.191494.115,genome research,2015-08-11,5,Deposited,7,19,0,0,0,0,0,0,1,12.89
10.1101/090563,10.1101/gad.292235.116,genes and development,2017-02-07,19,Deposited,0,21,1,0,0,0,0,0,1,9.11
10.1101/089623,10.1371/journal.pgen.1006549,plos genetics,2017-01-17,2,Deposited,19,9,0,0,0,0,0,1,1,5.31
10.1101/052704,10.1083/jcb.201605080,journal of cell biology,2017-01-20,9,Deposited,0,15,1,1,0,0,0,0,1,7.6
10.1101/084947,10.1007/s00251-017-0969-7,immunogenetics,2017-01-11,8,Deposited,10,15,1,0,1,1,0,0,1,2.09
10.1101/054577,10.1016/j.bpj.2016.08.023,biophysical journal,2016-10-04,3,Deposited,5,17,1,0,0,0,0,0,1,3.4
10.1101/014498,10.1038/ng.3406,nature genetics,2015-09-28,13,Deposited,5,13,0,0,1,1,0,0,1,32.04
10.1101/039826,10.1128/msystems.00032-16,msystems,2016-07-20,13,Deposited,14,20,0,0,0,0,0,0,1,NA
10.1101/006825,10.1038/ng.3196,nature genetics,2015-01-19,4,Deposited,19,18,0,0,1,1,1,1,1,32.04
10.1101/197616,10.1021/acssynbio.7b00349,acs synthetic biology,2017-12-18,3,Deposited,0,13,0,0,1,1,0,0,0,5.46
10.1101/132621,10.1016/j.neuroimage.2017.12.029,neuroimage,2017-12-13,4,Deposited,4,13,0,1,0,0,0,0,1,5.35
10.1101/139824,10.7554/elife.28974,elife,2017-09-16,8,Deposited,8,21,0,0,1,1,0,0,1,7.01
10.1101/150854,10.1534/g3.117.300148,"g3: genes, genomes, genetics",2017-09-22,2,Deposited,9,18,1,1,1,1,0,0,1,2.7
10.1101/118141,10.1242/jeb.159665,journal of experimental biology,2017-07-07,2,Deposited,0,12,1,0,1,1,0,0,1,3.25
10.1101/134429,10.1534/genetics.117.300058,genetics,2017-07-26,6,Deposited,7,18,0,0,1,1,0,0,1,3.85
10.1101/054239,10.1504/ijcbdd.2017.085402,international journal of computational biology and drug design,2017-07-26,2,Deposited,3,19,0,0,1,1,0,0,0,0.3
10.1101/080978,10.1093/bioinformatics/btx082,bioinformatics,2017-02-15,5,Deposited,2,14,1,0,0,0,0,0,1,5.88
10.1101/076232,10.1534/genetics.116.196030,genetics,2016-12-23,2,Deposited,0,21,0,0,1,1,0,0,1,4.49
10.1101/091470,10.1093/nar/gkx061,nucleic acids research,2017-01-30,6,Deposited,7,12,0,0,1,1,0,0,1,11.4
10.1101/115501,10.1038/ng.3857,nature genetics,2017-05-01,2,Deposited,13,21,0,1,1,1,1,1,1,25.72
10.1101/105882,10.1038/srep45966,scientific reports,2017-04-07,17,Deposited,0,17,1,1,0,0,0,0,1,4.28
10.1101/079384,10.1152/jn.00911.2016,journal of neurophysiology,2017-01-19,2,Deposited,4,18,0,0,0,0,0,0,1,2.5
10.1101/016360,10.1093/sysbio/syv048,systematic biology,2015-07-25,3,Deposited,4,12,1,1,0,0,1,0,1,8.51
10.1101/055475,10.1017/s0950268817000358,epidemiology and infection,2017-02-27,10,Deposited,19,18,NA,NA,0,0,0,0,1,2
10.1101/073163,10.3389/fncel.2017.00006,frontiers in cellular neuroscience,2017-01-26,6,Deposited,13,21,0,0,0,0,0,0,1,4.31
10.1101/098301,10.1186/s12868-017-0344-5,bmc neuroscience,2017-02-13,2,Deposited,2,21,0,0,0,0,0,0,1,2.14
10.1101/049379,10.1091/mbc.e16-10-0727,molecular biology of the cell,2016-11-24,5,Deposited,4,21,1,0,0,0,0,0,1,3.78
10.1101/063388,10.1038/ejhg.2016.205,european journal of human genetics,2017-02-01,12,Deposited,2,20,0,0,0,0,0,0,1,3.33
10.1101/078725,10.1016/j.nbd.2016.11.012,neurobiology of disease,2016-11-30,5,Deposited,6,16,1,0,0,0,0,0,1,5.37
10.1101/008367,10.1534/genetics.116.192963,genetics,2016-11-10,4,Deposited,2,12,1,0,1,1,1,1,1,4.49
10.1101/001537,10.1017/s0950268814002520,epidemiology and infection,2014-10-02,2,Deposited,1,9,NA,NA,1,1,0,0,0,2.6
10.1101/034694,10.1186/s12859-016-1260-x,bmc bioinformatics,2016-09-22,3,Deposited,2,20,0,0,1,1,0,0,1,2.43
10.1101/042739,10.3389/fmicb.2016.01215,frontiers in microbiology,2016-08-04,2,Deposited,4,20,0,0,0,0,0,0,1,4.17
10.1101/134031,10.1038/s41467-017-01973-8,nature communications,2017-11-21,5,Deposited,0,18,1,0,1,1,1,1,1,12.26
10.1101/037838,10.7554/elife.30107,elife,2017-10-26,4,Deposited,4,21,0,NA,0,0,0,0,1,7.01
10.1101/056796,10.1038/s41598-017-00118-7,scientific reports,2017-03-02,7,Deposited,6,20,0,1,0,0,0,0,1,4.28
10.1101/036640,10.1002/gepi.22087,genetic epidemiology,2017-11-08,13,Deposited,6,13,0,0,1,1,0,0,1,2.57
10.1101/100149,10.1038/s41467-017-01316-7,nature communications,2017-11-20,21,Deposited,16,3,0,0,0,0,0,0,1,12.26
10.1101/142075,10.1016/j.jviromet.2017.08.003,journal of virological methods,2017-08-05,2,Deposited,11,20,0,0,0,0,0,0,0,1.82
10.1101/025874,10.1038/nmeth.4298,nature methods,2017-05-22,14,Deposited,10,14,0,1,1,1,1,1,1,20.8
10.1101/095273,10.1007/s00442-017-3912-6,oecologia,2017-07-17,1,Deposited,5,5,0,0,1,1,1,1,0,3.1
10.1101/097790,10.1038/s41598-017-04205-7,scientific reports,2017-06-16,2,Deposited,0,21,NA,0,1,0,0,0,1,4.28
10.1101/067652,10.1093/nar/gkw1328,nucleic acids research,2016-12-20,6,Deposited,2,10,0,0,0,0,0,0,1,10.34
10.1101/040261,10.7717/peerj.3353,peerj,2017-05-18,10,Deposited,2,18,0,0,0,0,0,0,1,2.18
10.1101/091777,10.4490/algae.2017.32.2.20,algae,2017-03-24,1,Deposited,21,21,0,0,0,0,0,0,1,1.66
10.1101/033928,10.1093/molbev/msw283,molecular biology and evolution,2016-12-05,10,Deposited,5,21,0,0,1,1,0,0,1,6.14
10.1101/030981,10.1186/s12711-016-0190-4,genetics selection evolution,2016-02-16,4,Deposited,5,20,0,0,0,0,0,0,1,3.03
10.1101/029470,10.1016/j.jtbi.2015.09.027,journal of theoretical biology,2015-10-17,5,Deposited,0,19,0,0,0,0,0,0,0,2.32
10.1101/072306,10.1371/journal.pgen.1006594,plos genetics,2017-02-14,10,Deposited,3,10,1,0,0,0,0,0,1,5.31
10.1101/052175,10.1038/srep38703,scientific reports,2016-12-15,2,Deposited,10,0,1,1,1,1,0,0,1,4.53
10.1101/036376,10.1093/bioinformatics/btw355,bioinformatics,2016-06-17,1,Deposited,9,9,0,0,1,1,0,0,1,7.08
10.1101/015727,10.1038/nmeth.3046,nature methods,2014-08-03,3,Deposited,0,14,0,1,0,0,0,0,1,22.01
10.1101/154021,10.1016/j.chom.2017.11.007,cell host and microbe,2017-12-28,6,Deposited,12,19,1,1,1,1,0,0,1,13.99
10.1101/115519,10.1534/g3.117.300235,"g3: genes, genomes, genetics",2017-11-30,5,Deposited,0,22,1,0,1,1,0,0,1,2.7
10.1101/224477,10.1523/jneurosci.1906-17.2017,journal of neuroscience,2017-12-11,10,Deposited,0,20,1,1,1,1,0,0,1,5.87
10.1101/162180,10.1093/nar/gkx1018,nucleic acids research,2017-10-17,11,Deposited,0,7,0,0,1,1,0,0,1,11.4
10.1101/038562,10.1371/journal.pone.0158221,plos one,2016-06-28,7,Deposited,14,19,1,1,0,0,0,0,1,3.02
10.1101/144337,10.1098/rsos.171085,royal society open science,2017-12-06,1,Deposited,21,21,0,0,0,0,1,1,1,2.61
10.1101/210146,10.1016/j.physbeh.2017.12.011,physiology and behavior,2017-12-08,6,Deposited,0,9,1,0,0,0,1,1,1,2.54
10.1101/082917,10.1093/nar/gkx618,nucleic acids research,2017-07-06,7,Deposited,8,21,0,0,0,0,0,0,1,11.4
10.1101/074443,10.1038/nature24267,nature,2017-10-10,238,Deposited,4,14,0,0,1,1,1,1,1,35.52
10.1101/020172,10.1007/s10955-015-1398-3,journal of statistical physics,2015-10-29,2,Deposited,12,13,0,0,1,1,0,0,1,1.6
10.1101/118471,10.1523/jneurosci.0984-17.2017,journal of neuroscience,2017-08-01,3,Deposited,1,16,1,0,0,0,0,0,1,5.87
10.1101/123620,10.1186/s12916-017-0881-x,bmc medicine,2017-07-26,4,Deposited,1,13,1,0,0,0,0,0,1,8.21
10.1101/100602,10.1073/pnas.1700345114,proceedings of the national academy of sciences of the united states of america,2017-06-28,8,Deposited,0,21,0,0,1,1,0,0,1,9.69
10.1101/058768,10.1371/journal.pcbi.1005589,plos computational biology,2017-06-08,8,Deposited,2,21,0,0,1,1,0,1,1,4.02
10.1101/102897,10.1523/jneurosci.0263-17.2017,journal of neuroscience,2017-05-26,4,Deposited,0,21,1,0,1,1,1,1,1,5.87
10.1101/042986,10.1371/journal.pcbi.1005460,plos computational biology,2017-04-14,3,Deposited,11,21,1,0,0,0,0,0,1,4.02
10.1101/059279,10.1111/eva.12476,evolutionary applications,2017-03-09,3,Deposited,3,21,0,1,1,1,1,0,1,4.46
10.1101/077586,10.1073/pnas.1616892114,proceedings of the national academy of sciences of the united states of america,2017-03-01,13,Deposited,3,20,1,0,1,1,1,1,1,9.69
10.1101/035444,10.1093/bioinformatics/btw584,bioinformatics,2016-09-08,4,Deposited,0,13,0,0,0,0,0,0,1,7.08
10.1101/009548,10.1093/bioinformatics/btv335,bioinformatics,2015-06-02,6,Deposited,1,19,0,0,0,0,0,0,1,6.73
10.1101/009613,10.1186/2047-217x-3-22,gigascience,2014-10-20,3,Deposited,12,16,0,0,0,0,1,1,1,8.78
10.1101/062844,10.1007/s10592-016-0919-1,conservation genetics,2017-01-30,2,Deposited,3,15,0,0,1,1,0,0,0,2
10.1101/068817,10.3389/fmicb.2016.01688,frontiers in microbiology,2016-11-07,9,Deposited,7,4,0,0,0,0,0,0,1,4.17
10.1101/060996,10.1038/srep39719,scientific reports,2017-01-03,13,Deposited,3,8,1,0,1,1,0,0,1,4.28
10.1101/006791,10.3389/fninf.2015.00007,frontiers in neuroinformatics,2015-04-08,15,Deposited,1,9,0,0,0,0,0,0,1,3.58
10.1101/053280,10.3389/fonc.2016.00186,frontiers in oncology,2016-08-23,4,Deposited,4,20,1,0,0,0,0,0,1,5.21
10.1101/138487,10.1128/jvi.01773-17,journal of virology,2017-11-08,2,Deposited,0,11,1,0,0,0,1,1,1,4.37
10.1101/004135,10.1016/j.evolhumbehav.2014.04.003,evolution and human behavior,2014-04-27,1,Deposited,0,0,0,0,1,1,0,0,0,3.55
10.1101/004341,10.1073/pnas.1409572111,proceedings of the national academy of sciences of the united states of america,2014-06-19,5,Deposited,3,9,0,1,0,0,0,0,1,10.62
10.1101/085175,10.1093/biostatistics/kxx028,biostatistics,2017-05-15,6,Deposited,7,13,1,0,1,1,0,0,1,1.3
10.1101/017152,10.7554/elife.09977,elife,2016-02-02,2,Deposited,6,20,0,0,0,0,0,0,1,6.55
10.1101/098913,10.1038/nprot.2017.066,nature protocols,2017-05-24,28,Deposited,15,19,0,0,0,0,1,1,1,11.8
10.1101/096644,10.1534/g3.116.038885,"g3: genes, genomes, genetics",2017-03-10,10,Deposited,21,5,0,0,1,1,0,0,1,2.7
10.1101/025833,10.1016/j.scitotenv.2015.10.042,science of the total environment,2015-11-11,3,Deposited,20,19,0,0,0,0,0,0,1,4.45
10.1101/013870,10.1371/journal.pone.0127219,plos one,2015-05-26,2,Deposited,0,9,NA,0,1,1,0,0,1,3.45
10.1101/068387,10.7717/peerj.2874,peerj,2017-01-10,2,Deposited,13,0,0,0,0,0,0,0,1,2.18
10.1101/052142,10.1101/gr.209486.116,genome research,2016-11-15,5,Deposited,1,21,1,1,1,1,0,0,1,12.66
10.1101/027953,10.1186/s12864-016-3434-3,bmc genomics,2017-01-06,2,Deposited,17,21,1,0,1,1,0,0,1,3.82
10.1101/072587,10.1038/srep37197,scientific reports,2016-11-16,7,Deposited,0,9,0,0,0,0,0,0,1,4.53
10.1101/105106,10.1093/bioinformatics/btx550,bioinformatics,2017-09-03,3,Deposited,4,10,1,0,0,0,0,0,1,5.88
10.1101/169508,10.1371/journal.pgen.1007114,plos genetics,2017-12-13,5,Deposited,5,7,0,1,1,1,1,1,1,5.31
10.1101/042796,10.1534/genetics.115.183285,genetics,2016-03-27,7,Deposited,5,20,0,0,0,0,1,1,1,4.49
10.1101/040089,10.1534/genetics.116.188292,genetics,2016-05-07,4,Deposited,3,11,0,0,1,1,0,0,1,4.49
10.1101/098046,10.1016/j.jtbi.2017.11.026,journal of theoretical biology,2017-12-02,2,Deposited,12,21,NA,0,0,0,1,1,0,1.95
10.1101/135673,10.1523/jneurosci.2009-17.2017,journal of neuroscience,2017-12-06,13,Deposited,1,21,0,0,1,1,0,0,1,5.87
10.1101/201384,10.1038/s41467-017-01944-z,nature communications,2017-12-04,7,Deposited,5,21,1,0,1,1,0,0,1,12.26
10.1101/032227,10.1093/nar/gkx702,nucleic acids research,2017-08-01,23,Deposited,2,20,0,0,0,0,0,0,1,11.4
10.1101/141838,10.1038/s41598-017-15495-2,scientific reports,2017-11-03,6,Deposited,8,16,1,0,1,1,0,0,1,4.28
10.1101/163626,10.1186/s12864-017-4156-x,bmc genomics,2017-10-16,3,Deposited,0,15,1,0,0,0,0,0,1,3.82
10.1101/167825,10.1016/j.jtbi.2017.08.006,journal of theoretical biology,2017-08-04,1,Deposited,14,14,0,0,0,0,0,0,0,1.95
10.1101/107573,10.1038/s41598-017-06387-6,scientific reports,2017-08-02,15,Deposited,7,21,1,0,0,1,0,0,1,4.28
10.1101/121962,10.1111/2041-210x.12853,methods in ecology and evolution,2017-07-11,7,Deposited,8,14,0,0,1,1,1,0,1,6.1
10.1101/098541,10.1186/s12920-017-0283-0,bmc medical genomics,2017-06-19,3,Deposited,0,5,0,0,0,0,1,1,1,3.34
10.1101/066555,10.1101/gr.213546.116,genome research,2017-02-09,23,Deposited,0,15,0,0,0,0,0,0,1,10.31
10.1101/121582,10.3791/55380,journal of visualized experiments,2017-03-18,2,Deposited,0,7,0,0,1,1,0,0,1,1.2
