"PREPRINT_DOI","ARTICLE_DOI","COUNTRYCODE","INSTITUTION_FULL"
"10.1101/139253","10.3389/fmicb.2017.01291","USA","Princeton University, Atmospheric and Oceanic Sciences"
"10.1101/139253","10.3389/fmicb.2017.01291","USA","Princeton University, Geophysical Fluid Dynamics Laboratory"
"10.1101/110700","10.1083/jcb.201702135","USA","University of California, Howard Hughes Medical Institute"
"10.1101/110700","10.1083/jcb.201702135","USA","University of California, Howard Hughes Medical Institute, Department of Molecular and Cell Biology"
"10.1101/043422","10.1186/s13073-017-0455-8","USA","Cold Spring Harbor Laboratory, The Stanley Institute for Cognitive Genomics"
"10.1101/124784","10.3354/meps12194","CAN","St. Francis Xavier University, Department of Biology"
"10.1101/097501","10.1371/journal.pgen.1006795","USA","Charlotte, University of North Carolina, Department of Bioinformatics and Genomics"
"10.1101/093781","10.1016/j.scib.2017.04.025","CHN","Chinese Academy of Sciences, Institute of Tibetan Plateau Research, Key Laboratory of Tibetan Environment Changes and Land Surface Processes"
"10.1101/106336","10.1534/genetics.116.197335","USA","Cornell University, Department of Molecular Biology and Genetics"
"10.1101/106336","10.1534/genetics.116.197335","USA","University of California, Department of Integrative Biology"
"10.1101/083097","10.1371/journal.pbio.2001882","USA","Berkeley, University of California, Department of Molecular and Cell Biology"
"10.1101/083097","10.1371/journal.pbio.2001882","USA","Pfizer Worldwide Research and Development, Chemical Biology"
"10.1101/071589","10.1371/journal.pcbi.1005434","JPN","The University of Tokyo, Research Center for Complex Systems Biology"
"10.1101/034371","10.1098/rsos.150562","DEU","University of Rostock, Institute of Biological Sciences, Department of Animal Physiology"
"10.1101/019901","10.1371/journal.pgen.1005657","JPN","The University of Tokyo, Institute of Medical Science, Human Genome Center"
"10.1101/019174","10.1128/microbiolspec.mchd-0018-2015","GBR","University College London, Division of Medicine"
"10.1101/053983","10.7554/elife.18889","SWE","Karolinska Institute, Tumor and Cell Biology, Department of Microbiology"
"10.1101/025056","10.1021/acssynbio.5b00179","GBR","University College London, Evolution and Environment, Department of Cell and Developmental Biology"
"10.1101/057182","10.1534/g3.116.032045","ARG","Universidad Tecnologica Nacional, Facultad Regional San Nicolas, Desarrollos e Investigaciones Biomedicas"
"10.1101/057182","10.1534/g3.116.032045","ARG","Consejo Nacional de Investigaciones Cientificas y Tecnicas, Centro Internacional Franco Argentino de Ciencias de la Informacion y de Sistemas"
"10.1101/054437","10.1038/mp.2016.194","USA","School of Medicine, Washington University, Department of Radiology"
"10.1101/054437","10.1038/mp.2016.194","USA","School of Medicine, Washington University, Department of Psychiatry"
"10.1101/071639","10.1007/s00467-016-3513-3","USA","University of Michigan Medical School, Department of Pediatrics"
"10.1101/056119","10.1111/mec.13800",NA,"Department of Biology and Evolution, University of Ferrara, I-44121, Ferrara, Italy"
"10.1101/056119","10.1111/mec.13800",NA,"Institute for Biochemistry and Biology, University of Potsdam, 14476, Potsdam OT Golm, Germany"
"10.1101/056119","10.1111/mec.13800",NA,"Instituto Universitario de Xeoloxia, Universidade da Coru?a, 15081, A Coru?a, Spain"
"10.1101/123869","10.1093/bioinformatics/btx551","BEL","Department of Pharmaceutical and Pharmacological Sciences"
"10.1101/145193","10.13110/humanbiology.89.1.01","USA","Georgia Institute of Technology, School of Biological Sciences"
"10.1101/023242","10.1016/j.jtbi.2016.06.026","SWE","Uppsala University, Department of Mathematics"
"10.1101/022152","10.1371/journal.pcbi.1004920","GBR","University of Cambridge, Department of Biochemistry, Computational Proteomics Unit"
"10.1101/022152","10.1371/journal.pcbi.1004920","GBR","University of Cambridge, Department of Biochemistry, Cambridge Centre for Proteomics"
"10.1101/041921","10.1186/s12864-016-2742-y","AUT","ZuchtData EDV Dienstleistungen GmbH"
"10.1101/002790","10.1371/journal.pone.0093987","ITA","IFOM, Istituto FIRC di Oncologia Molecolare, IFOM-IEO Campus"
"10.1101/092874","10.1038/ng.3959","USA","University of California, David Geffen School of Medicine, Department of Psychiatry and Biobehavioral Sciences"
"10.1101/092874","10.1038/ng.3959","POL","Polish Academy of Sciences, Institute of Bioorganic Chemistry"
"10.1101/071050","10.1534/genetics.117.300284","USA","Los Alamos National Laboratory, Theoretical Biology and Biophysics Group"
"10.1101/129379","10.1038/s41467-017-01343-4","NLD","Utrecht University, University Medical Center Utrecht, Center for Molecular Medicine"
"10.1101/179903","10.3389/fmicb.2017.02140","RUS","Russian Academy of Sciences, Research Center of Biotechnology, Winogradsky Institute of Microbiology"
"10.1101/202747","10.1016/j.molcel.2017.10.019","CHN","Peking University, School of Life Sciences, State Key Laboratory of Protein and Plant Gene Research"
"10.1101/142042","10.1038/ncb3599","USA","San Francisco, University of California, Department of Pharmaceutical Chemistry"
"10.1101/107367","10.1094/phyto-03-17-0108-fi","USA","University of Florida, Emerging Pathogens Institute, Institute for Sustainable Food Systems"
"10.1101/113191","10.1016/j.bpj.2017.08.032","DEU","University of Freiburg, Institute of Physical Chemistry"
"10.1101/097022","10.1038/nchembio.2470","FRA","Ingenierie des Systemes Biologiques et des Procedes, UMR792, Institut National de la Recherche Agronomique (INRA)"
"10.1101/097022","10.1038/nchembio.2470","NOR","Norwegian University of Life Sciences (NMBU), Biotechnology and Food Science, Faculty of Chemistry"
"10.1101/181206","10.1038/nmeth.4396","USA","Stanford University School of Medicine, Center for Personal Dynamic Regulomes"
"10.1101/181206","10.1038/nmeth.4396","USA","Stanford University School of Medicine, Department of Dermatology"
"10.1101/081505","10.1038/ejhg.2017.130","SWE","Uppsala University, Genetics and Pathology, Department of Immunology"
"10.1101/081505","10.1038/ejhg.2017.130","SWE","Science for Life Laboratory, National Genomics Infrastructure"
"10.1101/069617","10.1111/desc.12579","GBR","MRC Cognition and Brain Sciences Unit"
"10.1101/118968","10.1016/j.neuroimage.2017.05.065","GBR","Medical Research Council (MRC) Biostatistics Unit"
"10.1101/070789","10.1371/journal.pone.0176751","USA","University of Colorado, Department of Computer Science"
"10.1101/077792","10.1016/j.jhep.2017.01.026","SGP","National University of Singapore, Mechanobiology Institute"
"10.1101/008342","10.1007/s00239-015-9713-9","BRA","University of S?o Paulo, Departament of Genetics and Evolutionary Biology"
"10.1101/010215","10.1093/bioinformatics/btv280","USA","UC Berkeley, Department of Electrical Engineering and Computer Sciences"
"10.1101/020966","10.1186/s12864-015-1911-8","USA","Kansas State University, KSU/K-INBRE Bioinformatics Center, Division of Biology"
"10.1101/013722","10.1073/pnas.1500758112","AUT","Department of Biomedical Sciences, Institut fur Populationsgenetik, Vetmeduni Vienna"
"10.1101/093856","10.1093/gbe/evx242","USA","University of New Hampshire, and Biomedical Sciences, Cellular"
"10.1101/006841","10.1101/gr.180893.114","USA","Genome Institute, Washington University"
"10.1101/005348","10.1038/ng.3015","GBR","Wellcome Trust Sanger Institute, Wellcome Trust Genome Campus"
"10.1101/061135","10.1038/srep32674","DNK","Department of Neuroscience and Pharmacology, University of Copenhagen"
"10.1101/033290","10.1534/g3.116.030056","IND","Institute of Bioinformatics and Applied Biotechnology, Bio-IT Centre, Ganit Labs"
"10.1101/023010","10.1101/gr.199935.115","ESP","Universitat Pompeu Fabra"
"10.1101/000984","10.1371/journal.pone.0098122","CAN","Centre for Addiction and Mental Health"
"10.1101/000984","10.1371/journal.pone.0098122","CAN","Institute of Medical Science, University of Toronto"
"10.1101/152496","10.1038/s41467-017-02075-1","USA","Stanford University, Department of Bioengineering"
"10.1101/123612","10.1038/nbt.4020","USA","Carnegie Mellon University, School of Computer Science, Computational Biology Department"
"10.1101/130872","10.1016/j.devcel.2017.10.011","USA","St. Jude Children's Research Hospital, Neurobiology and Brain Tumor Program, Department of Developmental Neurobiology"
"10.1101/128975","10.1038/s41598-017-16011-2","USA","Harvard Medical School, Massachusetts General Hospital, Department of Medicine"
"10.1101/128975","10.1038/s41598-017-16011-2","USA","Massachusetts General Hospital, Analytic and Translational Genetics Unit"
"10.1101/128975","10.1038/s41598-017-16011-2","USA","Broad Institute of MIT and Harvard, Stanley Center for Psychiatric Research"
"10.1101/131664","10.1098/rsob.170099","GBR","University of Dundee, School of Life Sciences, Centre for Gene Regulation and Expression"
"10.1101/131664","10.1098/rsob.170099","GBR","University of Oxford, Anatomy and Genetics, Department of Physiology"
"10.1101/105361","10.1094/phyto-09-16-0340-r","USA","Kansas State University, Department of Plant Pathology"
"10.1101/105361","10.1094/phyto-09-16-0340-r","USA","University of Wisconsin-Madison, Department of Plant Pathology"
"10.1101/060970","10.1038/s41598-017-12448-7","RUS","Moscow Institute of Physics and Technology (MIPT), Laboratory of Innovative Medicine and Agrobiotechnology, School of Biological and Medical Physics"
"10.1101/131391","10.1038/s41598-017-11390-y","AUS","Queensland University of Technology (QUT), School of Mathematical Sciences"
"10.1101/109777","10.1016/j.gdata.2017.08.006","USA","West Virginia University, Robert C. Byrd Health Sciences Center, Center for Basic and Translational Stroke Research"
"10.1101/109777","10.1016/j.gdata.2017.08.006","USA","West Virginia University, School of Pharmacy, Department of Pharmaceutical Sciences"
"10.1101/105049","10.1021/acscentsci.7b00084","FRA","IECB, UMR5320), U1212"
"10.1101/083717","10.1093/bioinformatics/btx058","USA","Johns Hopkins School of Medicine, McKusick-Nathans Institute of Genetic Medicine"
"10.1101/083717","10.1093/bioinformatics/btx058","USA","Lieber Institute for Brain Development"
"10.1101/078931","10.1038/s41562-016-0036","NLD","Utrecht University, Helmholtz Institute, Experimental Psychology"
"10.1101/087593","10.1021/acssynbio.6b00292","GBR","Imperial College London, Centre for Synthetic Biology and Innovation"
"10.1101/087593","10.1021/acssynbio.6b00292","GBR","Imperial College London, Department of Bioengineering"
"10.1101/113340","10.1098/rsif.2017.0157","GBR","University of Oxford, Mathematical Institute"
"10.1101/113340","10.1098/rsif.2017.0157","USA","Massachusetts Institute of Technology, Department of Electrical Engineering and Computer Science"
"10.1101/124495","10.12688/f1000research.11366.1","DEU","Goethe University Frankfurt, Institute of Cell Biology and Neuroscience"
"10.1101/006544","10.1093/comnet/cnv034","GBR","University of Oxford, Mathematical Institute, Oxford Centre for Industrial and Applied Mathematics"
"10.1101/006544","10.1093/comnet/cnv034","KOR","Korea Institute for Advanced Study, School of Physics"
"10.1101/006544","10.1093/comnet/cnv034","KOR","Sungkyunkwan University, Department of Energy Science, Integrated Energy Center for Fostering Global Creative Researcher (BK 21 Plus)"
"10.1101/105072","10.1016/j.ygeno.2017.03.002","CHN","Central South University, Xiangya Medical School, School of Life Sciences"
"10.1101/080549","10.1242/jeb.151522","FRA","Unite Mixte de Recherche 5242, Universite Claude Bernard Lyon 1, Centre National de la Recherche Scientifique"
"10.1101/011999","10.1155/2016/1938292","ITA","Koelliker Hospital, GCS FMRI"
"10.1101/011999","10.1155/2016/1938292","ITA","University of Turin, Department of Psychology"
"10.1101/011999","10.1155/2016/1938292","ITA","University of Turin, Department of Psychology, Functional Neuroimaging and Neural Complex System Group"
"10.1101/010520","10.1111/2041-210x.12409","CHE","Institute of Plant Sciences, University of Bern"
"10.1101/088252","10.7717/peerj.3046","USA","Counsyl Inc, Research and Development Department"
"10.1101/040162","10.1016/j.ccell.2016.12.004","USA","Cold Spring Harbor Laboratory"
"10.1101/040162","10.1016/j.ccell.2016.12.004","USA","Massachusetts Institute of Technology, Howard Hughes Medical Institute, David H. Koch Institute for Integrative Cancer Research"
"10.1101/087833","10.1016/j.fsigen.2016.12.011","DEU","Thunen Institute of Forest Genetics"
"10.1101/026070","10.1371/journal.pcbi.1005131","GBR","University College London, Department of Cell and Developmental Biology"
"10.1101/059329","10.1093/nar/gkw627","USA","Massachusetts Institute of Technology, Computer Science and Artificial Intelligence Lab"
"10.1101/059329","10.1093/nar/gkw627","USA","Broad Institute of Harvard and MIT"
"10.1101/060947","10.3390/sym8090098","USA","Microsoft Research"
"10.1101/008714","10.1016/j.jtbi.2015.01.019","SWE","Department of Mathematics, Uppsala University"
"10.1101/105627","10.1093/bioinformatics/btx598","USA","Wayne State University, School of Medicine, Center for Molecular Medicine and Genetics"
"10.1101/001172","10.1093/sysbio/syu018","USA","University of Washington, Burke Museum of Natural History and Culture"
"10.1101/001172","10.1093/sysbio/syu018","USA","University of Washington, Department of Biology"
"10.1101/212811","10.1126/science.aar3729","GBR","MRC Laboratory of Molecular Biology"
"10.1101/140236","10.1038/s41598-017-15092-3","USA","Emory University School of Medicine, Department of Biomedical Informatics"
"10.1101/160556","10.1073/pnas.1712108114","USA","University of California, Department of Molecular and Cellular Biology"
"10.1101/160556","10.1073/pnas.1712108114","USA","University of California, Department of Plant and Microbial Biology"
"10.1101/091579","10.1371/journal.pgen.1006915","USA","Columbia University, Department of Biological Sciences"
"10.1101/091579","10.1371/journal.pgen.1006915","BRA","Ministry of Education of Brazil, CAPES Foundation"
"10.1101/051094","10.1093/bioinformatics/btw613","GBR","Oakfield House, University of Bristol, MRC Integrative Epidemiology Unit"
"10.1101/096040","10.1002/hbm.23689","USA","Carnegie Mellon University, Machine Learning Department"
"10.1101/096040","10.1002/hbm.23689","USA","Center for the Neural Basis of Cognition"
"10.1101/110361","10.1038/srep45604","JPN","Kyoto University, Graduate School of Agriculture, Division of Food Science and Biotechnology"
"10.1101/110361","10.1038/srep45604","JPN","RIKEN SPring-8 Center"
"10.1101/018259","10.1038/nmeth.3654","USA","University of Utah, Department of Human Genetics"
"10.1101/008748","10.1186/s12920-015-0095-z","USA","Scripps Research Institute, Department of Molecular and Experimental Medicine"
"10.1101/014308","10.1016/j.ympev.2015.04.027","USA","Department of Biological Sciences, University at Buffalo"
"10.1101/028050","10.1038/nprot.2016.150","USA","Stony Brook University"
"10.1101/028050","10.1038/nprot.2016.150","USA","Cold Spring Harbor Laboratory, Simons Center for Quantitative Biology"
"10.1101/028050","10.1038/nprot.2016.150","USA","Cold Spring Harbor Laboratory, Stanley Institute for Cognitive Genomics"
"10.1101/020479","10.1016/j.ajhg.2016.07.022","USA","Vanderbilt University, Vanderbilt Genetics Institute"
"10.1101/043604","10.1093/bioinformatics/btw325","USA","Washington University School of Medicine, McDonnell Genome Institute"
"10.1101/001453","10.1371/journal.pone.0103813","URY","Universidad de la Republica, Facultad de Ingeniera, Instituto de Matematica Y Estadistica Prof. Ing. Rafael Laguardia"
"10.1101/001453","10.1371/journal.pone.0103813","FRA","Ecole Nationale Veterinaire de Toulouse and Ecole Nationale Superieure Agronomique de Toulouse, Institut National de la Recherche Agronomique, Physiologie et Systemes d'Elevage"
"10.1101/001453","10.1371/journal.pone.0103813","URY","Institut Pasteur, Bioinformatics Unit"
"10.1101/003921","10.1073/pnas.1407207111","USA","Department of Biology, University of Hawai'i at Manoa"
"10.1101/042333","10.1093/jxb/erw255","USA","Cornell University, School of Integrative Plant Science, Section of Plant Biology"
"10.1101/002493","10.1371/journal.pone.0100163","USA","Department of Zoology, Michigan State University"
"10.1101/002493","10.1371/journal.pone.0100163","USA","Program in Ecology, Evolutionary Biology, and Behavior, Michigan State University"
"10.1101/132431","10.1242/dev.153999","JPN","RIKEN, Theoretical Biology Laboratory"
"10.1101/123554","10.3390/e19110584","JPN","SRI, SEIKO Life Science Laboratory"
"10.1101/123554","10.3390/e19110584","JPN","Keio University, School of Media and Governance, Systems Biology Program"
"10.1101/032029","10.1371/journal.pone.0151086","ARG","Universidad Nacional de la Plata, Instituto de Fisica de Liquidos y Sistemas Biologicos"
"10.1101/000422","10.3389/fgene.2014.00013","USA","Hubbard Center for Genome Studies"
"10.1101/000422","10.3389/fgene.2014.00013","USA","Department of Molecular, Cellular and Biomedical Sciences, University of New Hampshire"
"10.1101/112466","10.1016/j.celrep.2017.08.072","GBR","University of Oxford, Weatherall Institute of Molecular Medicine, Radcliffe Department of Medicine and Medical Research Council Human Immunology Unit"
"10.1101/124370","10.7554/elife.28034","ISR","Weizmann Institute of Science, Department of Molecular Genetics"
"10.1101/130831","10.7554/elife.27955","USA","University of California, Cell and Developmental Biology, Department of Molecular"
"10.1101/092056","10.1093/molbev/msx127","GBR","Imperial College London, Faculty of Medicine, Institute of Clinical Sciences (ICS)"
"10.1101/092056","10.1093/molbev/msx127","GBR","MRC London Institute of Medical Sciences (LMS), Molecular Systems Group"
"10.1101/097535","10.1002/ecs2.1889","USA","University of Arizona, Department of Ecology and Evolutionary Biology"
"10.1101/097535","10.1002/ecs2.1889","USA","University of Arizona, Laboratory of Tree Ring Research"
"10.1101/112334","10.1091/mbc.e17-03-0174","JPN","National Institute of Genetics, Center for Frontier Research, Quantitative Mechanobiology Laboratory"
"10.1101/024216","10.1534/genetics.115.181610","USA","Indiana University, Department of Biology and Drosophila Genomics Resource Center"
"10.1101/032383","10.1186/s12859-015-0754-2","FRA","Universite Paris-Est, Laboratoire d'Informatique Gaspard-Monge"
"10.1101/032383","10.1186/s12859-015-0754-2","FRA","IFP Energies Nouvelles"
"10.1101/004473","10.1371/journal.pcbi.1004390","USA","MIT, and Machines, Minds"
"10.1101/004473","10.1371/journal.pcbi.1004390","USA","MIT, McGovern Institute for Brain Research"
"10.1101/017871","10.1371/journal.pgen.1005527","USA","Bioinformatics Graduate Program, University of California"
"10.1101/089086","10.1371/journal.pcbi.1005331","DEU","Chair of Mathematical Modeling of Biological Systems, Center for Mathematics, Technische Universitat Munchen"
"10.1101/089086","10.1371/journal.pcbi.1005331","DEU","Institute of Computational Biology, Helmholtz Zentrum Munchen - German Research Center for Environmental Health"
"10.1101/076992","10.1038/srep41529","PRT","University of Coimbra, Department of Life Sciences, CIAS"
"10.1101/076992","10.1038/srep41529","IRL","University College Dublin, Earth Institute"
"10.1101/076992","10.1038/srep41529","IRL","University College Dublin, School of Archaeology"
"10.1101/075465","10.1016/j.neuroimage.2016.12.053","CAN","University of Montreal, Centre de Recherche en Neuropsychologie et Cognition"
"10.1101/075465","10.1016/j.neuroimage.2016.12.053","CAN","Departement of Psychology University of Montreal"
"10.1101/014720","10.1152/jn.00237.2015","USA","Carnegie Mellon University, Center for the Neural Basis of Cognition"
"10.1101/014720","10.1152/jn.00237.2015","USA","Carnegie Mellon University"
"10.1101/005660","10.1016/j.jtbi.2015.03.003","HRV","University of Zagreb, Faculty of Humanities and Social Sciences, Department of Psychology"
"10.1101/005660","10.1016/j.jtbi.2015.03.003","DEU","Frankfurt Institute for Advanced Studies (FIAS)"
"10.1101/005660","10.1016/j.jtbi.2015.03.003","DEU","Ernst Strungmann Inst. (ESI) for Neuroscience in Cooperation with Max Planck Society"
"10.1101/005660","10.1016/j.jtbi.2015.03.003","DEU","Max Planck Institute for Brain Research, Department of Neurophysiology"
"10.1101/131128","10.1093/biolinnean/blx125","CHE","Swiss Federal Research Institute WSL"
"10.1101/131128","10.1093/biolinnean/blx125","CHE","ETH Zurich, Institute of Terrestrial Ecosystems, Landscape Ecology"
"10.1101/085035","10.3389/fncom.2017.00111","USA","Inc, Numenta"
"10.1101/027474","10.1093/bioinformatics/btw035","ITA","University of Milano-Bicocca, Systems and Communication, Department of Informatics"
"10.1101/003541","10.1073/pnas.1405500111","GBR","Division of Cell Biology, Medical Research Council, Laboratory of Molecular Biology"
"10.1101/082438","10.1016/j.neuroscience.2017.12.004","ITA","Consiglio Nazionale delle Ricerche, Institute of Molecular Bioimaging and Physiology"
"10.1101/109934","10.7717/peerj.4111","GBR","University of Manchester, Division of Pharmacy"
"10.1101/137703","10.1098/rspb.2017.1583","IND","GKVK, Tata Institute of Fundamental Research, National Centre for Biological Sciences"
"10.1101/137703","10.1098/rspb.2017.1583","IND","Ashoka University"
"10.1101/141952","10.7554/elife.29702","USA","Northwestern University, Department of Medicine, Division of Hematology and Oncology"
"10.1101/101048","10.1016/j.cels.2017.08.009","GBR","University of Southampton, Institute for Life Sciences"
"10.1101/101048","10.1016/j.cels.2017.08.009","GBR","University of Southampton, Faculty of Medicine, Stem Cells and Regeneration"
"10.1101/062836","10.1158/1541-7786.mcr-17-0185","CAN","University of Alberta, Department of Surgery"
"10.1101/045310","10.1016/j.talanta.2016.04.047","CAN","University of Guelph, School of Engineering, BioNano Laboratory"
"10.1101/120600","10.1093/bioinformatics/btx364","USA","Harvard Medical School, Department of Biomedical Informatics"
"10.1101/084442","10.1038/s41598-017-06110-5","AUS","UNSW, Faculty of Medicine, St Vincents Clinical School"
"10.1101/084442","10.1038/s41598-017-06110-5","AUS","Garvan Institute of Medical Research"
"10.1101/136846","10.3389/fnhum.2017.00377","GBR","University of Glasgow, Institute of Neuroscience and Psychology"
"10.1101/101600","10.1016/j.jtbi.2017.06.009","FRA",NA
"10.1101/101600","10.1016/j.jtbi.2017.06.009","FRA","4 Rue Marie Andree Lagroua Weill Halle, Sorbonne Paris Cite, CNRS - Universite Diderot"
"10.1101/096578","10.1038/s41598-017-00990-3","USA","Riverside, University of California, Institute for Integrative Genome Biology"
"10.1101/088898","10.1038/srep45551","GBR","University of Cambridge, Department of Psychology"
"10.1101/088898","10.1038/srep45551","AUS","University of Queensland, Queensland Brain Institute"
"10.1101/041632","10.1016/j.ydbio.2017.03.003","USA","New York University, Department of Biology"
"10.1101/041632","10.1016/j.ydbio.2017.03.003","USA","California Institute of Technology, Division of Biology and Biological Engineering"
"10.1101/025510","10.1371/journal.pone.0146947","ARG","Universidad Nacional de La Plata, Centro Regional de Estudios Genomicos"
"10.1101/072348","10.1093/molehr/gaw062","GBR","University of Warwick, Warwick Medical School, Division of Biomedical Sciences"
"10.1101/007369","10.1093/sysbio/syv019","USA","University of Idaho, Institute for Bioinformatics and Evolutionary Studies, Department of Biological Sciences"
"10.1101/012690","10.1073/pnas.1421515112","AUT","Institute of Science and Technology Austria (IST Austria)"
"10.1101/012690","10.1073/pnas.1421515112","AUT",NA
"10.1101/045765","10.1091/mbc.e16-03-0199","USA","UT Southwestern Medical Center, Departments of Biophysics and Biochemistry"
"10.1101/005694","10.3389/fmicb.2014.00577","USA","Lawrence Berkeley Lab, Physical Biosciences Division"
"10.1101/040634","10.1093/nar/gkw540","USA","Johns Hopkins University, Center for Computational Biology"
"10.1101/040634","10.1093/nar/gkw540","USA","Johns Hopkins University, Department of Computer Science"
"10.1101/006619","10.1523/jneurosci.2636-14.2015","USA","Department of Psychology, Center for the Neural Basis of Cognition, Carnegie Mellon University"
"10.1101/038638","10.1093/bioinformatics/btw159","GBR","Wellcome Trust Sanger Institute"
"10.1101/047233","10.3389/fmicb.2016.00990","USA","Stanford University, Department of Earth System Science"
"10.1101/043513","10.1371/journal.pone.0157942","USA","University of Nebraska-Lincoln, Department of Agronomy and Horticulture, Center for Plant Science Innovation"
"10.1101/036129","10.1038/srep28517","CHN","Beijing Institute of Radiation Medicine, Department of Biotechnology"
"10.1101/015545","10.1016/j.ijpara.2016.02.005","GBR","Queen's University Belfast, Institute for Global Food Security, School of Biological Sciences"
"10.1101/161182","10.1038/s41477-017-0083-8","AUS","University of Queensland, Queensland Alliance for Agriculture and Food Innovation"
"10.1101/163717","10.1038/s41598-017-14208-z","CHE","Roche Innovation Center Basel, Pharma Research and Early Development (PRED)"
"10.1101/118505","10.1038/s41467-017-01752-5","FRA","University of Bordeaux"
"10.1101/118505","10.1038/s41467-017-01752-5","FRA","UMR 5297, Interdisciplinary Institute for Neuroscience, Centre National de la Recherche Scientifique"
"10.1101/142026","10.1016/j.molcel.2017.08.006","USA","Stanford University, Department of Genetics"
"10.1101/142026","10.1016/j.molcel.2017.08.006","USA","University of North Carolina, Thurston Arthritis Research Center"
"10.1101/142026","10.1016/j.molcel.2017.08.006","USA","University of North Carolina, Department of Cell Biology and Physiology"
"10.1101/037234","10.1016/j.neuroimage.2017.08.074","AUS","The University of Melbourne, Department of Electrical & Electronic Engineering, NeuroEngineering Laboratory"
"10.1101/037234","10.1016/j.neuroimage.2017.08.074","AUS","Monash University, Faculty of Biomedical and Psychological Sciences, School of Psychological Sciences"
"10.1101/042010","10.1016/j.jtbi.2016.01.037","FRA","College de France, CIRB (UMR 7241), SMILE"
"10.1101/042010","10.1016/j.jtbi.2016.01.037","GBR","The Pirbright Institute"
"10.1101/042010","10.1016/j.jtbi.2016.01.037","FRA","UPMC, Evolution Paris-Seine (UMR 7138) and Atelier de Bio-Informatique"
"10.1101/021030","10.1007/s12038-016-9592-2","IND","Indian Institute of Science Education and Research-Pune, Biology Division, Population Biology Laboratory"
"10.1101/029199","10.1534/g3.115.023655","GBR","University of Cambridge, Department of Zoology"
"10.1101/073973","10.1093/biostatistics/kxw055","GBR","Li Ka Shing Centre, University of Cambridge, Cancer Research UK Cambridge Institute"
"10.1101/096826","10.15252/embj.201797342","FRA","Unite Regulation Spatiale des Genomes, Department Genomes and Genetics, Institut Pasteur"
"10.1101/096826","10.15252/embj.201797342","FRA","Complexite du Vivant, UPMC Universite Paris 6, Sorbonne Universites"
"10.1101/096826","10.15252/embj.201797342","FRA","Biostatistics and Integrative Biology (C3BI), Center of Bioinformatics, CNRS"
"10.1101/096826","10.15252/embj.201797342","FRA","UMR 3525, CNRS"
"10.1101/047464","10.1093/bioinformatics/btx150","DEU","Technische Universitat Munchen, Department of Informatics"
"10.1101/047464","10.1093/bioinformatics/btx150","DEU","Ludwig-Maximilians-Universitat Munchen, Gene Center and Department of Biochemistry"
"10.1101/076745","10.1534/g3.117.043000","USA","University of California, Department of Plant Biology"
"10.1101/147082","10.1016/j.bbrc.2017.06.064","CHN","Shanxi Agricultural University, College of Animal Science and Veterinary Medicine"
"10.1101/091934","10.1016/j.jtbi.2017.04.023","USA","New Jersey Institute of Technology, Department of Biological Sciences"
"10.1101/096925","10.1021/acs.jproteome.7b00005","USA","Scripps Research Institute, Department of Chemical Physiology and Molecular and Cellular Neurobiology"
"10.1101/149815","10.1142/s0217979217502435","CHN","Beihang University, School of Software"
"10.1101/065649","10.1126/sciadv.1601959","USA","Stanford University School of Medicine, Department of Biochemistry"
"10.1101/065649","10.1126/sciadv.1601959","USA","Stanford University School of Medicine, Division of Cardiovascular Medicine, Department of Medicine"
"10.1101/057083","10.1038/npp.2017.78","POL","Polish Academy of Sciences, Institute of Psychology, Clinical Neuroscience Laboratory"
"10.1101/057083","10.1038/npp.2017.78","USA","University of California San Diego, Institute for Neural Computations, Swartz Center for Computational Neuroscience"
"10.1101/098079","10.1016/j.bpj.2017.04.029","IND","International Institute of Information Technology (IIIT-H), Center for Computational Natural Sciences and Bioinformatics (CCNSB)"
"10.1101/091389","10.1021/acs.jpclett.6b02769","CHN","ShanghaiTech University, iHuman Institute"
"10.1101/105692","10.1016/j.bpj.2017.03.036","GBR","University of Oxford, Mathematical Institute, Wolfson Centre for Mathematical Biology"
"10.1101/061515","10.1186/s12918-017-0412-6","QAT","HBKU, QCRI - Qatar Computing Research Institute"
"10.1101/025536","10.1093/gbe/evw223","USA","Indiana University, Department of Biology"
"10.1101/025536","10.1093/gbe/evw223","USA","University of Houston, Department of Biology and Biochemistry"
"10.1101/054783","10.1038/ncomms14515","AUS","University of Queensland, Institute for Molecular Bioscience"
"10.1101/068130","10.1186/s13036-017-0048-5","USA","Wyss Institute for Biologically Inspired Engineering, Harvard University"
"10.1101/068130","10.1186/s13036-017-0048-5","USA","Department of Systems Biology, Harvard Medical School"
"10.1101/061861","10.1038/srep38828","GBR","Roger Land Building, University of Edinburgh, School of Biological Sciences"
"10.1101/085233","10.1038/srep38019","USA","Harvard Medical School, Department of Systems Biology"
"10.1101/085233","10.1038/srep38019","USA","Harvard University, Wyss Institute for Biologically Inspired Engineering"
"10.1101/085233","10.1038/srep38019","USA","Pierce Hall, Harvard University, School of Engineering and Applied Sciences"
"10.1101/004259","10.1371/journal.pone.0121607","USA","Berkeley, University of California, Department of Electrical Engineering and Computer Sciences"
"10.1101/006163","10.1038/nature14475","USA","Department of Genetics and Genome Sciences, Institute for Systems Genomics, University of Connecticut Health Center"
"10.1101/002865","10.1038/ng.3186","USA","Broad Institute of Harvard and MIT"
"10.1101/002865","10.1038/ng.3186","USA","Harvard Medical School, Department of Genetics"
