"PREPRINT_DOI","ARTICLE_DOI"
"10.1101/040741","10.1038/ncomms11568"
"10.1101/040907","10.1126/science.aaf5023"
"10.1101/041061","10.1534/g3.116.028472"
"10.1101/041202","10.1371/journal.pone.0161702"
"10.1101/041244","10.1371/journal.pgen.1006122"
"10.1101/041152","10.3389/fnins.2017.00607"
"10.1101/041103","10.7554/elife.19695"
"10.1101/041178","10.1016/j.ydbio.2017.02.020"
"10.1101/041418","10.1038/srep40294"
"10.1101/041285","10.1534/g3.116.028324"
"10.1101/041434","10.1371/journal.pgen.1006421"
"10.1101/041509","10.1103/physreve.94.012408"
"10.1101/041483","10.1093/eurheartj/ehw450"
"10.1101/041459","10.1523/jneurosci.0840-16.2016"
"10.1101/041566","10.1186/s12859-016-0985-x"
"10.1101/041475","10.1186/s12864-016-2754-7"
"10.1101/041400","10.1038/nature17194"
"10.1101/041491","10.1016/j.physa.2016.09.002"
"10.1101/041533","10.1111/evo.13410"
"10.1101/041467","10.1111/mec.13792"
"10.1101/041673","10.1038/ncomms12815"
"10.1101/041632","10.1016/j.ydbio.2017.03.003"
"10.1101/041707","10.1038/ncomms14077"
"10.1101/041665","10.4137/ebo.s39454"
"10.1101/041715","10.1534/genetics.116.195008"
"10.1101/041384","10.1038/nmeth.3971"
"10.1101/041780","10.7554/elife.12727"
"10.1101/041699","10.1111/evo.13150"
"10.1101/041863","10.1186/s13059-016-0973-5"
"10.1101/041772","10.1101/gad.280578.116"
"10.1101/041749","10.1523/jneurosci.0659-16.2016"
"10.1101/041848","10.1371/journal.pone.0180647"
"10.1101/041921","10.1186/s12864-016-2742-y"
"10.1101/042069","10.1093/gbe/evx064"
"10.1101/042044","10.1534/genetics.116.188763"
"10.1101/042085","10.1534/g3.116.028878"
"10.1101/041905","10.1371/journal.pntd.0004695"
"10.1101/041871","10.1038/ncomms15459"
"10.1101/042010","10.1016/j.jtbi.2016.01.037"
"10.1101/042002","10.1016/j.neuron.2016.03.011"
"10.1101/042135","10.1016/j.tpb.2016.05.002"
"10.1101/042119","10.15252/embj.201696082"
"10.1101/041962","10.1038/srep28103"
"10.1101/042150","10.1016/j.ydbio.2016.08.011"
"10.1101/042143","10.1098/rsos.160496"
"10.1101/042184","10.1021/acs.jpcb.6b02242"
"10.1101/042333","10.1093/jxb/erw255"
"10.1101/042226","10.1371/journal.pcbi.1005117"
"10.1101/042275","10.1016/j.heliyon.2017.e00238"
"10.1101/042192","10.1016/j.tpb.2016.07.003"
"10.1101/042242","10.1080/20477724.2016.1211475"
"10.1101/042176","10.1038/ncomms13311"
"10.1101/042317","10.1105/tpc.16.00158"
"10.1101/042408","10.3934/mbe.2016038"
"10.1101/042390","10.1534/genetics.116.188912"
"10.1101/042358","10.1371/journal.pntd.0004658"
"10.1101/042374","10.1186/s13059-016-0974-4"
"10.1101/042424","10.1534/genetics.116.193474"
"10.1101/042200","10.1093/nar/gkw396"
"10.1101/042499","10.3390/s16111879"
"10.1101/042515","10.1038/ejhg.2017.33"
"10.1101/042507","10.1371/journal.pone.0165799"
"10.1101/042382","10.1371/journal.pntd.0004817"
"10.1101/042655","10.1186/s12864-016-3287-9"
"10.1101/042705","10.1007/s00253-016-7666-6"
"10.1101/042622","10.1534/g3.117.300103"
"10.1101/042663","10.1038/ncomms11159"
"10.1101/042739","10.3389/fmicb.2016.01215"
"10.1101/042796","10.1534/genetics.115.183285"
"10.1101/042846","10.1214/17-aoas1052"
"10.1101/042887","10.1186/s13062-016-0117-6"
"10.1101/043000","10.1016/j.cub.2016.09.035"
"10.1101/042895","10.1534/genetics.116.188961"
"10.1101/042879","10.1038/ejhg.2017.6"
"10.1101/042929","10.1016/j.neuroimage.2016.09.021"
"10.1101/042978","10.18632/oncotarget.12865"
"10.1101/043026","10.1093/molbev/msw100"
"10.1101/042853","10.1093/nar/gkw1036"
"10.1101/043018","10.1007/s00251-016-0914-1"
"10.1101/042937","10.1186/s13229-017-0147-7"
"10.1101/043174","10.1159/000477432"
"10.1101/043182","10.1111/jeb.13027"
"10.1101/042986","10.1371/journal.pcbi.1005460"
"10.1101/043091","10.1371/journal.pgen.1006063"
"10.1101/043117","10.1111/1462-2920.13455"
"10.1101/043109","10.1371/journal.pcbi.1005025"
"10.1101/043265","10.1371/journal.pntd.0005173"
"10.1101/043349","10.1016/j.jtbi.2016.07.024"
"10.1101/043364","10.1107/s2059798316007907"
"10.1101/043257","10.1186/s12920-017-0245-6"
"10.1101/043307","10.1091/mbc.e16-03-0158"
"10.1101/043315","10.1128/msystems.00101-16"
"10.1101/043190","10.1111/mec.13677"
"10.1101/043422","10.1186/s13073-017-0455-8"
"10.1101/043414","10.1371/journal.pcbi.1005311"
"10.1101/043455","10.3732/ajb.1600113"
"10.1101/043240","10.1186/s12864-016-2966-x"
"10.1101/043331","10.1111/oik.04330"
"10.1101/043430","10.1093/bib/bbw089"
"10.1101/043513","10.1371/journal.pone.0157942"
"10.1101/043661","10.1534/genetics.116.189191"
"10.1101/043612","10.18632/oncotarget.16144"
"10.1101/043562","10.1534/genetics.116.189209"
"10.1101/043687","10.1534/genetics.116.191007"
"10.1101/043547","10.3389/fnhum.2016.00422"
"10.1101/043554","10.1016/j.neuroimage.2016.04.005"
"10.1101/042952","10.1038/s41467-017-00524-5"
"10.1101/043638","10.1371/journal.pone.0159635"
"10.1101/043869","10.1098/rstb.2015.0412"
"10.1101/043836","10.1083/jcb.201603025"
"10.1101/043604","10.1093/bioinformatics/btw325"
"10.1101/043679","10.1016/j.bbapap.2016.08.001"
"10.1101/043844","10.1177/1176934317713004"
"10.1101/043778","10.1371/journal.pcbi.1005203"
"10.1101/043695","10.1534/g3.116.034314"
"10.1101/043851","10.1038/cdd.2017.104"
"10.1101/043729","10.1098/rspb.2017.0722"
"10.1101/043802","10.1371/journal.pcbi.1005851"
"10.1101/044156","10.1016/j.neuroimage.2016.04.021"
"10.1101/043372","10.1038/nmicrobiol.2016.242"
"10.1101/044008","10.1007/s11629-015-3501-2"
"10.1101/044099","10.1534/g3.116.030452"
"10.1101/043786","10.1167/16.10.17"
"10.1101/043927","10.1002/cam4.953"
"10.1101/043745","10.1002/hbm.23471"
"10.1101/043919","10.1111/gcb.13614"
"10.1101/044065","10.1093/cercor/bhw196"
"10.1101/044057","10.1126/sciadv.1601453"
"10.1101/043877","10.1128/mbio.00403-16"
"10.1101/044362","10.1038/s41598-017-04278-4"
"10.1101/043885","10.1038/srep33745"
"10.1101/044396","10.1016/j.exer.2016.04.023"
"10.1101/044305","10.1111/2041-210x.12922"
"10.1101/044495","10.1371/journal.pcbi.1005124"
"10.1101/044164","10.1111/cgf.12924"
"10.1101/044503","10.1167/iovs.16-19541"
"10.1101/044636","10.1038/srep32065"
"10.1101/044586","10.1093/molbev/msw188"
"10.1101/044677","10.1093/bioinformatics/btw328"
"10.1101/044487","10.1038/srep34705"
"10.1101/044693","10.1261/rna.057208.116"
"10.1101/044578","10.1371/journal.pone.0175310"
"10.1101/044602","10.1177/0271678x16661201"
"10.1101/044792","10.1038/srep30379"
"10.1101/044925","10.1093/bioinformatics/btw369"
"10.1101/044909","10.1186/s12864-016-2919-4"
"10.1101/044974","10.7554/elife.16167"
"10.1101/044982","10.1093/nar/gkw457"
"10.1101/044990","10.7554/elife.16799.001"
"10.1101/044941","10.1093/molbev/msx083"
"10.1101/044958","10.1534/g3.116.029397"
"10.1101/044966","10.1371/journal.pone.0155743"
"10.1101/044768","10.1038/ncomms13270"
"10.1101/045013","10.1038/s41598-017-12166-0"
"10.1101/045245","10.1038/srep40201"
"10.1101/045237","10.1093/molbev/msw216"
"10.1101/045070","10.1038/s41598-017-13665-w"
"10.1101/045096","10.7554/elife.16965"
"10.1101/044172","10.1038/srep37324"
"10.1101/040642","10.1038/nature21394"
"10.1101/044669","10.1371/journal.pcbi.1004868"
"10.1101/045146","10.1016/j.bpj.2016.07.008"
"10.1101/045161","10.1038/srep39631"
"10.1101/045351","10.1534/genetics.116.196428"
"10.1101/045294","10.1016/j.bbrep.2016.04.001"
"10.1101/043992","10.1371/journal.pone.0162026"
"10.1101/045054","10.1038/srep30287"
"10.1101/045310","10.1016/j.talanta.2016.04.047"
"10.1101/045252","10.1093/cercor/bhx138"
"10.1101/045187","10.1186/s12861-016-0122-0"
"10.1101/045328","10.3390/app6050139"
"10.1101/045278","10.1101/gr.219915.116"
"10.1101/044701","10.1371/journal.pgen.1006303"
"10.1101/039578","10.1371/journal.pone.0156293"
"10.1101/045369","10.1111/jeb.12972"
"10.1101/045625","10.1007/s11032-017-0635-7"
"10.1101/045526","10.7717/peerj.2209"
"10.1101/045591","10.1016/j.biochi.2016.06.012"
"10.1101/045567","10.1016/j.freeradbiomed.2016.08.006"
"10.1101/045443","10.1371/journal.pntd.0004816"
"10.1101/045427","10.1534/g3.116.029660"
"10.1101/045534","10.1371/journal.pone.0152885"
"10.1101/045559","10.3389/fnbot.2017.00020"
"10.1101/044891","10.1038/s41598-017-07191-y"
"10.1101/045773","10.1186/s13742-016-0152-3"
"10.1101/045740","10.1186/s12862-016-0838-2"
"10.1101/045674","10.1111/mec.14146"
"10.1101/045716","10.1111/1365-2656.12615"
"10.1101/045765","10.1091/mbc.e16-03-0199"
"10.1101/045831","10.1038/ng.3766"
"10.1101/045781","10.7554/elife.15204"
"10.1101/045005","10.1016/j.ajhg.2016.11.007"
"10.1101/045914","10.1534/g3.116.029728"
"10.1101/045807","10.1098/rsos.160992"
"10.1101/045153","10.1186/s12864-016-2889-6"
"10.1101/045963","10.7554/elife.20515"
"10.1101/046086","10.1093/bioinformatics/btw569"
"10.1101/046003","10.1371/journal.pgen.1006074"
"10.1101/046136","10.1002/gepi.22048"
"10.1101/046185","10.1016/j.jep.2016.09.041"
"10.1101/045922","10.1101/gr.208041.116"
"10.1101/046128","10.12688/f1000research.9720.1"
"10.1101/046243","10.1186/s12859-016-1276-2"
"10.1101/046144","10.1038/srep29308"
"10.1101/045690","10.1186/s12859-016-1288-y"
"10.1101/046201","10.1186/s12859-016-1270-8"
"10.1101/046334","10.1038/ncomms12204"
"10.1101/046367","10.7554/elife.12102"
"10.1101/046276","10.3758/s13415-016-0458-8"
"10.1101/046151","10.1371/journal.pcbi.1005799"
"10.1101/042457","10.1214/17-aoas1046"
"10.1101/046391","10.1534/g3.116.036087"
"10.1101/046508","10.1038/ncomms14825"
"10.1101/046383","10.1016/j.ajhg.2017.03.002"
"10.1101/046409","10.1086/691789"
"10.1101/046581","10.1038/sdata.2016.92"
"10.1101/046573","10.1038/sdata.2016.93"
"10.1101/046490","10.1534/genetics.116.192336"
"10.1101/046441","10.1016/j.neuroimage.2017.08.033"
"10.1101/046649","10.1016/j.mrfmmm.2016.10.003"
"10.1101/046748","10.1534/genetics.116.189985"
"10.1101/046714","10.1086/688658"
"10.1101/046839","10.1007/s11240-016-1063-9"
"10.1101/046730","10.1098/rsob.160089"
"10.1101/046912","10.1534/genetics.116.190041"
"10.1101/047118","10.3389/fninf.2016.00027"
"10.1101/047365","10.1371/journal.pcbi.1005212"
"10.1101/047167","10.1371/journal.pone.0172545"
"10.1101/046995","10.1016/j.ajhg.2016.11.015"
"10.1101/047126","10.1523/jneurosci.1092-16.2016"
"10.1101/043059","10.1038/ismej.2016.146"
"10.1101/047019","10.1534/genetics.116.190223"
"10.1101/047233","10.3389/fmicb.2016.00990"
"10.1101/046961","10.1371/journal.pgen.1006357"
"10.1101/047324","10.1371/journal.pone.0165300"
"10.1101/047209","10.1016/j.jhevol.2017.03.004"
"10.1101/046219","10.1158/0008-5472.can-17-0096"
"10.1101/047514","10.4137/cin.s40088"
"10.1101/031435","10.12688/f1000research.11355.1"
"10.1101/047480","10.1002/ecy.1757"
"10.1101/047472","10.1242/bio.019018"
"10.1101/047464","10.1093/bioinformatics/btx150"
"10.1101/047456","10.1186/s12862-016-0816-8"
"10.1101/047530","10.3389/fmicb.2016.00913"
"10.1101/047274","10.1093/gbe/evx025"
"10.1101/047035","10.1038/ng.3917"
"10.1101/047431","10.2116/analsci.32.1159"
"10.1101/047571","10.3390/v8060155"
"10.1101/047555","10.1074/jbc.m116.731000"
"10.1101/047282","10.1111/1755-0998.12576"
"10.1101/047613","10.1002/cyto.a.23030"
"10.1101/047647","10.1093/nar/gkw521"
"10.1101/047720","10.1371/journal.ppat.1005724"
"10.1101/047753","10.1038/srep30064"
"10.1101/047605","10.1083/jcb.201604002"
"10.1101/047779","10.1038/srep33257"
"10.1101/047589","10.1038/nmicrobiol.2017.116"
"10.1101/047704","10.14814/phy2.13218"
"10.1101/047696","10.1111/ecog.02539"
"10.1101/047670","10.1371/journal.ppat.1005846"
"10.1101/047787","10.1371/journal.pbio.2000638"
"10.1101/047746","10.1016/j.devcel.2016.07.025"
"10.1101/047761","10.1186/s12861-016-0113-1"
"10.1101/047712","10.1093/bioinformatics/btx021"
"10.1101/045856","10.1073/pnas.1605707113"
"10.1101/047811","10.1111/evo.13032"
"10.1101/047860","10.1101/gr.208173.116"
"10.1101/047845","10.1186/s13059-016-0975-3"
"10.1101/047803","10.1038/srep34618"
"10.1101/047795","10.1186/s13059-016-0936-x"
"10.1101/047902","10.1016/j.dsr.2016.04.004"
"10.1101/047829","10.1093/bioinformatics/btw576"
"10.1101/047936","10.1186/s12915-017-0431-1"
"10.1101/048033","10.1111/evo.12999"
"10.1101/048165","10.1093/gbe/evx140"
"10.1101/048157","10.1038/ncomms14114"
"10.1101/048074","10.1038/srep31602"
"10.1101/048108","10.1016/j.cognition.2017.05.028"
"10.1101/048058","10.1073/pnas.1613601113"
"10.1101/048082","10.1016/j.meegid.2016.12.007"
"10.1101/048199","10.1016/j.jtbi.2016.08.023"
"10.1101/048132","10.1186/s13007-017-0159-5"
"10.1101/048371","10.1038/ncomms12778"
"10.1101/048348","10.7717/peerj.2617"
"10.1101/048421","10.1371/journal.pgen.1006489"
"10.1101/048496","10.1016/j.jtbi.2016.07.042"
"10.1101/048207","10.1016/j.cels.2016.05.007"
"10.1101/048330","10.1073/pnas.1519555113"
"10.1101/048397","10.1177/194008291600900219"
"10.1101/048520","10.1038/srep31879"
"10.1101/048595","10.1534/g3.116.031880"
"10.1101/048355","10.1093/molbev/msw173"
"10.1101/048470","10.12688/f1000research.8705.1"
"10.1101/048215","10.1186/s13073-016-0319-7"
"10.1101/041798","10.1038/sdata.2016.102"
"10.1101/048264","10.12688/f1000research.11223.1"
"10.1101/048173","10.1534/g3.116.034827"
"10.1101/048462","10.1534/g3.116.030239"
"10.1101/048561","10.1523/jneurosci.2674-16.2017"
"10.1101/048629","10.1186/s13059-017-1379-8"
"10.1101/048405","10.1016/j.scib.2017.09.015"
"10.1101/048553","10.1371/journal.pgen.1006384"
"10.1101/048454","10.1371/journal.pntd.0004901"
"10.1101/048660","10.1093/bioinformatics/btw483"
"10.1101/048728","10.1002/jobm.201600247"
"10.1101/048801","10.1016/j.jmb.2016.06.002"
"10.1101/048876","10.1088/1478-3975/13/6/066014"
"10.1101/048884","10.1534/g3.116.030262"
"10.1101/048819","10.1371/journal.pgen.1006573"
"10.1101/048959","10.1186/s13059-016-1054-5"
"10.1101/048686","10.1016/j.bpj.2016.04.020"
"10.1101/048942","10.1093/bioinformatics/btw493"
"10.1101/048918","10.1177/2041669517698149"
"10.1101/048769","10.1073/pnas.1612676113"
"10.1101/048934","10.1111/evo.13041"
"10.1101/048892","10.1534/genetics.116.190462"
"10.1101/049049","10.1038/ncomms13155"
"10.1101/049130","10.1126/science.aaf7613"
"10.1101/049064","10.1103/physrevlett.117.078101"
"10.1101/049197","10.1111/mec.14184"
"10.1101/049254","10.1093/bioinformatics/btw407"
"10.1101/049171","10.1093/gbe/evw175"
"10.1101/049296","10.1002/cne.24042"
"10.1101/048504","10.3390/genes9010045"
"10.1101/049379","10.1091/mbc.e16-10-0727"
"10.1101/049320","10.1038/srep29495"
"10.1101/049312","10.1073/pnas.1613916114"
"10.1101/049551","10.1098/rsif.2016.0725"
"10.1101/049411","10.1534/genetics.116.190660"
"10.1101/049452","10.1128/mbio.00809-16"
"10.1101/049460","10.1523/eneuro.0116-16.2016"
"10.1101/049585","10.1111/cgf.12925"
"10.1101/047894","10.1534/genetics.116.193334"
"10.1101/044651","10.1111/1755-0998.12566"
"10.1101/049478","10.1038/ng.3648"
"10.1101/049593","10.1086/693472"
"10.1101/049643","10.1098/rsbl.2016.0328"
"10.1101/049635","10.1093/ije/dyx041"
"10.1101/049726","10.1534/g3.116.033860"
"10.1101/049825","10.1073/pnas.1608795113"
"10.1101/049759","10.1074/jbc.m116.770792"
"10.1101/049783","10.1128/mbio.00374-17"
"10.1101/049775","10.1371/journal.pcbi.1005157"
"10.1101/049767","10.1371/journal.pcbi.1005066"
"10.1101/050013","10.1074/jbc.m116.729194"
"10.1101/049999","10.1186/s12868-016-0287-2"
"10.1101/049924","10.1111/evo.13465"
"10.1101/049957","10.2807/1560-7917.es.2016.21.28.30283"
"10.1101/050096","10.1371/journal.pgen.1006560"
"10.1101/049627","10.1534/g3.116.035915"
"10.1101/049932","10.1007/s12561-016-9154-z"
"10.1101/050237","10.1371/journal.pone.0170622"
"10.1101/050286","10.7554/elife.17219"
"10.1101/050369","10.12705/662.7"
"10.1101/050278","10.1016/j.meegid.2017.03.012"
"10.1101/050377","10.1038/ncomms14421"
"10.1101/050450","10.1016/j.neuroimage.2016.08.052"
"10.1101/050328","10.1128/jb.00347-16"
"10.1101/050385","10.1016/j.cognition.2017.09.007"
"10.1101/050393","10.1038/srep42330"
"10.1101/050252","10.1111/evo.13043"
"10.1101/050229","10.1038/srep33101"
"10.1101/050476","10.1007/s12038-016-9641-x"
"10.1101/050526","10.1371/journal.pone.0161177"
"10.1101/050633","10.1016/j.biomaterials.2016.10.018"
"10.1101/050641","10.1038/nn.4464"
"10.1101/050583","10.1098/rsbl.2016.0016"
"10.1101/050617","10.1091/mbc.e16-05-0313"
"10.1101/050484","10.1073/pnas.1617705114"
"10.1101/050815","10.1093/nar/gkw502"
"10.1101/050799","10.1371/journal.pone.0166425"
"10.1101/050807","10.1101/gr.209106.116"
"10.1101/050914","10.1534/genetics.116.188409"
"10.1101/050773","10.1098/rspb.2016.2180"
"10.1101/050989","10.1038/srep31597"
"10.1101/051029","10.1007/s10827-016-0625-5"
"10.1101/051045","10.1002/oby.21653"
"10.1101/051037","10.1038/nmicrobiol.2016.245"
"10.1101/050708","10.1007/s00429-016-1255-4"
"10.1101/051110","10.1111/1755-0998.12714"
"10.1101/050948","10.1038/nature20149"
"10.1101/050062","10.7717/peerj.2501"
"10.1101/050930","10.1016/j.cmet.2016.06.008"
"10.1101/051185","10.1186/s12864-017-3676-8"
"10.1101/051177","10.1111/bjh.14413"
"10.1101/050054","10.1534/genetics.116.191122"
"10.1101/051136","10.1016/j.mbs.2016.09.010"
"10.1101/051409","10.1186/s13015-017-0109-9"
"10.1101/051276","10.1534/genetics.116.191148"
"10.1101/051375","10.1371/journal.pone.0167065"
"10.1101/051300","10.1088/1478-3975/14/1/015002"
"10.1101/051243","10.1016/j.jneumeth.2016.07.016"
"10.1101/051417","10.1126/science.aag0299"
"10.1101/051557","10.1093/molbev/msw189"
"10.1101/051656","10.1038/srep38956"
"10.1101/051607","10.1038/srep27389"
"10.1101/051581","10.1098/rsos.160654"
"10.1101/051508","10.1021/acs.jproteome.6b00815"
"10.1101/051631","10.1371/journal.pgen.1006599"
"10.1101/051821","10.1083/jcb.201701074"
"10.1101/051771","10.1038/ncomms13629"
"10.1101/051730","10.1016/j.celrep.2016.11.075"
"10.1101/051813","10.7717/peerj-cs.104"
"10.1101/037929","10.1073/pnas.1600398113"
"10.1101/051714","10.1167/16.11.4"
"10.1101/051946","10.1016/j.bpj.2016.05.034"
"10.1101/051482","10.1139/cjfas-2016-0069"
"10.1101/051888","10.1038/s41598-017-01005-x"
"10.1101/051870","10.1098/rstb.2016.0049"
"10.1101/052001","10.1093/nar/gkx398"
"10.1101/051912","10.1016/j.celrep.2017.08.047"
"10.1101/052050","10.1111/mec.13729"
"10.1101/052084","10.1126/science.aag0776"
"10.1101/052068","10.1093/bioinformatics/btw577"
"10.1101/052134","10.7717/peerj.2861"
"10.1101/052126","10.1016/j.heliyon.2016.e00161"
"10.1101/049833","10.1093/gbe/evw206"
"10.1101/052027","10.1093/nar/gkw927"
"10.1101/052175","10.1038/srep38703"
"10.1101/052159","10.1098/rsos.160578"
"10.1101/051755","10.1101/gr.209601.116"
"10.1101/052191","10.1098/rstb.2015.0409"
"10.1101/048652","10.1093/dnares/dsx034"
"10.1101/052241","10.7554/elife.18215"
"10.1101/052225","10.1038/nmeth.4207"
"10.1101/052308","10.1038/ng.3679"
"10.1101/052399","10.1073/pnas.1605015113"
"10.1101/052282","10.1038/srep40211"
"10.1101/052431","10.7554/elife.17686"
"10.1101/052555","10.1091/mbc.e16-05-0300"
"10.1101/052498","10.1038/srep36819"
"10.1101/052472","10.1002/ece3.2532"
"10.1101/052290","10.1371/journal.pone.0173636"
"10.1101/052621","10.1073/pnas.1523335113"
"10.1101/052688","10.1099/mgen.0.000083"
"10.1101/052803","10.1186/s13059-016-1114-x"
"10.1101/052712","10.1126/science.aaf7907"
"10.1101/052183","10.1038/s41598-017-05957-y"
"10.1101/052480","10.1038/nphys3741"
"10.1101/052738","10.1080/01480545.2016.1264411"
"10.1101/052894","10.1534/genetics.116.188060"
"10.1101/052415","10.1371/journal.pone.0155824"
"10.1101/052845","10.1534/g3.116.034488"
"10.1101/052670","10.1038/nn.4352"
"10.1101/052720","10.1523/eneuro.0184-16.2016"
"10.1101/053116","10.1371/journal.pbio.2002792"
"10.1101/053140","10.1111/evo.13046"
"10.1101/052985","10.1371/journal.pbio.1002517"
"10.1101/052886","10.1038/ng.3789"
"10.1101/052928","10.1073/pnas.1607601113"
"10.1101/053132","10.1016/j.ymeth.2016.09.014"
"10.1101/052563","10.12688/f1000research.8798.2"
"10.1101/052936","10.7554/elife.17721.001"
"10.1101/053025","10.1038/ismej.2016.90"
"10.1101/052977","10.1534/genetics.116.191494"
"10.1101/052993","10.1534/genetics.116.191478"
"10.1101/053033","10.1093/gigascience/gix083"
"10.1101/053181","10.1038/nmicrobiol.2016.144"
"10.1101/053231","10.1016/j.cels.2016.11.001"
"10.1101/053199","10.1042/bcj20160579"
"10.1101/053082","10.1016/j.ijpara.2016.07.007"
"10.1101/053223","10.1038/sdata.2016.63"
"10.1101/052902","10.1093/gbe/evw248"
"10.1101/053264","10.1002/gepi.22032"
"10.1101/053348","10.1186/s12859-017-1994-0"
"10.1101/053256","10.1101/gr.209247.116"
"10.1101/053421","10.1016/s0140-6736(16)31838-4"
"10.1101/053512","10.1371/journal.pone.0167357"
"10.1101/053488","10.1523/eneuro.0127-16.2016"
"10.1101/053470","10.7717/peerj-cs.139"
"10.1101/053595","10.7554/elife.22341"
"10.1101/053603","10.1038/srep31631"
"10.1101/052969","10.1088/1478-3975/13/5/056003"
"10.1101/053637","10.1371/journal.pcbi.1005233"
"10.1101/053652","10.1142/s0219720017400108"
"10.1101/053629","10.1371/journal.pone.0175860"
"10.1101/053413","10.1016/j.celrep.2016.06.003"
"10.1101/053538","10.1098/rsif.2016.0539"
"10.1101/053793","10.1093/molbev/msw127"
"10.1101/053777","10.1186/s12859-017-1478-2"
"10.1101/053751","10.1080/21592799.2016.1204848"
"10.1101/053546","10.1038/srep36164"
"10.1101/053918","10.1098/rspb.2017.0200"
"10.1101/053967","10.1038/ncomms12838"
"10.1101/053611","10.1016/j.ympev.2016.12.039"
"10.1101/053843","10.1534/genetics.116.193912"
"10.1101/053868","10.1093/bioinformatics/btw695"
"10.1101/053769","10.7717/peerj.2686"
"10.1101/053678","10.1101/gad.280859"
"10.1101/053942","10.1038/nmicrobiol.2016.198"
"10.1101/053975","10.1186/s12864-016-2855-3"
"10.1101/053298","10.3389/fphys.2016.00398"
"10.1101/054031","10.1101/gr.209924.116"
"10.1101/054056","10.1371/journal.pcbi.1004987"
"10.1101/054072","10.1038/srep34209"
"10.1101/054049","10.1016/j.bpj.2017.01.001"
"10.1101/054106","10.1016/j.plantsci.2016.07.007"
"10.1101/054015","10.1534/g3.116.031286"
"10.1101/053983","10.7554/elife.18889"
"10.1101/054379","10.3389/fnbeh.2016.00159"
"10.1101/054361","10.1016/j.ajhg.2017.06.001"
"10.1101/054247","10.1016/j.neuron.2016.08.007"
"10.1101/054205","10.1371/journal.pone.0163527"
"10.1101/054197","10.1101/gr.210336.116"
"10.1101/054288","10.1523/jneurosci.3771-16.2017"
"10.1101/054338","10.1534/genetics.116.191775"
"10.1101/054239","10.1504/ijcbdd.2017.085402"
"10.1101/054387","10.1186/s13072-016-0100-6"
"10.1101/054825","10.1093/molbev/msx060"
"10.1101/054783","10.1038/ncomms14515"
"10.1101/052795","10.1371/journal.pcbi.1005341"
"10.1101/054452","10.1016/j.jsb.2016.06.009"
"10.1101/054312","10.1016/j.neuron.2016.07.036"
"10.1101/054460","10.1016/j.celrep.2017.02.007"
"10.1101/054494","10.1038/srep42091"
"10.1101/054403","10.1016/j.epidem.2017.02.008"
"10.1101/053058","10.1126/science.aag0511"
"10.1101/054478","10.1038/srep46708"
"10.1101/052704","10.1083/jcb.201605080"
"10.1101/054700","10.1371/journal.pgen.1006464"
"10.1101/054684","10.1093/bioinformatics/btw615"
"10.1101/046979","10.3389/fmicb.2016.00756"
"10.1101/054544","10.1093/sysbio/syx046"
"10.1101/054742","10.1126/science.aaf5573"
"10.1101/054528","10.1098/rsbl.2016.0211"
"10.1101/054585","10.1111/mec.13822"
"10.1101/054551","10.1051/limn/2016026"
"10.1101/054577","10.1016/j.bpj.2016.08.023"
"10.1101/055178","10.1093/nar/gkx137"
"10.1101/054965","10.1101/gr.210641.116"
"10.1101/055327","10.1093/nar/gkx215"
"10.1101/054866","10.1002/ece3.2370"
"10.1101/049213","10.1099/mgen.0.000085"
"10.1101/055244","10.1017/s0033291716003068"
"10.1101/055012","10.1038/ismej.2016.99"
"10.1101/055210","10.7554/elife.18124"
"10.1101/055038","10.1534/g3.116.031443"
"10.1101/055186","10.1101/gr.210286.116"
"10.1101/054957","10.1016/j.tpb.2017.01.004"
"10.1101/055194","10.1038/nn.4406"
"10.1101/054536","10.1186/s12864-017-3505-0"
"10.1101/055061","10.1534/g3.116.033241"
"10.1101/055202","10.1098/rsif.2016.0833"
"10.1101/055004","10.1016/j.neuropsychologia.2016.11.006"
"10.1101/054908","10.1371/journal.pone.0178821"
"10.1101/054932","10.1099/mgen.0.000088"
"10.1101/055251","10.1016/j.tpb.2016.05.005"
"10.1101/054924","10.1186/s13059-017-1195-1"
"10.1101/055285","10.1073/pnas.1606731113"
"10.1101/042838","10.1093/nar/gkw772"
"10.1101/055053","10.1038/srep35363"
"10.1101/054973","10.1038/tp.2016.207"
"10.1101/055335","10.1037/com0000065"
"10.1101/055483","10.1038/ncomms13766"
"10.1101/055368","10.1093/gbe/evx027"
"10.1101/055087","10.12688/f1000research.8839.3"
"10.1101/055384","10.1111/evo.13011"
"10.1101/055418","10.12688/wellcomeopenres.9896.1"
"10.1101/055517","10.1534/genetics.116.196303"
"10.1101/055624","10.1371/journal.pcbi.1005268"
"10.1101/055566","10.1016/j.neuron.2016.07.039"
"10.1101/055541","10.1101/gr.210500.116"
"10.1101/055806","10.1021/acs.jproteome.6b00485"
"10.1101/055590","10.1038/s41598-017-00071-5"
"10.1101/055715","10.1186/s13059-017-1189-z"
"10.1101/055855","10.1016/j.ajhg.2016.09.014"
"10.1101/055863","10.1038/nmeth.4108"
"10.1101/055731","10.1038/ng.3616"
"10.1101/055921","10.1101/gad.284430.116"
"10.1101/055798","10.1534/g3.116.038190"
"10.1101/049841","10.1186/s13062-016-0159-9"
"10.1101/056119","10.1111/mec.13800"
